LastName,Percentage
Ali,1.186346%
Khan,1.044048%
Ahmed,0.874570%
Kumar,0.643537%
Mohammed,0.434887%
Hussain,0.431689%
Ahmad,0.349348%
Mohamed,0.338157%
Llc,0.310177%
Singh,0.298985%
Thomas,0.281397%
Hassan,0.275002%
Mohammad,0.258214%
Ibrahim,0.257415%
Muhammad,0.250220%
Nair,0.219042%
Shaikh,0.195859%
Shah,0.191862%
Mathew,0.191062%
Iqbal,0.184667%
Syed,0.183868%
Abbas,0.167879%
Sharma,0.163083%
Dubai,0.162283%
George,0.155888%
John,0.155888%
Malik,0.155088%
Joseph,0.153489%
Saeed,0.144696%
Abdul,0.143097%
Rahman,0.139100%
Raza,0.136702%
Varghese,0.134303%
Trading,0.131106%
Uae,0.127108%
Ismail,0.122312%
Gupta,0.120713%
Rehman,0.119914%
Patel,0.112719%
Menon,0.107922%
Khalid,0.107922%
Smith,0.107123%
Abdulla,0.107123%
Amin,0.104725%
Fze,0.103126%
Hameed,0.103126%
Ashraf,0.101527%
Mustafa,0.101527%
Abraham,0.100727%
Hasan,0.100727%
Siddiqui,0.095931%
Ahmadi,0.094332%
Saleh,0.093533%
Mahmood,0.093533%
Qureshi,0.093533%
Abdullah,0.091934%
Fernandes,0.091934%
Sheikh,0.089536%
Al,0.087937%
Mahmoud,0.087937%
Rashid,0.087137%
Co,0.086338%
Omar,0.083940%
Akhtar,0.083140%
Mohammadi,0.083140%
Bhatia,0.083140%
Pillai,0.083140%
Paul,0.082341%
Raj,0.081541%
Saleem,0.080742%
Dsouza,0.078344%
Ansari,0.075945%
Hosseini,0.075945%
Khalil,0.075945%
Jacob,0.075146%
Shahzad,0.073547%
Aziz,0.073547%
Jose,0.073547%
Sayed,0.072748%
Jain,0.071948%
Haddad,0.071149%
Rasheed,0.069550%
Aslam,0.069550%
Anwar,0.068750%
Habib,0.068750%
Hussein,0.067951%
Mehta,0.067951%
Nasir,0.066352%
Mehmood,0.066352%
Rao,0.064753%
Mohan,0.063954%
Butt,0.063954%
Asif,0.063155%
Babu,0.063155%
Krishnan,0.063155%
Williams,0.063155%
Seyed,0.062355%
Arshad,0.062355%
Alam,0.061556%
Hamdan,0.061556%
Mansour,0.061556%
Yousef,0.061556%
Shetty,0.060756%
Farooq,0.060756%
Antony,0.059157%
Abbasi,0.059157%
Hamza,0.059157%
Karimi,0.059157%
Inc,0.058358%
Sharif,0.058358%
Tariq,0.057559%
Kamal,0.057559%
Nasser,0.056759%
Salem,0.056759%
Awad,0.056759%
Faisal,0.056759%
Das,0.056759%
Taha,0.055960%
Amir,0.055960%
Ahamed,0.055960%
