LastName,Percentage
Hoxha,1.185836%
Gashi,1.086326%
Krasniqi,0.887304%
Berisha,0.646820%
Shala,0.356580%
Shehu,0.356580%
Smith,0.323410%
Rexhepi,0.315117%
Bajrami,0.306825%
Aliu,0.290240%
Hyseni,0.290240%
Mehmeti,0.290240%
Albania,0.281947%
Shabani,0.265362%
Morina,0.257069%
Rama,0.248777%
Osmani,0.248777%
Cela,0.240484%
Beqiri,0.240484%
Kryeziu,0.240484%
Halili,0.232192%
Marku,0.232192%
Sadiku,0.223899%
Molla,0.223899%
Veseli,0.223899%
Prifti,0.223899%
Jashari,0.215607%
Kola,0.215607%
Thaqi,0.207314%
Li,0.207314%
Sula,0.199021%
Kasa,0.199021%
Ibrahimi,0.182436%
Koci,0.182436%
Hysa,0.174144%
Gjoka,0.165851%
Asllani,0.165851%
Ahmeti,0.165851%
Hoti,0.165851%
Latifi,0.165851%
Salihu,0.157559%
Hoxhallari,0.157559%
Mustafa,0.157559%
Mema,0.157559%
Bunjaku,0.157559%
Lleshi,0.157559%
Gjini,0.149266%
Studio,0.149266%
Abazi,0.149266%
Haxhiu,0.149266%
Hasa,0.149266%
Hajdari,0.149266%
Bala,0.149266%
Leka,0.149266%
Pllana,0.149266%
Ruci,0.140974%
Islami,0.140974%
Aliaj,0.140974%
Kadriu,0.140974%
Prenga,0.140974%
Sinani,0.132681%
Sylka,0.132681%
Ahmetaj,0.132681%
Hasanaj,0.132681%
Hasani,0.132681%
Muca,0.132681%
Miftari,0.132681%
Cani,0.132681%
Derguti,0.132681%
Deda,0.132681%
Shpk,0.124388%
Sopa,0.124388%
Agolli,0.124388%
Fazliu,0.124388%
Cordiner,0.124388%
Dokuzi,0.124388%
Xhani,0.124388%
Kabashi,0.124388%
Pepa,0.124388%
Zejnullahu,0.116096%
Tahiri,0.116096%
Spahiu,0.116096%
Shkurti,0.116096%
Al,0.116096%
Metaj,0.116096%
Mahilaj,0.116096%
Doda,0.116096%
Begolli,0.116096%
Basha,0.116096%
Gega,0.107803%
Zeka,0.107803%
Syla,0.107803%
Sinanaj,0.107803%
Arapi,0.107803%
Haziri,0.107803%
Host,0.107803%
Brahaj,0.107803%
Kurti,0.107803%
Lee,0.107803%
Wang,0.107803%
Rexha,0.099511%
Ramadani,0.099511%
Selmani,0.099511%
Alb,0.099511%
Alija,0.099511%
Arifi,0.099511%
Mavriqi,0.099511%
Daci,0.099511%
Dibra,0.099511%
Duka,0.099511%
Vogli,0.099511%
Qamili,0.099511%
Elmasllari,0.099511%
Bushi,0.099511%
Laci,0.099511%
Ltd,0.099511%
Pano,0.099511%
Isufi,0.091218%
Ibro,0.091218%
Toverlani,0.091218%
Shehaj,0.091218%
Sejdiu,0.091218%
Selimi,0.091218%
Sulaj,0.091218%
Ademi,0.091218%
Avdiu,0.091218%
Hushi,0.091218%
Musliu,0.091218%
Malaj,0.091218%
Caushi,0.091218%
Bardhi,0.091218%
Kosova,0.091218%
Rrahmani,0.082926%
Imeri,0.082926%
Nezaj,0.082926%
Golemi,0.082926%
Gjoni,0.082926%
Zeqiri,0.082926%
Osmenaj,0.082926%
Haliti,0.082926%
Maloku,0.082926%
Jonuzi,0.082926%
Jones,0.082926%
Johnson,0.082926%
Jusufi,0.082926%
Domi,0.082926%
Veliu,0.082926%
Elezaj,0.082926%
Beshiri,0.082926%
Bajraktari,0.082926%
Biba,0.082926%
Koka,0.082926%
Lika,0.082926%
Laska,0.082926%
Lamaj,0.082926%
Picari,0.082926%
Plaku,0.082926%
Rrapi,0.074633%
Rudari,0.074633%
Uka,0.074633%
Inc,0.074633%
Nako,0.074633%
Nevzati,0.074633%
Gjinaj,0.074633%
Guri,0.074633%
Tola,0.074633%
Tafa,0.074633%
Selimaj,0.074633%
Shahini,0.074633%
Alla,0.074633%
Ferhati,0.074633%
Fisteku,0.074633%
Halilaj,0.074633%
Maxhuni,0.074633%
Melenica,0.074633%
Media,0.074633%
Murati,0.074633%
Mulliqi,0.074633%
Mara,0.074633%
Jakupi,0.074633%
Cokaj,0.074633%
Citaku,0.074633%
Chen,0.074633%
Celaj,0.074633%
Demeti,0.074633%
Demiri,0.074633%
Dushku,0.074633%
Disha,0.074633%
Xhelili,0.074633%
Emini,0.074633%
Bejko,0.074633%
Blloshmi,0.074633%
Bushati,0.074633%
Kulla,0.074633%
Labaj,0.074633%
Pacolli,0.074633%
Pashaj,0.074633%
Web,0.074633%
Rashiti,0.066340%
