LastName,Percentage
Lda,2.781720%
Santos,2.015328%
Silva,1.532785%
Costa,1.532785%
Angola,1.362475%
Antonio,1.135396%
Carvalho,1.107011%
Gomes,0.993471%
Pedro,0.993471%
Francisco,0.936702%
Ferreira,0.908317%
Domingos,0.879932%
Manuel,0.823162%
Almeida,0.794777%
Rodrigues,0.624468%
Sousa,0.624468%
Dias,0.624468%
Miguel,0.596083%
Fernandes,0.567698%
Martins,0.567698%
Mendes,0.567698%
Neto,0.539313%
Joao,0.539313%
Lopes,0.539313%
Pereira,0.539313%
Jose,0.510928%
Cardoso,0.482543%
Cunha,0.482543%
Garcia,0.454158%
Oliveira,0.454158%
Paulo,0.454158%
Gaspar,0.397389%
Sa,0.397389%
Soares,0.397389%
Andrade,0.397389%
Monteiro,0.397389%
Goncalves,0.369004%
Correia,0.369004%
Coelho,0.369004%
Barros,0.369004%
Web,0.369004%
Ramos,0.340619%
Sebastiao,0.340619%
Faria,0.340619%
Morais,0.340619%
Cristovao,0.340619%
Daniel,0.340619%
Lucas,0.340619%
Simao,0.312234%
Andre,0.312234%
Alexandre,0.312234%
Caetano,0.312234%
Machado,0.283849%
Cruz,0.283849%
Lima,0.283849%
Pinto,0.283849%
Paim,0.283849%
Ribeiro,0.255464%
Tavares,0.255464%
Augusto,0.255464%
Fonseca,0.255464%
Carlos,0.255464%
Vunda,0.255464%
Agostinho,0.227079%
Araujo,0.227079%
Macosso,0.227079%
Maimona,0.227079%
Campos,0.227079%
Bernardo,0.227079%
Kiala,0.227079%
Pascoal,0.227079%
Rocha,0.198694%
Ricardo,0.198694%
Afonso,0.198694%
Alves,0.198694%
Antunes,0.198694%
Feijo,0.198694%
Fernando,0.198694%
Matias,0.198694%
Matos,0.198694%
Jorge,0.198694%
Cuato,0.198694%
Chipepe,0.198694%
Vasconcelos,0.198694%
Ernesto,0.198694%
Bambi,0.198694%
Baptista,0.198694%
Luis,0.198694%
Pires,0.198694%
Nicolau,0.170309%
Sampaio,0.170309%
Filipe,0.170309%
Felix,0.170309%
Hogrefe,0.170309%
Casimiro,0.170309%
Cristiano,0.170309%
Cabral,0.170309%
Venancio,0.170309%
Balanga,0.170309%
Kiteque,0.170309%
Leite,0.170309%
Li,0.170309%
Lourenco,0.170309%
Paz,0.170309%
Patricio,0.170309%
Nascimento,0.141924%
Neves,0.141924%
Nunes,0.141924%
Guedes,0.141924%
Tunga,0.141924%
Tandavala,0.141924%
Adao,0.141924%
Alberto,0.141924%
Ferraz,0.141924%
Figueiredo,0.141924%
Henriques,0.141924%
Miranda,0.141924%
Mateus,0.141924%
Jesus,0.141924%
Chaves,0.141924%
Cabanga,0.141924%
Duarte,0.141924%
David,0.141924%
Domingues,0.141924%
Vieira,0.141924%
Vaz,0.141924%
Varela,0.141924%
Eduardo,0.141924%
Ebo,0.141924%
Boavida,0.141924%
Borges,0.141924%
Limitada,0.141924%
Rafael,0.113540%
Inacio,0.113540%
Nzinga,0.113540%
Godinho,0.113540%
Tese,0.113540%
Tate,0.113540%
Tavira,0.113540%
Teixeira,0.113540%
Singa,0.113540%
Santana,0.113540%
Semedo,0.113540%
Solinho,0.113540%
Saraiva,0.113540%
Armando,0.113540%
Angelo,0.113540%
