LastName,Percentage
Gmbh,0.697830%
Huber,0.305029%
Gruber,0.292863%
Pichler,0.277220%
Steiner,0.262447%
Wagner,0.262447%
Moser,0.246804%
Mayer,0.242459%
Bauer,0.228555%
Mueller,0.219864%
Berger,0.195531%
Schneider,0.187710%
Maier,0.187710%
Leitner,0.183365%
Fischer,0.179889%
Hofer,0.179889%
Fuchs,0.179020%
Schmid,0.178151%
Mayr,0.168592%
Schmidt,0.167723%
Winkler,0.160770%
Peter,0.156425%
Schwarz,0.155556%
Weber,0.151211%
Mag,0.150342%
Michael,0.148604%
Egger,0.148604%
Thomas,0.145128%
Weiss,0.140783%
Dr,0.136438%
Eder,0.132961%
Martin,0.129485%
Lang,0.126009%
Christian,0.122533%
Auer,0.119926%
Strasser,0.116450%
Aigner,0.116450%
Wolf,0.115581%
Andreas,0.112974%
Wimmer,0.112105%
Lehner,0.111236%
Reiter,0.103414%
Baumgartner,0.103414%
Lechner,0.103414%
Wieser,0.103414%
Lackner,0.102545%
Wolfgang,0.101676%
Markus,0.099069%
Brunner,0.099069%
Schuster,0.098200%
Graf,0.097331%
Wallner,0.092117%
Haas,0.090379%
Koch,0.090379%
Ing,0.089510%
Holzer,0.087772%
Posch,0.086903%
Stadler,0.085165%
Ebner,0.085165%
Strobl,0.083427%
Stefan,0.082558%
Franz,0.082558%
Hofmann,0.079951%
Hoffmann,0.079082%
Koller,0.079082%
Winter,0.079082%
Fink,0.078213%
Werner,0.077344%
Haider,0.076475%
Walter,0.076475%
Alexander,0.075605%
Binder,0.074736%
Kaiser,0.074736%
Grabner,0.073867%
Seidl,0.072998%
Fritz,0.072998%
Karl,0.072998%
Schober,0.072129%
Hauser,0.072129%
Bernhard,0.071260%
Koenig,0.070391%
Rainer,0.069522%
Ortner,0.069522%
Neubauer,0.068653%
Kg,0.067784%
Kaufmann,0.067784%
Kern,0.066046%
Horvath,0.065177%
Riedl,0.064308%
Klein,0.064308%
Daniel,0.063439%
Christoph,0.062570%
Rauch,0.061701%
Pirker,0.061701%
Resch,0.059963%
Mair,0.059963%
Boehm,0.059094%
Maurer,0.058225%
Richter,0.057356%
Schweiger,0.057356%
Kainz,0.057356%
Schwaiger,0.056487%
Karner,0.056487%
Lindner,0.056487%
Robert,0.055618%
Schwab,0.055618%
Hans,0.054749%
Rieder,0.053880%
Friedrich,0.053880%
Hartl,0.053880%
Pfeiffer,0.053880%
Platzer,0.053880%
Riegler,0.053011%
Gerhard,0.053011%
Singer,0.053011%
Hofbauer,0.053011%
Kofler,0.053011%
Haslinger,0.052142%
Krenn,0.052142%
Sommer,0.051273%
Frank,0.051273%
Hager,0.051273%
Harald,0.051273%
Kogler,0.051273%
Prinz,0.051273%
Roth,0.050404%
Hackl,0.050404%
Beck,0.049535%
Konrad,0.049535%
Philipp,0.049535%
Putz,0.048666%
Reisinger,0.047797%
Holzinger,0.047797%
