LastName,Percentage
Croes,3.022975%
Maduro,2.136235%
Williams,1.975010%
Tromp,1.733172%
Kock,1.128577%
Geerman,1.007658%
Lacle,1.007658%
Jacobs,0.846433%
Mansur,0.806127%
Kelly,0.765820%
Werleman,0.765820%
Peterson,0.644901%
Ponson,0.644901%
Wever,0.644901%
Oduber,0.604595%
Henriquez,0.604595%
Cuba,0.604595%
Richardson,0.564289%
Rasmijn,0.564289%
Heronimo,0.523982%
Lopez,0.523982%
Arends,0.443370%
John,0.443370%
Lejuez,0.443370%
Franken,0.403063%
Citroen,0.403063%
Nicholson,0.362757%
Giel,0.362757%
Habibe,0.362757%
Kok,0.362757%
Lampe,0.362757%
Robert,0.322451%
Semeleer,0.322451%
Daou,0.322451%
Ruiz,0.282144%
Romero,0.282144%
Simon,0.282144%
Singh,0.282144%
Harms,0.282144%
Martina,0.282144%
Jansen,0.282144%
Visser,0.282144%
Erasmus,0.282144%
Eman,0.282144%
Brown,0.282144%
Koolman,0.282144%
Lee,0.282144%
Andrade,0.241838%
Aruba,0.241838%
Figaroa,0.241838%
Machado,0.241838%
Martinez,0.241838%
Dijkhoff,0.241838%
Every,0.241838%
Wong,0.241838%
Ridderstap,0.201532%
Ras,0.201532%
Roberts,0.201532%
Glas,0.201532%
Torres,0.201532%
Smit,0.201532%
Smith,0.201532%
Silva,0.201532%
Farro,0.201532%
Florez,0.201532%
Hilderbrand,0.201532%
Hoevertsz,0.201532%
Maxwell,0.201532%
Bermudez,0.201532%
Boekhoudt,0.201532%
Britten,0.201532%
Kan,0.201532%
Lugo,0.201532%
Yarzagaray,0.201532%
Paesch,0.201532%
Wolff,0.201532%
Rosario,0.161225%
Richards,0.161225%
Robles,0.161225%
Ng,0.161225%
Nicolaas,0.161225%
Gorter,0.161225%
Garcia,0.161225%
Gomez,0.161225%
Then,0.161225%
Sahijwani,0.161225%
Schoneveld,0.161225%
Schie,0.161225%
Frank,0.161225%
Fingal,0.161225%
Odor,0.161225%
Hernandez,0.161225%
Mezas,0.161225%
Maes,0.161225%
Mansell,0.161225%
James,0.161225%
Chez-ng,0.161225%
Dania,0.161225%
Davelaar,0.161225%
Daal,0.161225%
Daryanani,0.161225%
Veer,0.161225%
Evans,0.161225%
Bats,0.161225%
Bronswinkel,0.161225%
Brathen,0.161225%
Kuiperi,0.161225%
Paula,0.161225%
Picus,0.161225%
Pocorni,0.161225%
Prezime,0.161225%
Pinchos,0.161225%
Wilson,0.161225%
Winklaar,0.161225%
Wernet,0.161225%
Rosel,0.120919%
Rodriguez,0.120919%
Reeberg,0.120919%
Reiki,0.120919%
Rubio,0.120919%
Irausquin,0.120919%
Gerard,0.120919%
Gomes,0.120919%
Gottfried,0.120919%
Top,0.120919%
Thomson,0.120919%
Trikt,0.120919%
Thiel,0.120919%
Timmer,0.120919%
Simoons,0.120919%
Spellen,0.120919%
Schneider,0.120919%
Franca,0.120919%
Francees,0.120919%
Helder,0.120919%
Ho-zheng,0.120919%
Hill,0.120919%
Hsing,0.120919%
Halley,0.120919%
Hochman,0.120919%
Morales,0.120919%
Muyden,0.120919%
Misier,0.120919%
Mooij,0.120919%
Martha,0.120919%
Merryweather,0.120919%
Marchena,0.120919%
Martinus,0.120919%
Mackintosh,0.120919%
Javier,0.120919%
Jimenez,0.120919%
Jameson,0.120919%
Carmona,0.120919%
Chehade-frangie,0.120919%
Cohen,0.120919%
Cohen-henriquez,0.120919%
Christiaans,0.120919%
Dirksen,0.120919%
De,0.120919%
Vasquez,0.120919%
Vrolijk,0.120919%
Escalona,0.120919%
Baroud,0.120919%
Bernabela,0.120919%
Berg,0.120919%
Kameier,0.120919%
Kemmerling,0.120919%
Loefstok,0.120919%
Luydens,0.120919%
Lo-fo-sang,0.120919%
Lieuw,0.120919%
Lin,0.120919%
Putnam,0.120919%
Pietersz,0.120919%
Willems,0.120919%
Webb,0.120919%
Woelkens,0.120919%
Rivera,0.080613%
Roden,0.080613%
Reyes,0.080613%
Ruiz-sanchez,0.080613%
Ross,0.080613%
Raghunath,0.080613%
Ridderstaat,0.080613%
Rombley,0.080613%
Ramp,0.080613%
Richard,0.080613%
Rasmussen,0.080613%
Roelofs,0.080613%
Roelofsz,0.080613%
Rojas-recio,0.080613%
Rosenthal,0.080613%
Riley,0.080613%
Raymond,0.080613%
Rojas,0.080613%
Romondt,0.080613%
Ree,0.080613%
Ruiter,0.080613%
Rivero,0.080613%
Urizar,0.080613%
Ulacio,0.080613%
Inc,0.080613%
Name,0.080613%
Niel,0.080613%
Neme,0.080613%
Nogera,0.080613%
Nacionalbalashinv,0.080613%
Nahr,0.080613%
Gent,0.080613%
Griffith,0.080613%
Gonzalez,0.080613%
Grol,0.080613%
Gibson,0.080613%
Gumbs,0.080613%
Zimmerman,0.080613%
Zambrano,0.080613%
Zeppenfeldt,0.080613%
Zarraga,0.080613%
Zara,0.080613%
Zuniga,0.080613%
Zievinger,0.080613%
Trinks,0.080613%
Thielman,0.080613%
Theysen,0.080613%
Troeger,0.080613%
Total,0.080613%
Theodora,0.080613%
Taylor,0.080613%
Saer,0.080613%
Solognier,0.080613%
Siem,0.080613%
Sanchez,0.080613%
Schuilenburg,0.080613%
Sweetnam,0.080613%
Sarah,0.080613%
Saponara,0.080613%
Salie,0.080613%
Santiago,0.080613%
