LastName,Percentage
Alleyne,2.538798%
King,1.756449%
Williams,1.684862%
Clarke,1.436862%
Phillips,1.357605%
Smith,1.280904%
Moore,1.089152%
Brathwaite,1.022678%
Jones,1.002224%
Ward,0.976657%
Lewis,0.966431%
Worrell,0.958761%
Griffith,0.943420%
Blackman,0.925523%
Weekes,0.902513%
Edwards,0.897400%
Boyce,0.876946%
Payne,0.851379%
Yearwood,0.836039%
Layne,0.802802%
Thomas,0.749112%
Watson,0.738885%
Forde,0.728658%
Best,0.723545%
Browne,0.662184%
Belgrave,0.631504%
Reid,0.608493%
Morris,0.608493%
Bourne,0.580370%
White,0.572700%
Daniel,0.565030%
Jordan,0.559916%
Roach,0.557359%
Yarde,0.547133%
Holder,0.544576%
Archer,0.519009%
Brewster,0.519009%
Grant,0.511339%
Hall,0.506226%
Lynch,0.478102%
Beckles,0.475545%
Burke,0.449978%
Gittens,0.444865%
Goodridge,0.419298%
Richards,0.416741%
Wilson,0.414185%
Bryan,0.411628%
Haynes,0.409071%
Greenidge,0.406514%
Mason,0.406514%
Robinson,0.391174%
Hinds,0.391174%
Green,0.388618%
Carter,0.386061%
Stoute,0.383504%
Francis,0.383504%
Marshall,0.380948%
Graham,0.375834%
Armstrong,0.370721%
Murray,0.357937%
Hunte,0.355381%
Mcclean,0.355381%
Johnson,0.352824%
Bowen,0.350267%
Gilkes,0.345154%
Barrow,0.342597%
Cumberbatch,0.337484%
Sealy,0.334927%
Henry,0.334927%
Knight,0.327257%
Springer,0.324700%
Wilkinson,0.322144%
Belle,0.319587%
Walker,0.319587%
Greaves,0.317030%
Blenman,0.314473%
St,0.309360%
Small,0.306803%
Harewood,0.301690%
Harris,0.296577%
Austin,0.294020%
Carrington,0.294020%
Mayers,0.288907%
Wood,0.288907%
Codrington,0.286350%
Roberts,0.281236%
Linton,0.281236%
Parris,0.281236%
Adams,0.276123%
Taylor,0.273566%
Inniss,0.268453%
Harper,0.263340%
Ellis,0.260783%
Walcott,0.258226%
Campbell,0.247999%
Bishop,0.245443%
Burnett,0.245443%
Gibson,0.240329%
Ifill,0.237773%
Corbin,0.235216%
Nurse,0.232659%
Lashley,0.232659%
Maynard,0.230103%
Joseph,0.230103%
Callender,0.230103%
Young,0.230103%
James,0.227546%
Bovell,0.222432%
Gill,0.212206%
Arthur,0.212206%
Murrell,0.212206%
Norville,0.209649%
Miller,0.204536%
Gibbons,0.199422%
Davis,0.194309%
Cox,0.191752%
Barker,0.189195%
Babb,0.189195%
Greene,0.186639%
Gooding,0.184082%
Cadogan,0.184082%
Broomes,0.184082%
Thompson,0.181525%
Husbands,0.181525%
Branch,0.181525%
Walters,0.181525%
Bradshaw,0.178969%
Jackson,0.176412%
Waldron,0.176412%
Headley,0.173855%
Morgan,0.173855%
Drakes,0.173855%
Collymore,0.171299%
Chandler,0.168742%
Chase,0.168742%
Waithe,0.168742%
Trotman,0.166185%
Millar,0.166185%
Warner,0.163628%
Gibbs,0.161072%
Hope,0.161072%
Skeete,0.158515%
Bailey,0.158515%
Kellman,0.158515%
Douglas,0.155958%
Blackett,0.155958%
Batson,0.153402%
Bynoe,0.148288%
Leacock,0.148288%
Scantlebury,0.145732%
Ashby,0.145732%
Lawrence,0.145732%
Webster,0.145732%
Jemmott,0.143175%
Goddard,0.140618%
Alexander,0.140618%
Foster,0.140618%
Howell,0.140618%
Jackman,0.140618%
Patel,0.140618%
Newton,0.138062%
Hill,0.138062%
Bayley,0.138062%
Herbert,0.132948%
Bascombe,0.132948%
Gaskin,0.130391%
Charles,0.130391%
Brown,0.130391%
Watts,0.130391%
Agard,0.127835%
Cummins,0.125278%
Franklyn,0.122721%
Benjamin,0.120165%
Howard,0.117608%
Burrowes,0.117608%
Frederick,0.115051%
Crichlow,0.115051%
Ishmael,0.112495%
Hinkson,0.112495%
Butcher,0.112495%
Shepherd,0.109938%
Applewhaite,0.109938%
Blades,0.109938%
Humphrey,0.107381%
Nicholls,0.104824%
Niles,0.104824%
Sobers,0.104824%
Scott,0.104824%
Downes,0.104824%
Byer,0.104824%
Lovell,0.104824%
Lowe,0.104824%
Atherley,0.102268%
Franklin,0.102268%
Evelyn,0.102268%
Stuart,0.099711%
Harding,0.099711%
Bellamy,0.099711%
Leslie,0.099711%
Sargeant,0.097154%
Hutchinson,0.097154%
Devonish,0.097154%
Bannister,0.097154%
Boxill,0.097154%
Kirton,0.097154%
Stewart,0.094598%
Dottin,0.094598%
Burton,0.094598%
Rock,0.089484%
O-neal,0.089484%
Mccarthy,0.089484%
Mitchell,0.089484%
Brooks,0.089484%
Luke,0.089484%
Peters,0.089484%
Welch,0.086928%
Grazette,0.084371%
Sandiford,0.084371%
Seale,0.084371%
Allen,0.084371%
John,0.084371%
Deane,0.084371%
Edghill,0.084371%
Banfield,0.084371%
Taitt,0.081814%
Simmons,0.081814%
Pilgrim,0.081814%
Tull,0.079258%
Turney,0.079258%
Forte,0.079258%
Murphy,0.079258%
Mccollin,0.079258%
Benskin,0.079258%
Lloyd,0.079258%
Prince,0.079258%
Nelson,0.076701%
Eastmond,0.076701%
Estwick,0.076701%
Padmore,0.076701%
Prescod,0.076701%
Waterman,0.076701%
Wallace,0.076701%
Millington,0.074144%
Dixon,0.074144%
Broome,0.074144%
Brome,0.074144%
Baptiste,0.074144%
Licorish,0.074144%
Russell,0.071587%
Noel,0.071587%
George,0.071587%
Massiah,0.071587%
Evans,0.071587%
Benn,0.071587%
Lorde,0.071587%
Paul,0.071587%
Pierre,0.071587%
Redman,0.069031%
Toppin,0.069031%
Holmes,0.069031%
Mcdonald,0.069031%
Reece,0.066474%
Inc,0.066474%
Goodman,0.066474%
Gordon,0.066474%
Thorpe,0.066474%
Farley,0.066474%
Oliver,0.066474%
Harrison,0.066474%
Hurdle,0.066474%
Elcock,0.066474%
Bridgeman,0.066474%
Walkes,0.066474%
Rice,0.063917%
Neblett,0.063917%
Straker,0.063917%
Samuel,0.063917%
Allman,0.063917%
Fields,0.063917%
Fenty,0.063917%
Odle,0.063917%
Hurley,0.063917%
Medford,0.063917%
Eversley,0.063917%
Barnett,0.063917%
Burgess,0.063917%
Walrond,0.063917%
Grannum,0.061361%
Hackett,0.061361%
Durant,0.061361%
Bayne,0.061361%
Kinch,0.061361%
Pile,0.061361%
Price,0.061361%
Wiltshire,0.061361%
Garnes,0.058804%
Atkins,0.058804%
Atkinson,0.058804%
Cave,0.058804%
Baker,0.058804%
Puckerin,0.058804%
Thornhill,0.056247%
Simpson,0.056247%
Farrell,0.056247%
Mapp,0.056247%
Bostic,0.056247%
Khan,0.056247%
West,0.056247%
Ramsay,0.053691%
Andrews,0.053691%
Farnum,0.053691%
Hutson,0.053691%
Moseley,0.053691%
Mascoll,0.053691%
Cyrus,0.053691%
Drayton,0.053691%
Bennett,0.053691%
Kelly,0.053691%
Proverbs,0.053691%
Wade,0.053691%
Rowe,0.051134%
Riley,0.051134%
Thorne,0.051134%
Hewitt,0.051134%
Coppin,0.051134%
Carmichael,0.051134%
Brereton,0.051134%
Rudder,0.048577%
Rose,0.048577%
Spencer,0.048577%
Atwell,0.048577%
Anthony,0.048577%
Fraser,0.048577%
Matthews,0.048577%
Dash,0.048577%
Vaughan,0.048577%
Quintyne,0.048577%
Bobb,0.048577%
Pollard,0.048577%
Pinder,0.048577%
Wiggins,0.048577%
Ince,0.046021%
Grace,0.046021%
Adamson,0.046021%
Fagan,0.046021%
Hughes,0.046021%
Maxwell,0.046021%
Martin,0.046021%
Mottley,0.046021%
Clement,0.046021%
Doughlin,0.046021%
Dear,0.046021%
Bonnett,0.046021%
Boucher,0.046021%
Wright,0.046021%
Webb,0.046021%
Whittaker,0.046021%
Norris,0.043464%
Nicholas,0.043464%
Grimes,0.043464%
Tryhane,0.043464%
Fleming,0.043464%
Field,0.043464%
Manning,0.043464%
Jacobs,0.043464%
Crawford,0.043464%
Dalrymple,0.043464%
De,0.043464%
Defreitas,0.043464%
