LastName,Percentage
Sprl,0.578982%
De,0.387609%
Van,0.358417%
Philippe,0.356795%
Olivier,0.332468%
David,0.306520%
Patrick,0.289491%
Peter,0.274084%
Christophe,0.265164%
Marc,0.253000%
Peeters,0.252189%
Laurent,0.238404%
Nicolas,0.236782%
Pierre,0.229484%
Thomas,0.227862%
Michel,0.214077%
Janssens,0.206779%
Tom,0.200292%
Vincent,0.197859%
Jan,0.191372%
Bart,0.182452%
Luc,0.167856%
Maes,0.167045%
Eric,0.166234%
Alain,0.162180%
Pascal,0.153260%
Frederic,0.150827%
Wim,0.145151%
Willems,0.141907%
Jean,0.141096%
Mertens,0.137853%
Sa,0.137042%
Johan,0.136231%
Bvba,0.132176%
Didier,0.129744%
Michael,0.126500%
Koen,0.126500%
Thierry,0.125689%
Jacobs,0.125689%
Geert,0.124067%
Pieter,0.121635%
Paul,0.119202%
Francois,0.118391%
Claes,0.115148%
Dirk,0.114337%
Yves,0.114337%
Benoit,0.113526%
Bernard,0.111904%
Smet,0.111093%
Guy,0.107039%
Wouters,0.105417%
Vermeulen,0.103795%
Xavier,0.103795%
Frank,0.102984%
Mathieu,0.102984%
Julien,0.102984%
Steven,0.101362%
Simon,0.100551%
Pauwels,0.100551%
Antoine,0.099741%
Kevin,0.098119%
Martens,0.097308%
Cedric,0.094064%
Dominique,0.094064%
Denis,0.092442%
Martin,0.091632%
Alexandre,0.090821%
Daniel,0.090010%
Tim,0.086766%
Filip,0.086766%
Jeroen,0.086766%
Bruno,0.085955%
Goossens,0.084333%
Gregory,0.083523%
Desmet,0.083523%
Sebastien,0.082712%
Jonathan,0.082712%
Wouter,0.081901%
Stijn,0.081090%
Hans,0.081090%
Arnaud,0.079468%
Hermans,0.079468%
Stevens,0.078657%
Hendrickx,0.078657%
Jacques,0.077846%
Michiels,0.077035%
Kristof,0.076224%
Asbl,0.075414%
Guillaume,0.074603%
Stephane,0.072981%
Mohamed,0.072981%
Claeys,0.072981%
Serge,0.072170%
Christian,0.072170%
Benjamin,0.072170%
Bogaert,0.071359%
Bert,0.071359%
Gilles,0.070548%
Vos,0.070548%
Kris,0.070548%
Aerts,0.069737%
Janssen,0.068926%
Fabrice,0.068115%
Robert,0.067305%
Dimitri,0.067305%
Anne,0.066494%
Jurgen,0.064872%
Joris,0.064061%
Devos,0.064061%
Sophie,0.063250%
Nathalie,0.062439%
Erik,0.060817%
Lemmens,0.060817%
Anthony,0.059196%
Maxime,0.059196%
Maarten,0.059196%
Dupont,0.059196%
Dubois,0.058385%
Pieters,0.058385%
Smets,0.057574%
Jansen,0.057574%
Nv,0.056763%
Caroline,0.056763%
Charles,0.056763%
Catherine,0.056763%
Jonas,0.055952%
Louis,0.055952%
Stefan,0.055141%
Lauwers,0.055141%
Raphael,0.054330%
Sven,0.054330%
Segers,0.053519%
Andre,0.053519%
Frederik,0.053519%
Coppens,0.053519%
Chris,0.053519%
Claude,0.053519%
Emmanuel,0.053519%
Gerard,0.052708%
Thys,0.052708%
Dries,0.052708%
Verhoeven,0.052708%
Andy,0.051898%
Alexis,0.051898%
Moens,0.051898%
Cuypers,0.051898%
Gert,0.051087%
Damien,0.051087%
Quentin,0.051087%
Geerts,0.050276%
Samuel,0.049465%
Dumont,0.049465%
Verbeeck,0.049465%
Bosmans,0.049465%
Cools,0.048654%
Danny,0.048654%
Ben,0.048654%
Richard,0.047843%
Bertrand,0.047843%
Vandamme,0.047032%
Verheyen,0.047032%
Lenaerts,0.047032%
Timmermans,0.046221%
Alexander,0.046221%
Marie,0.046221%
Declercq,0.045410%
Verlinden,0.045410%
Eddy,0.045410%
Etienne,0.045410%
Lambert,0.045410%
Peters,0.045410%
John,0.044599%
Vandevelde,0.044599%
Yannick,0.044599%
Ann,0.043789%
Cornelis,0.043789%
Lievens,0.043789%
Ludovic,0.043789%
Isabelle,0.042978%
Somers,0.042978%
Steve,0.042978%
Herman,0.042978%
Julie,0.042978%
Verstraete,0.042978%
Lionel,0.042978%
Clercq,0.042167%
Velde,0.042167%
Vandenberghe,0.042167%
Bauwens,0.042167%
Geoffrey,0.041356%
Sam,0.041356%
Francis,0.041356%
Kurt,0.041356%
Laurence,0.041356%
Verhaeghe,0.040545%
Bram,0.040545%
Thijs,0.039734%
Fabian,0.039734%
Jerome,0.039734%
Claessens,0.039734%
Dieter,0.039734%
Lefebvre,0.039734%
Wuyts,0.039734%
Stefaan,0.038923%
Matthieu,0.038923%
Verbruggen,0.038923%
Bogaerts,0.038923%
Bossche,0.038923%
Nick,0.038112%
Thibaut,0.038112%
Swinnen,0.038112%
Vermeersch,0.038112%
Pauw,0.038112%
Philip,0.038112%
Master,0.037301%
Broeck,0.037301%
Wauters,0.037301%
Romain,0.036490%
Renard,0.036490%
Andries,0.036490%
Mahieu,0.036490%
Coenen,0.036490%
Delvaux,0.036490%
Damme,0.036490%
Vandeputte,0.036490%
Verschueren,0.036490%
Leroy,0.036490%
Lambrechts,0.036490%
Nys,0.035680%
Noel,0.035680%
Nico,0.035680%
Georges,0.035680%
Dhr,0.035680%
Els,0.035680%
Belgium,0.035680%
Willem,0.035680%
Robin,0.034869%
Geens,0.034869%
Huysmans,0.034869%
Callens,0.034869%
Dyck,0.034869%
Baert,0.034869%
Kim,0.034869%
Legrand,0.034869%
Ronny,0.034058%
Nijs,0.034058%
Goethals,0.034058%
Alex,0.034058%
Axel,0.034058%
Franck,0.034058%
Martine,0.034058%
Jo,0.034058%
Rudi,0.033247%
Ahmed,0.033247%
Charlotte,0.033247%
Coster,0.033247%
Verstraeten,0.033247%
Engels,0.033247%
Petit,0.033247%
Werner,0.033247%
Witte,0.033247%
Rudy,0.032436%
Goris,0.032436%
Gielen,0.032436%
Sylvie,0.032436%
Smits,0.032436%
Adam,0.032436%
Mark,0.032436%
Mario,0.032436%
Meeus,0.032436%
Mathias,0.032436%
Cock,0.032436%
Christiaens,0.032436%
Davy,0.032436%
Vermeiren,0.032436%
Engelen,0.032436%
Lieven,0.032436%
Gillet,0.031625%
Simons,0.031625%
Hubert,0.031625%
Michiel,0.031625%
Deckers,0.031625%
Deprez,0.031625%
Vandewalle,0.031625%
Vanhove,0.031625%
Verhulst,0.031625%
Glenn,0.030814%
Temmerman,0.030814%
Jans,0.030814%
Jeremy,0.030814%
Verhaegen,0.030814%
Beckers,0.030814%
Bosch,0.030814%
Luyckx,0.030814%
Lejeune,0.030814%
Patricia,0.030814%
Roy,0.030003%
Tanguy,0.030003%
Smeets,0.030003%
Stephan,0.030003%
Stephanie,0.030003%
Albert,0.030003%
Ali,0.030003%
Meyer,0.030003%
Marechal,0.030003%
Backer,0.030003%
Karim,0.030003%
William,0.030003%
Roger,0.029192%
Marco,0.029192%
Jelle,0.029192%
Decker,0.029192%
Dewulf,0.029192%
Vanessa,0.029192%
Bjorn,0.029192%
Kathleen,0.029192%
Wolf,0.029192%
Raes,0.028381%
Nuyts,0.028381%
Gauthier,0.028381%
Gabriel,0.028381%
Scs,0.028381%
Sofie,0.028381%
Fontaine,0.028381%
Henry,0.028381%
Joseph,0.028381%
Dobbelaere,0.028381%
Verbeke,0.028381%
Verdonck,0.028381%
Thibault,0.027571%
Manuel,0.027571%
Jean-pierre,0.027571%
Carl,0.027571%
Clement,0.027571%
Vercauteren,0.027571%
Evrard,0.027571%
Eeckhout,0.027571%
Lucas,0.027571%
Wilde,0.027571%
Rik,0.026760%
Renaud,0.026760%
Information,0.026760%
Fabien,0.026760%
Fransen,0.026760%
Hugues,0.026760%
Moors,0.026760%
Manu,0.026760%
Matthys,0.026760%
Joeri,0.026760%
Ceulemans,0.026760%
Christine,0.026760%
Delphine,0.026760%
Dierickx,0.026760%
Vercruysse,0.026760%
Eynde,0.026760%
Karel,0.026760%
Linden,0.026760%
Parmentier,0.026760%
Pattyn,0.026760%
Roels,0.025949%
Toussaint,0.025949%
Soenen,0.025949%
Sandra,0.025949%
Acker,0.025949%
Hugo,0.025949%
Hoste,0.025949%
Matthias,0.025949%
Meert,0.025949%
Mestdagh,0.025949%
Marcel,0.025949%
Maria,0.025949%
Jef,0.025949%
Jonckheere,0.025949%
Dekeyser,0.025949%
Vanneste,0.025949%
Viaene,0.025949%
Leysen,0.025949%
Reynders,0.025138%
Inge,0.025138%
Gunther,0.025138%
Schepers,0.025138%
Saelens,0.025138%
Helsen,0.025138%
Hove,0.025138%
Heylen,0.025138%
Heymans,0.025138%
Hilde,0.025138%
Moreau,0.025138%
Muller,0.025138%
Mike,0.025138%
Jacob,0.025138%
Cox,0.025138%
Delfosse,0.025138%
Veronique,0.025138%
Blomme,0.025138%
Berghe,0.025138%
Patrice,0.025138%
Roland,0.024327%
Roose,0.024327%
Smith,0.024327%
Six,0.024327%
Masters,0.024327%
Jean-marc,0.024327%
Jose,0.024327%
Charlier,0.024327%
Daems,0.024327%
Decock,0.024327%
Dave,0.024327%
Vanhoutte,0.024327%
Boone,0.024327%
Karl,0.024327%
Leclercq,0.024327%
Ludo,0.024327%
Gilbert,0.023516%
Groote,0.023516%
Gaetan,0.023516%
Steyaert,0.023516%
Sanders,0.023516%
Seghers,0.023516%
An,0.023516%
Huybrechts,0.023516%
Mortier,0.023516%
Marien,0.023516%
Mortelmans,0.023516%
Chantal,0.023516%
Carpentier,0.023516%
Dhondt,0.023516%
Deleu,0.023516%
Dierckx,0.023516%
Valerie,0.023516%
Vandendriessche,0.023516%
Keyser,0.023516%
Lacroix,0.023516%
Lefevre,0.023516%
Remy,0.022705%
Ruben,0.022705%
Roelandt,0.022705%
Ingrid,0.022705%
Neve,0.022705%
Sabine,0.022705%
Silva,0.022705%
Angelo,0.022705%
Florian,0.022705%
Joel,0.022705%
Decoster,0.022705%
Vercammen,0.022705%
Verhelst,0.022705%
Verelst,0.022705%
Erwin,0.022705%
Bekaert,0.022705%
Bob,0.022705%
Kelly,0.022705%
Leemans,0.022705%
Laura,0.022705%
Piet,0.022705%
Ronald,0.021894%
It,0.021894%
Troch,0.021894%
Thiry,0.021894%
Smedt,0.021894%
Fabienne,0.021894%
