LastName,Percentage
Ouedraogo,5.227818%
Sanou,2.158273%
Sawadogo,1.726619%
Kabore,1.390887%
Traore,1.247002%
Burkina,0.959233%
Ouattara,0.911271%
Hien,0.767386%
Abdoul,0.671463%
Zongo,0.623501%
Compaore,0.623501%
Konfe,0.575540%
Pare,0.575540%
Tiendrebeogo,0.527578%
Sarl,0.527578%
Diallo,0.527578%
Ilboudo,0.479616%
David,0.479616%
Badoun,0.479616%
Ky,0.479616%
Kone,0.479616%
Faguinin,0.431655%
Roland,0.383693%
Nikiema,0.383693%
Coulibaly,0.383693%
Chibuike,0.383693%
Barro,0.383693%
Lawson,0.383693%
Nana,0.335731%
Thomas,0.335731%
Ousmane,0.335731%
Dao,0.335731%
Balima,0.335731%
Karfo,0.335731%
Lankoande,0.335731%
William,0.335731%
Neboua,0.287770%
Tapsoba,0.287770%
Soulama,0.287770%
Some,0.287770%
Sylvain,0.287770%
Abdoulaye,0.287770%
Moussa,0.287770%
Dene,0.287770%
Valentin,0.287770%
Yanogo,0.287770%
Padmore,0.287770%
Ismael,0.239808%
Nourou,0.239808%
Zoungrana,0.239808%
Tankoano,0.239808%
Sangare,0.239808%
Savadogo,0.239808%
Serge,0.239808%
Siaka,0.239808%
Sankara,0.239808%
Fabrice,0.239808%
Faso,0.239808%
Ouoba,0.239808%
Millogo,0.239808%
Joseph,0.239808%
Cheick,0.239808%
Daniel,0.239808%
Diarra,0.239808%
Bambio,0.239808%
Boncoungou,0.239808%
Konate,0.239808%
Lao,0.239808%
Yougbare,0.239808%
Yameogo,0.239808%
Wilfried,0.239808%
Wogu,0.239808%
Rodrigue,0.191847%
Rouamba,0.191847%
Idrissa,0.191847%
Gnampa,0.191847%
Zakaria,0.191847%
Tarpaga,0.191847%
Thierry,0.191847%
Salifou,0.191847%
Samandoulougou,0.191847%
Sere,0.191847%
Abdou,0.191847%
Afrique,0.191847%
Antoine,0.191847%
Olivier,0.191847%
Hann,0.191847%
Michel,0.191847%
Maiga,0.191847%
Jean,0.191847%
Campus,0.191847%
Viano,0.191847%
Eric,0.191847%
Bolly,0.191847%
Bambara,0.191847%
Bf,0.191847%
Kanlieguibe,0.191847%
Korsaga,0.191847%
Yves,0.191847%
Yaogo,0.191847%
Pitroipa,0.191847%
Ping,0.191847%
Romaric,0.143885%
Innocent,0.143885%
Issaka,0.143885%
Issoufou,0.143885%
Nonguierma,0.143885%
Nebie,0.143885%
Nick,0.143885%
Nignan,0.143885%
Gildas,0.143885%
Guire,0.143885%
Guiguemde,0.143885%
Gadegbeku,0.143885%
Gow,0.143885%
Giovani,0.143885%
Guyotte,0.143885%
Ghislain,0.143885%
Tiene,0.143885%
Tianhoun,0.143885%
Sanon,0.143885%
Sidibe,0.143885%
Sakande,0.143885%
Soma,0.143885%
Sow,0.143885%
Sanfo,0.143885%
Auguste,0.143885%
Augustin,0.143885%
Armel,0.143885%
Ayida,0.143885%
Adama,0.143885%
Faozane,0.143885%
Francois,0.143885%
Okonkwo,0.143885%
Omar,0.143885%
Hugues,0.143885%
Hie,0.143885%
Hamed,0.143885%
Hamadou,0.143885%
Macauley,0.143885%
Mathieu,0.143885%
Mohamed,0.143885%
Judith,0.143885%
Christian,0.143885%
Clement,0.143885%
Doulaye,0.143885%
Didier,0.143885%
Doucoure,0.143885%
Dimitri,0.143885%
Drabo,0.143885%
Vincent,0.143885%
Bonkoungou,0.143885%
Benao,0.143885%
Bodje,0.143885%
Bande,0.143885%
Bance,0.143885%
Bruno,0.143885%
Bado,0.143885%
Bertrand,0.143885%
Boyarm,0.143885%
Bagou,0.143885%
Bazie,0.143885%
Kassoum,0.143885%
Koffi,0.143885%
Kadeba,0.143885%
Kuevidjen,0.143885%
Keita,0.143885%
Koussoube,0.143885%
Kiendrebeogo,0.143885%
Kogo,0.143885%
Kagone,0.143885%
Kwende,0.143885%
Kindo,0.143885%
Koanda,0.143885%
Kambou,0.143885%
Lompo,0.143885%
Lingani,0.143885%
Younoussa,0.143885%
Pierre,0.143885%
Wendsomde,0.143885%
Ramde,0.095923%
Rameshwar,0.095923%
Rasmani,0.095923%
Roman,0.095923%
Romain,0.095923%
Riches,0.095923%
Rebecca,0.095923%
Robert,0.095923%
Uba,0.095923%
Informatique,0.095923%
Ibrahim,0.095923%
Issouf,0.095923%
Illa,0.095923%
Idriss,0.095923%
Napon,0.095923%
Naba,0.095923%
Niang,0.095923%
Neya,0.095923%
Naaba,0.095923%
Nacambo,0.095923%
Nadjoari,0.095923%
Nizeyimana,0.095923%
Gansbeogo,0.095923%
Gaudreault,0.095923%
Gounongbe,0.095923%
Guinko,0.095923%
General,0.095923%
Zonou,0.095923%
Tall,0.095923%
Tinto,0.095923%
Thiemounou,0.095923%
Tchakpi,0.095923%
Thitey,0.095923%
Toure,0.095923%
Tuo,0.095923%
Tech,0.095923%
Toe,0.095923%
Souleymane,0.095923%
Sibiri,0.095923%
Siribie,0.095923%
Stanislas,0.095923%
Sanson,0.095923%
Sagnon,0.095923%
Sinare,0.095923%
Sika,0.095923%
Smith,0.095923%
Sounkalo,0.095923%
Soumbougma,0.095923%
Salia,0.095923%
Soumahoro,0.095923%
Seferiba,0.095923%
Stephane,0.095923%
Sore,0.095923%
Amenyah-aflissah,0.095923%
Alladari,0.095923%
Alain,0.095923%
Aboadji,0.095923%
Alberic,0.095923%
Alima,0.095923%
Audet,0.095923%
Aristide,0.095923%
Ange,0.095923%
Aos,0.095923%
Alexis,0.095923%
Akapo,0.095923%
Anderson,0.095923%
Ahmed,0.095923%
Ali,0.095923%
Ayinde,0.095923%
Atsin,0.095923%
Aboubacar,0.095923%
Aboubacrine,0.095923%
Fondation,0.095923%
Oubda,0.095923%
Onadja,0.095923%
Oudet,0.095923%
Ohwofasa,0.095923%
Hodrick,0.095923%
Hilaire,0.095923%
