LastName,Percentage
Burundi,1.934524%
Terimbere,1.190476%
Fabrice,1.041667%
Nshimirimana,0.892857%
Girimana,0.892857%
Hakizimana,0.892857%
Joseph,0.892857%
Batunanga,0.892857%
Ndayishimiye,0.744048%
Nyamitwe,0.744048%
David,0.744048%
Nzirayukuri,0.595238%
Tanwar,0.595238%
Smith,0.595238%
Abibu,0.595238%
Marcel,0.595238%
Jean,0.595238%
Ciza,0.595238%
Vandenkerckhove,0.595238%
Bruce,0.595238%
Willy,0.595238%
Ibrahim,0.446429%
Ngoy,0.446429%
Ndoricimpa,0.446429%
Nkurunziza,0.446429%
Arthur,0.446429%
Ferdinand,0.446429%
Havyarimana,0.446429%
Herve,0.446429%
Mathurin,0.446429%
Mbonayo,0.446429%
Dieu,0.446429%
Kwizera,0.446429%
Ping,0.446429%
Rwanda,0.297619%
Rugenge,0.297619%
Iradukunda,0.297619%
Ndikumana,0.297619%
Ndikuriyo,0.297619%
Newton,0.297619%
Niyonzima,0.297619%
Nicolas,0.297619%
Nduwimana,0.297619%
Ndayiziga,0.297619%
Nkomerwa,0.297619%
Grizovic,0.297619%
Thomas,0.297619%
Sadi,0.297619%
Sinamenye,0.297619%
Shokoloko,0.297619%
Azoulay,0.297619%
Augustin,0.297619%
Asimbahwe,0.297619%
Ali,0.297619%
Femme,0.297619%
Fbreb,0.297619%
Hernandez,0.297619%
Mutekano,0.297619%
Manix,0.297619%
Monica,0.297619%
Manirambona,0.297619%
Mitimituje,0.297619%
Mahaba,0.297619%
Marc,0.297619%
Mugisha,0.297619%
Coyitungiye,0.297619%
Castro,0.297619%
Charles,0.297619%
Denny,0.297619%
Damien,0.297619%
Dieudonne,0.297619%
Eddy,0.297619%
Emmanuel,0.297619%
Bisimwa,0.297619%
Blaise,0.297619%
Burundibuhire,0.297619%
Kanmadozo,0.297619%
Khadgawat,0.297619%
Lazarov,0.297619%
Leonard,0.297619%
Lukongodo,0.297619%
Projetct,0.297619%
Wenceslas,0.297619%
Web,0.297619%
Roland,0.148810%
Rtutyu,0.148810%
Rui,0.148810%
Rubyagiriza,0.148810%
Rugarabamu,0.148810%
Rugayabatinya,0.148810%
Reb,0.148810%
Redding,0.148810%
Rchard,0.148810%
Rutozi,0.148810%
Rainbow,0.148810%
Regis,0.148810%
Rurihafi,0.148810%
Raadja,0.148810%
Rthtrh,0.148810%
Ramadhan,0.148810%
Rutihinda,0.148810%
Umurerwa,0.148810%
Ubfe,0.148810%
Immaculee,0.148810%
Inigo,0.148810%
Ikizakubuntu,0.148810%
Iryumugabo,0.148810%
It,0.148810%
Ikoriciza,0.148810%
Inc,0.148810%
Irenge,0.148810%
Iramurikiye,0.148810%
Iranzi,0.148810%
Ndikumasabo,0.148810%
Nfudn,0.148810%
Nibatunge,0.148810%
Nzabampema,0.148810%
Nzambimana,0.148810%
Nzobonankira,0.148810%
Nzojiyobiri,0.148810%
Nzoyisenga,0.148810%
Ntirandekura,0.148810%
Ngagara,0.148810%
Nihangaza,0.148810%
Niyongabo,0.148810%
Niyongrabire,0.148810%
Niyungeko,0.148810%
Ngaruko,0.148810%
Ngendahayosimbare,0.148810%
Ntakirutimana,0.148810%
Nfe,0.148810%
Ntahe,0.148810%
Ntahiraja,0.148810%
Ndabigeze,0.148810%
Nifasha,0.148810%
Nijimbere,0.148810%
Nishimwe,0.148810%
Ndanziza,0.148810%
Ndayikeje,0.148810%
Ndayikengurukiye,0.148810%
Ndayikengurutse,0.148810%
Nganga,0.148810%
Ntwari,0.148810%
Nitunga,0.148810%
Noella,0.148810%
Nn,0.148810%
Nyamurangwai,0.148810%
Nen,0.148810%
Nditangiye,0.148810%
Ndiyimirije,0.148810%
Ndereyahaga,0.148810%
Ndereyimana,0.148810%
Ntibibuka,0.148810%
Ntigarura,0.148810%
Guy,0.148810%
Gilbert,0.148810%
Guo,0.148810%
Galante,0.148810%
Geoffrey,0.148810%
Glaud,0.148810%
Gateka,0.148810%
Giraso,0.148810%
Girbaud,0.148810%
Gilles,0.148810%
Gueye,0.148810%
Glasspool,0.148810%
Grwgwqegw,0.148810%
Greh,0.148810%
Gaston,0.148810%
Gospel,0.148810%
Gahamanyi,0.148810%
Gaarla,0.148810%
Guido,0.148810%
Germain,0.148810%
Godefroid,0.148810%
Gozlan,0.148810%
Zuzuba,0.148810%
Zhi,0.148810%
Tv,0.148810%
Tharcisse,0.148810%
Todorova,0.148810%
Tresor,0.148810%
Tanzer,0.148810%
Thierry,0.148810%
Travels,0.148810%
Txemi,0.148810%
Selvaraj,0.148810%
Sheila,0.148810%
Semayugi,0.148810%
Sommer,0.148810%
Su,0.148810%
Seburagu,0.148810%
Sinarinzi,0.148810%
Shayaye,0.148810%
School,0.148810%
Sabimbona,0.148810%
Sezerano,0.148810%
Sezikeya,0.148810%
Shan,0.148810%
Shopltd,0.148810%
Songore,0.148810%
Saunders,0.148810%
Samuel,0.148810%
Sida,0.148810%
Stanchev,0.148810%
Abdallahmanirakiza,0.148810%
Astere,0.148810%
Amidou,0.148810%
Agency,0.148810%
Asd,0.148810%
Asdas,0.148810%
Angata,0.148810%
Adelard,0.148810%
Alice,0.148810%
Albin,0.148810%
Abdul,0.148810%
Aimable,0.148810%
Adams,0.148810%
Avila,0.148810%
Adas,0.148810%
Afrika,0.148810%
Afriregister,0.148810%
Athuman,0.148810%
Anderson,0.148810%
Amy,0.148810%
Anatolie,0.148810%
Alida,0.148810%
Ashak,0.148810%
Apro-sante,0.148810%
Arakaza,0.148810%
Abisezerano,0.148810%
Agaba,0.148810%
Fourier,0.148810%
Francis,0.148810%
Fawefase,0.148810%
Felouse,0.148810%
Flores,0.148810%
Fdhn,0.148810%
Francois,0.148810%
Fdb,0.148810%
Francisco,0.148810%
Franklin,0.148810%
Foster,0.148810%
Florien,0.148810%
Fetes,0.148810%
Fuskjljs,0.148810%
Fasefasef,0.148810%
Fewfase,0.148810%
Fseafaesfa,0.148810%
Fseafase,0.148810%
Fashion,0.148810%
Frgrt,0.148810%
Frontiere,0.148810%
Funguoo,0.148810%
Oaks,0.148810%
Onesphore,0.148810%
Olivier,0.148810%
Organization,0.148810%
Ottica,0.148810%
Oki,0.148810%
Owanda,0.148810%
Ouedraogo,0.148810%
Huot,0.148810%
Hussein,0.148810%
Hh,0.148810%
Haidong,0.148810%
Huang,0.148810%
House,0.148810%
Harfouch,0.148810%
Hani,0.148810%
Hamington,0.148810%
Hanlon,0.148810%
Hope,0.148810%
Hg,0.148810%
Henri,0.148810%
Hatu,0.148810%
Haffa,0.148810%
Hanzo,0.148810%
Masoud,0.148810%
Mechack,0.148810%
Mwiza,0.148810%
Mbereye,0.148810%
Miruho,0.148810%
Marty,0.148810%
Mworoha,0.148810%
Mworohabi,0.148810%
Musa,0.148810%
Mukalazi,0.148810%
Museveni,0.148810%
Mugabo,0.148810%
Muhizi,0.148810%
Marie,0.148810%
Martin,0.148810%
Me,0.148810%
Minani,0.148810%
Miterand,0.148810%
Manu,0.148810%
Mutama,0.148810%
Munro,0.148810%
Magnus,0.148810%
Mbanje,0.148810%
Mihaylov,0.148810%
Mukwiye,0.148810%
Manirafasha,0.148810%
Manirakiza,0.148810%
Mbonimpa,0.148810%
Muhimpundu,0.148810%
Muhimuzi,0.148810%
Makera,0.148810%
Mpawenayo,0.148810%
Mpawenimana,0.148810%
Mullan,0.148810%
Mujambere,0.148810%
Mathieu,0.148810%
Musavuli,0.148810%
Muyubira,0.148810%
Mugiraneza,0.148810%
Mutoni,0.148810%
Makene,0.148810%
Miniere,0.148810%
Jerome,0.148810%
Janvier,0.148810%
Jose,0.148810%
Jumaine,0.148810%
Jacques,0.148810%
Julien,0.148810%
Jobcrossroad,0.148810%
Joviani,0.148810%
Jib,0.148810%
Jesuites,0.148810%
Jerjo,0.148810%
Claver,0.148810%
Cijdf,0.148810%
Campbell,0.148810%
Csi,0.148810%
Cap,0.148810%
Cheko,0.148810%
Can,0.148810%
Com,0.148810%
Cibambo,0.148810%
Centre,0.148810%
Corrado,0.148810%
Chalk,0.148810%
Chris,0.148810%
Cndi,0.148810%
Cvcvcu,0.148810%
Ca,0.148810%
Cracchiolo,0.148810%
Claude,0.148810%
Cristobo,0.148810%
Cimanuka,0.148810%
Canova,0.148810%
Chalabi,0.148810%
Carroll,0.148810%
Cement,0.148810%
Cool,0.148810%
Combs,0.148810%
Dsgd,0.148810%
Dfs,0.148810%
Damascene,0.148810%
Denis,0.148810%
Dhfh,0.148810%
Dairy,0.148810%
Doe,0.148810%
Delphin,0.148810%
Dfevc,0.148810%
Deo,0.148810%
Dekov,0.148810%
Dve,0.148810%
Derrick,0.148810%
Da,0.148810%
Didiermarcel,0.148810%
Dia,0.148810%
Dekker,0.148810%
Deweese,0.148810%
Doukhopelnikoff,0.148810%
Dalang,0.148810%
Dr,0.148810%
Davis,0.148810%
Victimes,0.148810%
Veltchev,0.148810%
Vqegb,0.148810%
Van,0.148810%
Vwarvw,0.148810%
Vwwr,0.148810%
Vietz,0.148810%
Valence,0.148810%
Vawrvfr,0.148810%
Qi,0.148810%
Xzvdge,0.148810%
Espoir,0.148810%
Erty,0.148810%
Ewr,0.148810%
Ewrew,0.148810%
Edwards,0.148810%
Egide,0.148810%
Eric,0.148810%
Eloge,0.148810%
Edith,0.148810%
Ececo,0.148810%
Ella,0.148810%
Eugene,0.148810%
Emile,0.148810%
Baro,0.148810%
Bigot,0.148810%
Bapfumukeko,0.148810%
Bishop,0.148810%
Bilir,0.148810%
Bagirubwira,0.148810%
Butagari,0.148810%
Butari,0.148810%
Berb,0.148810%
Brothers,0.148810%
Baughman,0.148810%
Bertille,0.148810%
Barnes,0.148810%
Bright,0.148810%
Branch,0.148810%
Bankukira,0.148810%
Bas,0.148810%
Burudi,0.148810%
Bucumi,0.148810%
Bishariza,0.148810%
