LastName,Percentage
Vargas,1.046851%
Gutierrez,0.952463%
Juan,0.900978%
Jose,0.875236%
Rodriguez,0.789429%
Flores,0.737944%
Rojas,0.729363%
Mendoza,0.677879%
Mamani,0.634975%
Fernandez,0.566329%
Cruz,0.532006%
Luis,0.506264%
Garcia,0.497683%
Lopez,0.480522%
Carlos,0.463360%
Jorge,0.454779%
Chavez,0.446199%
Choque,0.437618%
Guzman,0.429037%
Bolivia,0.429037%
Torrez,0.403295%
Quispe,0.403295%
Martinez,0.394714%
Gonzales,0.377553%
Sanchez,0.377553%
Cuellar,0.368972%
Perez,0.360391%
Ramirez,0.351811%
Ruiz,0.343230%
Castro,0.334649%
Romero,0.326068%
Alvarez,0.326068%
Gomez,0.308907%
Morales,0.308907%
Cespedes,0.308907%
Miranda,0.300326%
Torrico,0.291745%
Suarez,0.291745%
Villarroel,0.291745%
Quiroga,0.291745%
Rios,0.283165%
Cabrera,0.283165%
Rocha,0.274584%
Saavedra,0.274584%
Justiniano,0.274584%
Vaca,0.274584%
Salazar,0.266003%
Miguel,0.266003%
Rivero,0.257422%
Salinas,0.257422%
Aguilar,0.248842%
Mendez,0.248842%
Camacho,0.248842%
Paredes,0.248842%
Mercado,0.240261%
Jimenez,0.240261%
Diaz,0.240261%
Rivera,0.231680%
Arteaga,0.231680%
Castillo,0.231680%
Pacheco,0.231680%
Zeballos,0.223099%
Ortiz,0.223099%
Roca,0.214519%
Ramos,0.214519%
Tapia,0.214519%
Arce,0.214519%
Hinojosa,0.214519%
David,0.214519%
Paz,0.214519%
Pinto,0.214519%
Aguirre,0.205938%
Zambrana,0.197357%
Hurtado,0.197357%
Julio,0.197357%
Claros,0.197357%
Velasquez,0.197357%
Alarcon,0.188776%
Orellana,0.188776%
Heredia,0.188776%
Montero,0.188776%
Mejia,0.188776%
Jaime,0.188776%
Calderon,0.188776%
Luna,0.188776%
Ribera,0.180196%
Teran,0.180196%
Aramayo,0.180196%
Javier,0.180196%
Cordova,0.180196%
Victor,0.180196%
Gonzalez,0.171615%
Srl,0.171615%
Sotomayor,0.171615%
Sergio,0.171615%
Aliaga,0.171615%
Apaza,0.171615%
Moreno,0.171615%
Marco,0.171615%
Calle,0.171615%
Campos,0.171615%
Daza,0.171615%
Escobar,0.171615%
Espinoza,0.171615%
Pablo,0.171615%
Reyes,0.163034%
Roberto,0.163034%
Sandoval,0.163034%
Maldonado,0.163034%
Murillo,0.163034%
Soliz,0.154453%
Soto,0.154453%
Ayala,0.154453%
Herrera,0.154453%
Velasco,0.154453%
Leon,0.154453%
Paniagua,0.154453%
Rodrigo,0.145873%
Nunez,0.145873%
Torres,0.145873%
Saravia,0.145873%
Salvatierra,0.145873%
Fernando,0.145873%
Franco,0.145873%
Fuentes,0.145873%
Oscar,0.145873%
Ortega,0.145873%
Marcelo,0.145873%
Cortez,0.145873%
Daniel,0.145873%
Zabala,0.137292%
Ticona,0.137292%
Soria,0.137292%
Arzabe,0.137292%
Huanca,0.137292%
Montano,0.137292%
Melgar,0.137292%
Maria,0.137292%
Duran,0.137292%
Villegas,0.137292%
Valdivia,0.137292%
Beltran,0.137292%
Bernal,0.137292%
Padilla,0.137292%
Peredo,0.137292%
Garnica,0.128711%
Salas,0.128711%
Ariel,0.128711%
Antonio,0.128711%
Ferrufino,0.128711%
Montes,0.128711%
Jordan,0.128711%
Chambi,0.128711%
Vasquez,0.128711%
Edwin,0.128711%
Poma,0.128711%
Raul,0.120130%
Soruco,0.120130%
Alanoca,0.120130%
Arias,0.120130%
Munoz,0.120130%
Moscoso,0.120130%
Molina,0.120130%
Cossio,0.120130%
Cardenas,0.120130%
Diego,0.120130%
Veizaga,0.120130%
Rosales,0.111550%
Navarro,0.111550%
Terrazas,0.111550%
Siles,0.111550%
Antezana,0.111550%
