LastName,Percentage
Rolle,2.327713%
Smith,2.217742%
Knowles,1.667889%
Johnson,1.631232%
Ferguson,1.191349%
Williams,1.081378%
Thompson,1.008065%
Miller,0.806452%
Burrows,0.806452%
Brown,0.788123%
Clarke,0.751466%
Roberts,0.733138%
Rahming,0.733138%
Pinder,0.714809%
Russell,0.696481%
Hanna,0.696481%
Sands,0.678152%
Cartwright,0.678152%
Taylor,0.641496%
Bethel,0.623167%
Bowe,0.604839%
Davis,0.586510%
Cooper,0.568182%
Dean,0.568182%
Sweeting,0.549853%
Saunders,0.549853%
Carey,0.549853%
Bain,0.549853%
Stubbs,0.531525%
Turnquest,0.513196%
Adderley,0.513196%
Lightbourne,0.494868%
Gibson,0.476540%
Hall,0.476540%
Moss,0.476540%
Strachan,0.439883%
Collie,0.439883%
Major,0.421554%
Jones,0.421554%
Campbell,0.421554%
Kemp,0.421554%
Newbold,0.403226%
Grant,0.403226%
Forbes,0.403226%
Darville,0.403226%
Pratt,0.403226%
Albury,0.384897%
Fox,0.384897%
Mcintosh,0.384897%
Mckenzie,0.366569%
Wilson,0.366569%
Hepburn,0.348240%
Wallace,0.348240%
Bethell,0.329912%
Armbrister,0.311584%
Culmer,0.311584%
Nihon,0.293255%
Nottage,0.293255%
Sawyer,0.293255%
Deveaux,0.293255%
Ltd,0.293255%
Robinson,0.274927%
Gardiner,0.274927%
Francis,0.274927%
Mackey,0.274927%
Mcphee,0.274927%
Mckinney,0.274927%
Lewis,0.274927%
Gray,0.256598%
Archer,0.256598%
Dugway,0.256598%
Edwards,0.256598%
Beneby,0.256598%
Bahamas,0.256598%
Butler,0.256598%
Lockhart,0.256598%
Lightbourn,0.256598%
Jr,0.238270%
Duguay,0.238270%
Evans,0.238270%
Wells,0.238270%
Woodside,0.238270%
Thomas,0.219941%
Fernander,0.219941%
Farrington,0.219941%
Moxey,0.219941%
Munroe,0.219941%
Dames,0.219941%
Duncombe,0.219941%
Richardson,0.201613%
Simms,0.201613%
Malcolm,0.201613%
Curry,0.201613%
Carroll,0.201613%
Deal,0.201613%
Kelly,0.201613%
Reid,0.183284%
Ingraham,0.183284%
Newton,0.183284%
Neely,0.183284%
Nairn,0.183284%
Storr,0.183284%
Seymour,0.183284%
Higgs,0.183284%
Hombal,0.183284%
Cassar,0.183284%
Longley,0.183284%
Ritchie,0.164956%
Roper,0.164956%
Stuart,0.164956%
Dorsett,0.164956%
Burnside,0.164956%
Bastian,0.164956%
Laing,0.164956%
Roker,0.146628%
Rodgers,0.146628%
Sutherland,0.146628%
Fatkhullin,0.146628%
Fowler,0.146628%
Huyler,0.146628%
Hanlan,0.146628%
Munnings,0.146628%
Master,0.146628%
Joseph,0.146628%
Coakley,0.146628%
Darling,0.146628%
Dr,0.146628%
Brice,0.146628%
Bullard,0.146628%
Williamson,0.146628%
Walker,0.146628%
Inc,0.128299%
Neymour,0.128299%
Greenslade,0.128299%
Small,0.128299%
Andrews,0.128299%
Fennell,0.128299%
Merritt,0.128299%
Martin,0.128299%
Moncur,0.128299%
Mcdonald,0.128299%
Morley,0.128299%
Carter,0.128299%
Curtis,0.128299%
Cox,0.128299%
Damastus,0.128299%
Douglas,0.128299%
Deleveaux,0.128299%
Ellis,0.128299%
Bodie,0.128299%
Black,0.128299%
King,0.128299%
Kandiah,0.128299%
Lowe,0.128299%
Phillips,0.128299%
Pierre,0.128299%
Wilkinson,0.128299%
Whittaker,0.128299%
Nadal,0.109971%
Gittens,0.109971%
Treco,0.109971%
Simmons,0.109971%
Symonette,0.109971%
Seyfert,0.109971%
Sherman,0.109971%
Ageeb,0.109971%
Farquharson,0.109971%
O-shei,0.109971%
Humes,0.109971%
Hailey,0.109971%
Mirpuri,0.109971%
Minnis,0.109971%
Morris,0.109971%
Capron,0.109971%
Christie,0.109971%
Cunningham,0.109971%
Drummond,0.109971%
Dillon,0.109971%
Edgecombe,0.109971%
Braynen,0.109971%
Bryan,0.109971%
Beek,0.109971%
Petty,0.109971%
Price,0.109971%
Wright,0.109971%
Whyms,0.109971%
White,0.109971%
Rose,0.091642%
Nance,0.091642%
Gilbert,0.091642%
Greene,0.091642%
Todd,0.091642%
Tinker,0.091642%
Stewart,0.091642%
Sears,0.091642%
Ford,0.091642%
Fountain,0.091642%
Oshei,0.091642%
Hillhouse,0.091642%
Hampton-davies,0.091642%
Holden,0.091642%
Hilton,0.091642%
Henfield,0.091642%
Missick,0.091642%
Mcdowall,0.091642%
Marshall,0.091642%
Josey,0.091642%
Chowen,0.091642%
Crombie,0.091642%
Cash,0.091642%
Demeritte,0.091642%
Darceuil,0.091642%
Elliott,0.091642%
Brooks,0.091642%
Bootle,0.091642%
Barr,0.091642%
Lee,0.091642%
Young,0.091642%
Pawar-bain,0.091642%
Pyfrom,0.091642%
Pride,0.091642%
Waterous,0.091642%
Watkins,0.091642%
Wilmott,0.091642%
Newry,0.073314%
Nutt,0.073314%
Gaitor,0.073314%
Gonzalez,0.073314%
Gomez,0.073314%
Goncalves,0.073314%
