LastName,Percentage
Maswikila,1.140065%
Mouti,0.692182%
Mokaraoke,0.570033%
Modise,0.447883%
Banda,0.407166%
Ntelemuka,0.366450%
Molefe,0.366450%
Matenge,0.325733%
Mmusi,0.325733%
Kucherera,0.325733%
Raletsatsi,0.285016%
Nyoni,0.285016%
Smit,0.285016%
Hubona,0.285016%
Masole,0.285016%
Maika,0.285016%
Cleveland,0.285016%
Badza,0.285016%
Kuhlmann,0.285016%
Phole,0.285016%
Ping,0.285016%
Gasennelwe,0.244300%
Sibanda,0.244300%
Sandenbergh,0.244300%
Moikabi,0.244300%
Media,0.244300%
Mogotsi,0.244300%
Efedile,0.244300%
Butale,0.244300%
Botswana,0.244300%
Kumar,0.244300%
Letsholo,0.244300%
Phiri,0.244300%
Sabone,0.203583%
Sebonego,0.203583%
Hossen,0.203583%
Muwori,0.203583%
Moroka,0.203583%
Mathambo,0.203583%
Mosienyane,0.203583%
Masiapeto,0.203583%
Chikuse,0.203583%
Chirambwe,0.203583%
Bembere,0.203583%
Letshwene,0.203583%
Larbi,0.203583%
Pandor,0.203583%
Ratshee,0.162866%
Inambao,0.162866%
Ngwenya,0.162866%
Noble,0.162866%
Nyabango,0.162866%
Garde,0.162866%
Glendinning,0.162866%
Zemljak,0.162866%
Thipe,0.162866%
Tau,0.162866%
Thibelang,0.162866%
Sibindi,0.162866%
Sekgwa,0.162866%
Serema,0.162866%
Stephen,0.162866%
Sinyama,0.162866%
Armstrong,0.162866%
Otukile,0.162866%
Ortwein,0.162866%
Hedges,0.162866%
Mogapi,0.162866%
Mokgothu,0.162866%
Mtetwa,0.162866%
Matlou,0.162866%
Motswiri,0.162866%
More,0.162866%
Makgabenyana,0.162866%
Mathe,0.162866%
Mogae,0.162866%
John,0.162866%
Jawe,0.162866%
Cloete,0.162866%
Denny,0.162866%
Duke,0.162866%
Vosloo,0.162866%
Elias,0.162866%
Bodietswane,0.162866%
Baloi,0.162866%
Knuffel,0.162866%
Kahari,0.162866%
Koontse,0.162866%
Keleba,0.162866%
Kasambira,0.162866%
Li,0.162866%
Lumingu,0.162866%
Phaladi,0.162866%
Powell,0.162866%
Ramokone,0.122150%
Ratladi,0.122150%
Reed,0.122150%
Ricardo,0.122150%
Usada,0.122150%
Nikolic,0.122150%
Njonde,0.122150%
Nhimura,0.122150%
Ntebogang,0.122150%
Gaogane,0.122150%
Gunda,0.122150%
Gaadingwe,0.122150%
George,0.122150%
Gambe,0.122150%
Garegope,0.122150%
