LastName,Percentage
Ivanov,0.404566%
Aleksandrovich,0.370852%
Aleksandr,0.269711%
Vladimirovich,0.221548%
Sergeevich,0.197467%
Petrov,0.187834%
Andrei,0.183018%
Smirnov,0.178202%
Nikolaevich,0.168569%
Pavel,0.158937%
Zhuk,0.134855%
Kovalev,0.134855%
Ip,0.130039%
Sergey,0.130039%
Klimovich,0.130039%
Anatolevich,0.120406%
Oo,0.120406%
Vladimir,0.120406%
Petrovich,0.120406%
Povalishev,0.120406%
Aliaksandr,0.115590%
Aliaksei,0.110774%
Oleg,0.110774%
Ltd,0.110774%
Sokolov,0.105958%
Sergei,0.105958%
Ivan,0.101141%
Valerevich,0.101141%
Viktorovich,0.101141%
Kuzmich,0.101141%
Morozov,0.096325%
Dmitrii,0.096325%
Llc,0.096325%
Igor,0.091509%
Gurinovich,0.091509%
Gennadevich,0.091509%
Zhdanovich,0.091509%
Siarhei,0.091509%
Aleksei,0.091509%
Maksim,0.091509%
Denis,0.091509%
Baranov,0.091509%
Ivanovich,0.086693%
Novikov,0.086693%
Goncharov,0.086693%
Artem,0.086693%
Vasilev,0.086693%
Kravchenko,0.086693%
Kovalenko,0.086693%
Kozlov,0.086693%
Aleksandrovna,0.081876%
Dmitry,0.081876%
Volkov,0.081876%
Elena,0.081876%
Yurii,0.081876%
Savin,0.077060%
Filippov,0.077060%
Melnikov,0.077060%
Leonidovich,0.077060%
Yurevich,0.077060%
Zinzin,0.072244%
Andrey,0.072244%
Martynenko,0.072244%
Makarevich,0.072244%
Vasilevich,0.072244%
Vasilevskiy,0.072244%
Person,0.072244%
Igorevich,0.067428%
Novik,0.067428%
Zaycev,0.067428%
Sidorov,0.067428%
Sergeev,0.067428%
Anton,0.067428%
Moroz,0.067428%
Matveev,0.067428%
Dmitriy,0.067428%
Bogdanov,0.067428%
Kuznecov,0.067428%
Kazak,0.067428%
Poznyak,0.067428%
Romanov,0.062611%
Roman,0.062611%
Gerasimovich,0.062611%
Tarasov,0.062611%
Titov,0.062611%
Olegovich,0.062611%
Vashkevich,0.062611%
Belavusau,0.062611%
Borisenko,0.062611%
Baranova,0.062611%
Kirill,0.062611%
Kavalchuk,0.062611%
Kolb,0.062611%
Sanko,0.057795%
Aleksandrov,0.057795%
Adamovich,0.057795%
Alexander,0.057795%
Fedotov,0.057795%
Marchenko,0.057795%
Meleshko,0.057795%
Dzmitry,0.057795%
Dashkevich,0.057795%
Vladimirovna,0.057795%
Egorov,0.057795%
Bykov,0.057795%
Borisevich,0.057795%
Kashpur,0.057795%
Karpovich,0.057795%
Yury,0.057795%
Pavlovich,0.057795%
Natalya,0.052979%
Golubev,0.052979%
Trofimov,0.052979%
Sushko,0.052979%
Semenov,0.052979%
Samusevich,0.052979%
Muhin,0.052979%
Medvedev,0.052979%
Mihail,0.052979%
Kolesnikov,0.052979%
Komar,0.052979%
Prokopenko,0.052979%
Pavlov,0.052979%
Gusev,0.048163%
Tabolich,0.048163%
Senkevich,0.048163%
Savchenko,0.048163%
Andreevich,0.048163%
Antonovich,0.048163%
Alekseevich,0.048163%
Alexey,0.048163%
Akulich,0.048163%
Orlov,0.048163%
Matusevich,0.048163%
Markevich,0.048163%
Makarenko,0.048163%
Dmitrievich,0.048163%
Dovnar,0.048163%
Dubovik,0.048163%
Vorobev,0.048163%
Evgenevich,0.048163%
Borisov,0.048163%
Burak,0.048163%
Bondarenko,0.048163%
Biryukov,0.048163%
Belousov,0.048163%
Karpov,0.048163%
Kulesh,0.048163%
Kovalchuk,0.048163%
Lebedev,0.048163%
Yudin,0.048163%
Pashkevich,0.048163%
Razumov,0.043346%
Rodionov,0.043346%
Rusak,0.043346%
Ivanova,0.043346%
Irina,0.043346%
Naranovich,0.043346%
Golub,0.043346%
Grinevich,0.043346%
Grigorev,0.043346%
Grishin,0.043346%
Tarasevich,0.043346%
Shevchenko,0.043346%
Sushkevich,0.043346%
Sinkevich,0.043346%
Sadovskiy,0.043346%
Sheleh,0.043346%
Salnikov,0.043346%
Stasevich,0.043346%
Antonov,0.043346%
Alekseev,0.043346%
Furs,0.043346%
Fedorenko,0.043346%
Fedorov,0.043346%
Frolov,0.043346%
Osipov,0.043346%
Mackevich,0.043346%
Moiseenko,0.043346%
Vadim,0.043346%
Vladislav,0.043346%
Valentinovich,0.043346%
Boyko,0.043346%
Klishevich,0.043346%
Kravcov,0.043346%
Kuznetsov,0.043346%
Konovalov,0.043346%
Koval,0.043346%
Korol,0.043346%
Korolev,0.043346%
Kachan,0.043346%
Lukashevich,0.043346%
Yurkevich,0.043346%
Yakimovich,0.043346%
Romanovskiy,0.038530%
Rudenko,0.038530%
Ulasevich,0.038530%
Naumenko,0.038530%
Nikolaev,0.038530%
Nesterov,0.038530%
Grinkevich,0.038530%
Galkin,0.038530%
Gapanovich,0.038530%
Zayats,0.038530%
Tkachenko,0.038530%
Tsikhanau,0.038530%
Sorokin,0.038530%
Shilov,0.038530%
Shalagin,0.038530%
Sidorovich,0.038530%
Stankevich,0.038530%
Sevindik,0.038530%
Aleksey,0.038530%
Avdeev,0.038530%
Matskevich,0.038530%
Mazanik,0.038530%
Maksimenko,0.038530%
Mihaylov,0.038530%
Mihaylovich,0.038530%
Mikhail,0.038530%
Chebotarev,0.038530%
Dmitriev,0.038530%
Drozdov,0.038530%
Davidovich,0.038530%
Derevyanko,0.038530%
Volchek,0.038530%
Vasyukevich,0.038530%
Vitalii,0.038530%
Buko,0.038530%
Busel,0.038530%
Babich,0.038530%
Kostyuchenko,0.038530%
Korotkiy,0.038530%
Konstantinovich,0.038530%
Kuzmenkov,0.038530%
Kuzmin,0.038530%
Kononov,0.038530%
Kliuchenia,0.038530%
Koleda,0.038530%
Laptenok,0.038530%
Lazarev,0.038530%
Petkevich,0.038530%
Petko,0.038530%
Protasevich,0.038530%
Pinchuk,0.038530%
Polyakov,0.038530%
