LastName,Percentage
Christian,0.638407%
Patrick,0.510725%
Sarl,0.383044%
Akis,0.357508%
Jean,0.357508%
Joseph,0.331971%
David,0.331971%
Kandi,0.331971%
Rdc,0.306435%
Ilunga,0.306435%
Mantama,0.280899%
Dilou,0.280899%
Kazadi,0.280899%
Nzambu,0.255363%
Serge,0.255363%
Adant,0.255363%
Mukendi,0.255363%
Gelair,0.229826%
Tokognon,0.229826%
Okotaka,0.229826%
Diakite,0.229826%
Emmanuel,0.229826%
Kalonji,0.229826%
Kahambwe,0.229826%
Kabongo,0.229826%
Kayembe,0.229826%
Ntumba,0.204290%
Ngoma,0.204290%
Goma,0.204290%
Gabriel,0.204290%
Foungui,0.204290%
Mukadi,0.204290%
Mbuyi,0.204290%
Junior,0.204290%
Beya,0.204290%
Kasombo,0.204290%
Nduda,0.178754%
Tresor,0.178754%
Simon,0.178754%
Asbl,0.178754%
Fonin,0.178754%
Mboma,0.178754%
Mboyo,0.178754%
Mankou,0.178754%
Badibanga,0.178754%
Kasongo,0.178754%
Yves,0.178754%
Isio,0.153218%
Francis,0.153218%
Fabrice,0.153218%
Hodari,0.153218%
Herve,0.153218%
Maheshe,0.153218%
Mpangulula,0.153218%
Muzama,0.153218%
Mande,0.153218%
Mike,0.153218%
Joel,0.153218%
Daniel,0.153218%
Eric,0.153218%
Blaise,0.153218%
Kyungu,0.153218%
Kanane,0.153218%
Kaunda,0.153218%
Likibi,0.153218%
Yemadje,0.153218%
Pierre,0.153218%
Willy,0.153218%
Reagan,0.127681%
Informatique,0.127681%
Niak,0.127681%
Tshibaka,0.127681%
Sampy,0.127681%
Ajuamungu,0.127681%
Ali,0.127681%
Okitapoyi,0.127681%
Heritier,0.127681%
Malisawa,0.127681%
Mezadi,0.127681%
Moise,0.127681%
Makalu,0.127681%
Matindi,0.127681%
Masiki,0.127681%
Mutombo,0.127681%
Cishugi,0.127681%
Drc,0.127681%
Didier,0.127681%
Elia,0.127681%
Beia,0.127681%
Bitamala,0.127681%
Bwanakawa,0.127681%
Bijou,0.127681%
Kasereka,0.127681%
Kassa,0.127681%
Kabeya,0.127681%
Kissangou,0.127681%
Kalenga,0.127681%
Liyolo,0.127681%
Paluku,0.127681%
Paul,0.127681%
Panda,0.127681%
Roger,0.102145%
Rugenge,0.102145%
Rene,0.102145%
Iyolo,0.102145%
Nkou,0.102145%
Ngoy,0.102145%
Ndjawe,0.102145%
Ngalula,0.102145%
Nkulu,0.102145%
Ngameni,0.102145%
Gatsono,0.102145%
Zola,0.102145%
Toure,0.102145%
Teddy,0.102145%
Tumba,0.102145%
Tchikaya,0.102145%
Thierry,0.102145%
Sam,0.102145%
Anga,0.102145%
Farah,0.102145%
Fiston,0.102145%
Franck,0.102145%
Olivier,0.102145%
Osisi,0.102145%
Mulumba,0.102145%
Mumbere,0.102145%
Mashali,0.102145%
Minsiensi,0.102145%
Malumba,0.102145%
Mwalula,0.102145%
Mbala,0.102145%
Malungwene,0.102145%
Marcel,0.102145%
Maliro,0.102145%
Mupoya,0.102145%
Monga,0.102145%
Mokako,0.102145%
Mukoko,0.102145%
John,0.102145%
Jonathan,0.102145%
Cedric,0.102145%
Christophe,0.102145%
Dinga,0.102145%
Delhy,0.102145%
Drajiro,0.102145%
Vembe,0.102145%
Xavier,0.102145%
Baruka,0.102145%
Bambi,0.102145%
Byenda,0.102145%
Banza,0.102145%
Belfils,0.102145%
Kambale,0.102145%
Kibonge,0.102145%
Kondji,0.102145%
Kahamba,0.102145%
Kihuya,0.102145%
Key,0.102145%
Kalala,0.102145%
Kibadi,0.102145%
Kasanda,0.102145%
Kongolo,0.102145%
Ligodi,0.102145%
Likita,0.102145%
Yvon,0.102145%
Washington,0.102145%
Wetu,0.102145%
Roland,0.076609%
Issa,0.076609%
Ibrahim,0.076609%
Icom,0.076609%
Ngwesi,0.076609%
Nsarhaza,0.076609%
Nimi,0.076609%
Nzuela,0.076609%
Nzamba,0.076609%
Nzanzu,0.076609%
Nzassi,0.076609%
Nzau,0.076609%
Ndombele,0.076609%
Ngoyi,0.076609%
Nicolas,0.076609%
Ngandu,0.076609%
Ndoole,0.076609%
Ngolela,0.076609%
Niagado,0.076609%
Nkashama,0.076609%
Nyandu,0.076609%
Guy,0.076609%
Gilbert,0.076609%
Georges,0.076609%
Glodi,0.076609%
Guri,0.076609%
Gedeon,0.076609%
Tete,0.076609%
Tumbwe,0.076609%
Tshibuyi,0.076609%
Thumba,0.076609%
Sprl,0.076609%
Sajila,0.076609%
Safari,0.076609%
Sarah,0.076609%
Sow,0.076609%
Samba,0.076609%
Shamji,0.076609%
Schilo,0.076609%
Andre,0.076609%
Alain,0.076609%
Akongo,0.076609%
Akonkwa,0.076609%
Attie,0.076609%
Atundu,0.076609%
Akilimali,0.076609%
Alpha,0.076609%
Ayao,0.076609%
Adouma,0.076609%
Okuonzi,0.076609%
Hussein,0.076609%
Hanna,0.076609%
Habibollah,0.076609%
Matoko,0.076609%
