LastName,Percentage
Meier,0.584433%
Schmid,0.509919%
Keller,0.384668%
Weber,0.366624%
Huber,0.327138%
Meyer,0.323529%
Schneider,0.317373%
Fischer,0.279797%
Steiner,0.272792%
Baumann,0.236066%
Brunner,0.231608%
Widmer,0.218021%
Frei,0.217384%
Moser,0.216323%
Graf,0.215898%
Gerber,0.203161%
Zimmermann,0.196792%
Baumgartner,0.186178%
Suter,0.185753%
Wyss,0.181295%
Bachmann,0.177686%
Studer,0.173653%
Roth,0.171530%
Kaufmann,0.169832%
Frey,0.150513%
Peter,0.150301%
Berger,0.148603%
Marti,0.147753%
Kunz,0.147329%
Bucher,0.146904%
Hofer,0.144145%
Pfister,0.139899%
Egli,0.136927%
Christen,0.135441%
Schweizer,0.133742%
Lehmann,0.132256%
Koch,0.131407%
Martin,0.126737%
Fuchs,0.125675%
Maurer,0.125675%
Gasser,0.121005%
Koller,0.119519%
Michel,0.113787%
Mueller,0.110603%
Hofmann,0.109754%
Gmbh,0.108480%
Ag,0.107206%
Vogel,0.106782%
Stalder,0.106145%
Arnold,0.106145%
Hug,0.105083%
Hess,0.103385%
Egger,0.103173%
Wenger,0.101687%
Hauser,0.100837%
Ammann,0.099988%
Hunziker,0.098715%
Kohler,0.098715%
Furrer,0.097653%
Tanner,0.095743%
Senn,0.095530%
Scherrer,0.095318%
Wagner,0.095318%
Sa,0.094044%
Favre,0.091284%
Sutter,0.090860%
Bernasconi,0.090223%
Leuenberger,0.089798%
Hartmann,0.088312%
Bieri,0.087676%
Kuhn,0.087463%
Schmidt,0.086614%
Schwarz,0.086402%
Lang,0.085553%
Vogt,0.085128%
Blaser,0.084703%
Schuler,0.083854%
Seiler,0.083005%
Weiss,0.082581%
Burri,0.080670%
Hasler,0.078759%
Herzog,0.078123%
Siegenthaler,0.077061%
Zaugg,0.075575%
Ackermann,0.075150%
Stutz,0.073664%
Giger,0.072603%
Gloor,0.072178%
Staub,0.071754%
Stocker,0.071329%
Bosshard,0.070056%
Schumacher,0.069843%
Hofstetter,0.069843%
Beck,0.069843%
Schnyder,0.069419%
Sigrist,0.068994%
Odermatt,0.068569%
Eichenberger,0.068569%
Scheidegger,0.068145%
Sommer,0.067933%
Schwab,0.067720%
Liechti,0.067296%
Wild,0.067296%
Zbinden,0.067083%
Wolf,0.067083%
Imhof,0.066659%
Stucki,0.066659%
Wirth,0.066234%
Zehnder,0.066022%
Blum,0.065810%
Portmann,0.065810%
Rey,0.065597%
Weibel,0.065385%
Steiger,0.064961%
Meister,0.064748%
Schenk,0.064111%
Jost,0.063262%
Grob,0.062838%
Siegrist,0.062838%
Fankhauser,0.062625%
Sieber,0.062413%
Kaiser,0.062201%
Kuster,0.062201%
Stettler,0.061776%
Ernst,0.061564%
Walter,0.061564%
Stadelmann,0.061352%
Rochat,0.061139%
Jenny,0.060927%
Rohner,0.060290%
Schaller,0.060290%
Kessler,0.059866%
Haas,0.059653%
Muller,0.059016%
Wittwer,0.058804%
Locher,0.058592%
Thomas,0.058167%
Lanz,0.057955%
Marty,0.057530%
Kern,0.057318%
Winkler,0.057106%
Gisler,0.056894%
Rossi,0.056681%
Landolt,0.056681%
Steinmann,0.056257%
Bolliger,0.056257%
Aeschlimann,0.055832%
Lutz,0.055832%
Schmutz,0.055620%
Ziegler,0.055408%
Flury,0.054983%
Iten,0.054558%
Mathis,0.054558%
Ulrich,0.053922%
Tobler,0.053922%
Wirz,0.053922%
Nussbaumer,0.053709%
Graber,0.053497%
Bischof,0.053497%
Erni,0.053285%
Gross,0.053072%
Schoch,0.053072%
Forster,0.053072%
Isler,0.052860%
Benz,0.052648%
Ritter,0.052435%
Daniel,0.051799%
Eberle,0.051799%
Braun,0.051162%
Probst,0.051162%
Rohrer,0.050737%
Steffen,0.050737%
Gut,0.050100%
Leu,0.050100%
Wehrli,0.050100%
Willi,0.050100%
Schaub,0.049676%
Sidler,0.049676%
Ott,0.049676%
Haller,0.049676%
Maier,0.049676%
Wicki,0.049676%
Walther,0.049463%
Sonderegger,0.049039%
Allemann,0.049039%
Wiederkehr,0.048827%
Aebi,0.048614%
Friedli,0.048402%
Mettler,0.048402%
Brand,0.048190%
Walser,0.048190%
Merz,0.047977%
Mayer,0.047977%
Etter,0.047765%
Zeller,0.047553%
Achermann,0.047341%
Stauffer,0.047128%
Bianchi,0.047128%
Messerli,0.046916%
Brun,0.046916%
Knecht,0.046916%
Felder,0.046491%
Bader,0.046491%
David,0.046067%
Thalmann,0.045855%
Hostettler,0.045855%
Mathys,0.045218%
Matter,0.045218%
Baur,0.045218%
Richard,0.045005%
Jakob,0.045005%
Betschart,0.044581%
Ferrari,0.044156%
Schlatter,0.043732%
Eugster,0.043732%
Simon,0.043519%
Blanc,0.043519%
Mosimann,0.043095%
Zingg,0.042882%
Trachsel,0.042882%
Frank,0.042882%
Herrmann,0.042882%
Burger,0.042882%
Wettstein,0.042670%
Gubler,0.042458%
Bauer,0.042458%
Pittet,0.042458%
Krebs,0.042246%
Walker,0.042246%
Blatter,0.042033%
Bernhard,0.042033%
Fehr,0.041821%
Balmer,0.041821%
Ryser,0.041609%
Frischknecht,0.041609%
Eggenberger,0.041609%
Kummer,0.041396%
Neuenschwander,0.041184%
Jenni,0.041184%
Renggli,0.040972%
Reber,0.040972%
Stadler,0.040972%
Zuber,0.040760%
Waser,0.040760%
Fontana,0.040547%
Hoffmann,0.040547%
Buser,0.040335%
Scherer,0.040123%
Schlegel,0.039910%
Hermann,0.039698%
Strebel,0.039486%
Dubois,0.039274%
Gehrig,0.039061%
Schneeberger,0.039061%
Hafner,0.039061%
Bigler,0.039061%
Niederberger,0.038849%
Affolter,0.038849%
Camenzind,0.038849%
Schenker,0.038637%
Meili,0.038637%
Dietrich,0.038637%
Rieder,0.038212%
Frick,0.038212%
Jud,0.038212%
Rechsteiner,0.038000%
Iseli,0.038000%
Geiser,0.038000%
Zwahlen,0.038000%
Heiniger,0.038000%
Minder,0.038000%
Neuhaus,0.037788%
Thoma,0.037788%
Burkhalter,0.037788%
Hodel,0.037575%
Gruber,0.037363%
Linder,0.037363%
Kocher,0.037151%
Gautschi,0.036938%
Gfeller,0.036938%
Anderegg,0.036938%
Ineichen,0.036726%
Zemp,0.036726%
Oswald,0.036726%
Metzger,0.036726%
Reinhard,0.036514%
Birrer,0.036514%
Schaffner,0.036301%
Amrein,0.036089%
Grossenbacher,0.035877%
Maeder,0.035877%
Christian,0.035877%
Burkhard,0.035877%
Grimm,0.035665%
Hirt,0.035665%
Lienhard,0.035452%
Signer,0.035240%
Hirschi,0.035240%
Meylan,0.035240%
Borer,0.035240%
Rutz,0.035028%
Thommen,0.035028%
Hutter,0.035028%
Lustenberger,0.035028%
Perrin,0.035028%
Tschanz,0.034815%
Honegger,0.034815%
Bloch,0.034815%
Glauser,0.034603%
Oberholzer,0.034603%
Hohl,0.034391%
Manser,0.034391%
Beyeler,0.034391%
Albrecht,0.034179%
Helfenstein,0.034179%
Durrer,0.034179%
Engel,0.034179%
Amstutz,0.033966%
Felber,0.033966%
Hefti,0.033966%
Weidmann,0.033966%
Wanner,0.033966%
Ramseier,0.033754%
Schaer,0.033754%
Heller,0.033754%
Erb,0.033754%
Beer,0.033754%
Perret,0.033754%
Jordi,0.033542%
Vetsch,0.033542%
Zimmerli,0.033329%
Naef,0.033117%
Schmidlin,0.033117%
Stoll,0.033117%
Salzmann,0.033117%
Patrick,0.033117%
Werner,0.033117%
Tschopp,0.032693%
Theiler,0.032693%
Michael,0.032693%
Emmenegger,0.032693%
Kramer,0.032693%
Lehner,0.032693%
Geiger,0.032480%
Hediger,0.032480%
Maillard,0.032480%
Roos,0.032268%
Spiess,0.032268%
Heer,0.032268%
Thomann,0.032056%
Hauri,0.032056%
Egloff,0.032056%
Helbling,0.031843%
Maag,0.031843%
Diethelm,0.031843%
Bonvin,0.031843%
