LastName,Percentage
Cordiner,3.971119%
Bailey,3.971119%
Redman,2.527076%
Meyer,1.805054%
Wichman,1.805054%
Taylor,1.083032%
Jim,1.083032%
Jamieson,1.083032%
Enoka,1.083032%
Brown,1.083032%
Robertson,0.722022%
Raita,0.722022%
Rongo,0.722022%
Raela,0.722022%
Napa,0.722022%
Noe,0.722022%
Niszow,0.722022%
General,0.722022%
Taripo,0.722022%
Teulilo,0.722022%
Tama,0.722022%
Tuara,0.722022%
Trego,0.722022%
Tsykhan,0.722022%
Tikitau,0.722022%
Shedden,0.722022%
Smith,0.722022%
Hilyard,0.722022%
Henry,0.722022%
Mailau,0.722022%
Marsters,0.722022%
More,0.722022%
Moore,0.722022%
Mcdonald,0.722022%
Crittenden,0.722022%
Crocombe,0.722022%
Daniel,0.722022%
Dance,0.722022%
Baudinet,0.722022%
Lawrance,0.722022%
Ltd,0.722022%
Potini,0.722022%
Pera,0.722022%
Whitfield,0.722022%
Rua,0.361011%
Roy,0.361011%
Rangi,0.361011%
Robertscolemoberts,0.361011%
Uko,0.361011%
Ioapa,0.361011%
Ngari,0.361011%
Ngatokorua,0.361011%
Newnham,0.361011%
Numa,0.361011%
Ngamata,0.361011%
Nicholas,0.361011%
Gragg,0.361011%
George,0.361011%
Gw,0.361011%
Glassie,0.361011%
Gf,0.361011%
Griffiths,0.361011%
Gutierrez,0.361011%
Zhang,0.361011%
Tetava,0.361011%
Triathlon,0.361011%
Tarurongo,0.361011%
Techcontact,0.361011%
Tuaine,0.361011%
Tuaiti,0.361011%
Tangaroa,0.361011%
Teiti,0.361011%
Te,0.361011%
Tetevano,0.361011%
Tamarind,0.361011%
Tutangata,0.361011%
Tatam,0.361011%
Short,0.361011%
Solomon,0.361011%
Sue,0.361011%
Stevic,0.361011%
Sakai,0.361011%
Stetka,0.361011%
Star,0.361011%
Skews,0.361011%
Sword,0.361011%
Stewart,0.361011%
Sdg,0.361011%
Savage,0.361011%
Sla,0.361011%
Scowcroft,0.361011%
Auora,0.361011%
Again,0.361011%
Armstrong,0.361011%
Ataera,0.361011%
Accounts,0.361011%
Allsworth,0.361011%
Anderson,0.361011%
Attye,0.361011%
Attyeh,0.361011%
Fox,0.361011%
File,0.361011%
Feng,0.361011%
Okazaki,0.361011%
Oberg-ash,0.361011%
Henderson,0.361011%
Harrison,0.361011%
Hebert,0.361011%
Herman,0.361011%
Hong,0.361011%
Hunter,0.361011%
Mickamou,0.361011%
Maoate,0.361011%
Masoso,0.361011%
Money,0.361011%
Matheson,0.361011%
Maireroa,0.361011%
Macfarlane,0.361011%
Matenga,0.361011%
Mataio,0.361011%
Mardini,0.361011%
Maldonado,0.361011%
Matapo,0.361011%
Matapuku,0.361011%
Jie,0.361011%
Jaber,0.361011%
Jenner,0.361011%
Jing,0.361011%
Juan,0.361011%
Julien,0.361011%
John,0.361011%
Johansson,0.361011%
Jonassen,0.361011%
Cameron,0.361011%
Com,0.361011%
Collier,0.361011%
Cf,0.361011%
Christian,0.361011%
Cooper,0.361011%
Cook,0.361011%
Chefs,0.361011%
Cleverley,0.361011%
Doumbia,0.361011%
Dutchman,0.361011%
Daniela,0.361011%
Devlin,0.361011%
Director,0.361011%
Dunn,0.361011%
Dr,0.361011%
Domains,0.361011%
Vea,0.361011%
Vega,0.361011%
Vakatini,0.361011%
Voles,0.361011%
Varu,0.361011%
Epstein,0.361011%
Engu,0.361011%
Evans,0.361011%
Egrotti,0.361011%
Beau,0.361011%
Brooks,0.361011%
Beer,0.361011%
Beddoes,0.361011%
Bond,0.361011%
Barclay,0.361011%
Breed,0.361011%
Kirikava,0.361011%
Kexin,0.361011%
Kelly,0.361011%
Kristensson,0.361011%
Kuchar,0.361011%
Koteka-heather,0.361011%
Leonhard,0.361011%
Lowry,0.361011%
Laurie,0.361011%
Laudola,0.361011%
Lennie,0.361011%
Louka,0.361011%
Lakic,0.361011%
Yardan,0.361011%
Young,0.361011%
Pita,0.361011%
Pro,0.361011%
Pascale,0.361011%
Piho,0.361011%
Puni,0.361011%
Pablo,0.361011%
Pearls,0.361011%
Pynenburg,0.361011%
Pokoina,0.361011%
Warren,0.361011%
Winterflood,0.361011%
Williams,0.361011%
Witte,0.361011%
Whitestead,0.361011%
Wen,0.361011%
Webb,0.361011%
Woulfe,0.361011%
Wo,0.361011%
