LastName,Percentage
Sarl,0.432395%
Jean,0.409022%
Christian,0.385649%
Douala,0.373963%
Nana,0.362276%
Paul,0.362276%
Francis,0.350590%
Cameroon,0.350590%
Guy,0.327217%
Thierry,0.315531%
Emmanuel,0.303845%
Serge,0.292158%
Fotso,0.292158%
Patrick,0.292158%
Che,0.280472%
Kamdem,0.257099%
Fru,0.245413%
Albert,0.233727%
Alain,0.233727%
Arnaud,0.233727%
Kamga,0.233727%
Martin,0.222040%
Ngwa,0.210354%
Simo,0.198668%
Armand,0.198668%
Joel,0.198668%
David,0.198668%
Eric,0.198668%
Pierre,0.198668%
Nestor,0.186981%
Junior,0.186981%
Lionel,0.186981%
Yannick,0.186981%
Roger,0.175295%
Stephane,0.175295%
Olivier,0.175295%
Chi,0.175295%
Louis,0.175295%
Simon,0.163609%
Steve,0.163609%
Samuel,0.163609%
Joseph,0.163609%
Cameroun,0.163609%
Claude,0.163609%
Elvis,0.163609%
Bertrand,0.163609%
William,0.163609%
Akama,0.151922%
Fabrice,0.151922%
Fekou,0.151922%
Herve,0.151922%
Daniel,0.151922%
Dongmo,0.151922%
Ltd,0.151922%
Gilbert,0.140236%
Talla,0.140236%
Fon,0.140236%
Manager,0.140236%
Charles,0.140236%
Yves,0.140236%
Patrice,0.140236%
Richard,0.128550%
Njoya,0.128550%
Ngah,0.128550%
Henri,0.128550%
Michel,0.128550%
Cyrille,0.128550%
Desmond,0.128550%
Donfack,0.128550%
Parfait,0.128550%
Ndi,0.116863%
Soh,0.116863%
Smith,0.116863%
Alexandre,0.116863%
Fotsing,0.116863%
James,0.116863%
Donald,0.116863%
Rodrigue,0.105177%
Ngu,0.105177%
Ngassam,0.105177%
Godlove,0.105177%
Atangana,0.105177%
Andegue,0.105177%
Ali,0.105177%
Hermann,0.105177%
Merlin,0.105177%
Maurice,0.105177%
Marc,0.105177%
Jacques,0.105177%
Edward,0.105177%
Bruno,0.105177%
Kingsley,0.105177%
Pascal,0.105177%
Williams,0.105177%
Roland,0.093491%
Raoul,0.093491%
Ndiche,0.093491%
Norbert,0.093491%
Ngouzo,0.093491%
Gerard,0.093491%
Thomas,0.093491%
Tse,0.093491%
Takam,0.093491%
Anutah,0.093491%
Fokou,0.093491%
Frank,0.093491%
Fotang,0.093491%
Flore,0.093491%
Franck,0.093491%
Jules,0.093491%
Cletus,0.093491%
Cedric,0.093491%
Deudjui,0.093491%
Divine,0.093491%
Victor,0.093491%
Xavier,0.093491%
Blaise,0.093491%
Bernard,0.093491%
Kibeng,0.093491%
Kuate,0.093491%
Landry,0.093491%
Innocent,0.081804%
It,0.081804%
Isaac,0.081804%
Nguele,0.081804%
Ndonnang,0.081804%
Ngongang,0.081804%
Ngang,0.081804%
Ngankam,0.081804%
Georges,0.081804%
Ghislain,0.081804%
Tchana,0.081804%
Tchapet,0.081804%
Tchinda,0.081804%
Tech,0.081804%
Tcheuleu,0.081804%
Sama,0.081804%
Sylvestre,0.081804%
Andre,0.081804%
Alexis,0.081804%
Abate,0.081804%
Achu,0.081804%
Asaba,0.081804%
Foude,0.081804%
Francois,0.081804%
Happi,0.081804%
Host,0.081804%
Mouko,0.081804%
Mvondo,0.081804%
Mbah,0.081804%
Mfonyam,0.081804%
Michael,0.081804%
Marcel,0.081804%
John,0.081804%
Chenwi,0.081804%
Collins,0.081804%
Djoussa,0.081804%
Valery,0.081804%
Ewi,0.081804%
Belinga,0.081804%
Buea,0.081804%
Boris,0.081804%
Kewir,0.081804%
Kom,0.081804%
Youmbi,0.081804%
Ntamack,0.070118%
Ngadom,0.070118%
Ngoupoyou,0.070118%
Nelson,0.070118%
Nji,0.070118%
Njeptchui,0.070118%
Noumedem,0.070118%
Nguepi,0.070118%
Gilles,0.070118%
Gabriel,0.070118%
Zomfack,0.070118%
Testo,0.070118%
Tchatchouang,0.070118%
Teutio,0.070118%
Tagne,0.070118%
Talom,0.070118%
Terence,0.070118%
Alex,0.070118%
Africa,0.070118%
Asaah,0.070118%
Asangwe,0.070118%
Fidelis,0.070118%
Ousmanou,0.070118%
Herman,0.070118%
Henry,0.070118%
Murray,0.070118%
Magloire,0.070118%
Mt,0.070118%
Moune,0.070118%
Caroline,0.070118%
Dzeugang,0.070118%
Dieudonne,0.070118%
Desire,0.070118%
Diop,0.070118%
Veran,0.070118%
Egbe,0.070118%
Bah,0.070118%
Beas,0.070118%
Blanche,0.070118%
Bassock,0.070118%
Karl,0.070118%
Kengne,0.070118%
Kouam,0.070118%
Luc,0.070118%
Ludovic,0.070118%
Prosper,0.070118%
Peter,0.070118%
Wandji,0.070118%
Wilfried,0.070118%
Wounfack,0.070118%
Romeo,0.058432%
Rostand,0.058432%
Ronald,0.058432%
Rolex,0.058432%
Robert,0.058432%
Inc,0.058432%
Ii,0.058432%
Ndifor,0.058432%
Nsangou,0.058432%
Nsayeh,0.058432%
Nguefack,0.058432%
Ndongo,0.058432%
Nesta,0.058432%
Ndaya,0.058432%
Noumbi,0.058432%
Ndzedzeni,0.058432%
Njoh,0.058432%
George,0.058432%
Tchomene,0.058432%
Tanto,0.058432%
Tapchom,0.058432%
Tah,0.058432%
Tawe,0.058432%
Tabon,0.058432%
Shu,0.058432%
Severin,0.058432%
Solomon,0.058432%
Abanda,0.058432%
Amadou,0.058432%
Achille,0.058432%
Ange,0.058432%
Ayuk,0.058432%
Ahmadou,0.058432%
Acha,0.058432%
Ambe,0.058432%
Fopa,0.058432%
Foppa,0.058432%
Fouda,0.058432%
Fetchouang,0.058432%
Fofou,0.058432%
Fonge,0.058432%
Felix,0.058432%
Foapa,0.058432%
Foko,0.058432%
One,0.058432%
Hugues,0.058432%
Metching,0.058432%
Mtakwe,0.058432%
Mpondo,0.058432%
Marie,0.058432%
Mofa,0.058432%
Mbouopda,0.058432%
Mbiydzenyuy,0.058432%
Justin,0.058432%
Centre,0.058432%
Carl,0.058432%
Cognito,0.058432%
Cmr,0.058432%
Christen,0.058432%
Djoko,0.058432%
Ewane,0.058432%
Elingese,0.058432%
Emile,0.058432%
Bell,0.058432%
Batamack,0.058432%
Kameni,0.058432%
Kamdoum,0.058432%
Kenfack,0.058432%
Kang,0.058432%
Kana,0.058432%
Leke,0.058432%
Lambert,0.058432%
Leonard,0.058432%
Lobe,0.058432%
Loka,0.058432%
Pachilis,0.058432%
Poukue,0.058432%
Wafo,0.058432%
Ulrich,0.046745%
Informatique,0.046745%
Ndedi,0.046745%
Noubissi,0.046745%
Noah,0.046745%
Nassourou,0.046745%
Nketi,0.046745%
Ndukong,0.046745%
Ndam,0.046745%
Njeko,0.046745%
Ngonko,0.046745%
Ngono,0.046745%
Ngango,0.046745%
Nganso,0.046745%
Ndoumbe,0.046745%
Nangda,0.046745%
Nyamsi,0.046745%
Godwillfru,0.046745%
Gabin,0.046745%
Gustave,0.046745%
Zele,0.046745%
Zingui,0.046745%
Tayou,0.046745%
Tazifor,0.046745%
Tadie,0.046745%
Theophile,0.046745%
Toutchet,0.046745%
Terry,0.046745%
Tchoga,0.046745%
Talehc,0.046745%
Tanga,0.046745%
Touko,0.046745%
Titus,0.046745%
Tarlusuc,0.046745%
Ticky,0.046745%
