LastName,Percentage
Li,3.175094%
Wang,2.639303%
Zhang,2.281489%
Chen,1.907509%
Liu,1.758173%
Wei,1.559333%
Yang,1.484055%
Si,1.233027%
Feng,1.082258%
Yu,1.041904%
Jun,1.026684%
Wu,1.025433%
Lin,1.014636%
Ltd,0.989014%
Huang,0.902573%
Xu,0.890128%
Liang,0.786575%
Zhou,0.728866%
Hua,0.725419%
Jie,0.717398%
Peng,0.708644%
Hui,0.707088%
Yan,0.695375%
Zhao,0.691044%
Ming,0.679393%
Sheng,0.678355%
Dong,0.644255%
Lei,0.635318%
Tao,0.629065%
Cheng,0.614668%
Bin,0.612320%
Jian,0.605670%
Guo,0.586576%
He,0.574162%
Yong,0.566598%
Qiang,0.564097%
Long,0.562571%
Hu,0.558759%
Yi,0.553543%
Bo,0.549761%
Jiang,0.542044%
Hao,0.537316%
Zhu,0.536767%
Hong,0.534967%
Xin,0.526946%
Ping,0.525939%
Fei,0.521669%
Xiao,0.519869%
Yuan,0.512457%
Zheng,0.502605%
Wen,0.494034%
Chao,0.487507%
Lu,0.469145%
Sun,0.455999%
Shi,0.444683%
Jing,0.439253%
Jin,0.427754%
Qing,0.401309%
Fang,0.395789%
Xiang,0.386730%
Song,0.384991%
Qi,0.382887%
Gang,0.380721%
Ma,0.363945%
Gao,0.355740%
Ying,0.355710%
Fu,0.355283%
Luo,0.351317%
Min,0.345736%
Zhong,0.337653%
Tang,0.331949%
Fan,0.324262%
Jia,0.306145%
Han,0.301783%
Zhi,0.300288%
Xing,0.297879%
Ye,0.296323%
Xie,0.293791%
Cai,0.293029%
Kai,0.288301%
Shang,0.287783%
Ling,0.287051%
Zhen,0.272684%
Tian,0.269604%
Xia,0.264449%
Bing,0.261063%
Ke,0.260148%
Shen,0.258379%
Yun,0.257677%
Hai,0.257159%
Qin,0.250266%
Rong,0.249869%
Yao,0.248802%
Pan,0.235320%
Meng,0.234893%
Ji,0.228884%
Deng,0.223455%
Rui,0.222357%
Su,0.216378%
Chang,0.215219%
Zeng,0.214975%
Cao,0.212261%
Mei,0.209576%
Yin,0.207563%
Guang,0.206953%
Xue,0.203781%
Da,0.202805%
Ren,0.202744%
Quan,0.199907%
Kun,0.199297%
Qian,0.197589%
Chun,0.197254%
Xi,0.196400%
Bei,0.195546%
Yue,0.194356%
Ding,0.194112%
Xiong,0.184840%
Xian,0.182705%
Shan,0.180051%
Ning,0.178434%
Ting,0.177733%
Du,0.176787%
Bao,0.168613%
Tan,0.165959%
Kang,0.164770%
Xiansheng,0.163153%
Nan,0.162574%
Qiu,0.159706%
Lv,0.152904%
You,0.152172%
Dan,0.150342%
Lan,0.147811%
Juan,0.147140%
Cui,0.141588%
Tong,0.141192%
Di,0.140246%
Gu,0.135793%
Shuai,0.135061%
Liao,0.134238%
Dai,0.133231%
Lee,0.131614%
Gong,0.131004%
Zong,0.128534%
An,0.126246%
Jingli,0.125636%
Ge,0.125362%
Mao,0.119688%
Bai,0.115479%
Lai,0.113557%
Wan,0.113435%
Registrant,0.111636%
Lian,0.110477%
Huan,0.110294%
Shu,0.109623%
Hou,0.105353%
Xuan,0.101875%
De,0.099618%
Zou,0.099161%
Na,0.097514%
Gui,0.097239%
Shao,0.095928%
Heng,0.095623%
Guan,0.095439%
Biao,0.095439%
Le,0.092877%
Chuan,0.091688%
Hang,0.089278%
Duan,0.088973%
Ran,0.088302%
Zhe,0.087052%
Zhan,0.086777%
Pei,0.084794%
Miao,0.082995%
Qiao,0.082293%
Ya,0.082232%
Jiao,0.082049%
Zi,0.078206%
Shanshi,0.076315%
Mu,0.076254%
San,0.075430%
Qu,0.074088%
Ni,0.073661%
Fa,0.072929%
Shuang,0.072380%
Mo,0.072258%
Sen,0.072106%
Zhuang,0.070977%
Ze,0.069971%
Ju,0.069178%
Kong,0.068263%
Qun,0.067439%
Ou,0.067043%
Zuo,0.065700%
Kui,0.063108%
Ru,0.059234%
Pu,0.058411%
Null,0.058228%
Chong,0.057923%
Teng,0.057648%
Shun,0.056611%
Chan,0.054415%
Xun,0.054201%
Zhai,0.053805%
Chi,0.052981%
Gan,0.052951%
Niu,0.052554%
Ai,0.051761%
Qiong,0.051731%
Fen,0.051609%
Geng,0.050480%
Zhuo,0.050358%
Chu,0.050297%
Xiu,0.050023%
Bu,0.049809%
Tu,0.049321%
Zhiqiang,0.046515%
Bi,0.043617%
Lang,0.043007%
Xiaojie,0.042763%
Can,0.042641%
Pang,0.042489%
Xiaodong,0.042306%
Shuo,0.041391%
Nie,0.040201%
Gen,0.039530%
Chuang,0.039469%
Tai,0.038463%
Man,0.037578%
Pengfei,0.037059%
Mi,0.036876%
Wong,0.036144%
Jianhua,0.036114%
Xiaofeng,0.035138%
Xiaoming,0.033918%
Jianjun,0.033582%
Sha,0.033308%
Huo,0.032942%
Soft,0.032850%
Dian,0.032820%
Xiaolong,0.032576%
Hongwei,0.032515%
Factory,0.032393%
Jianfeng,0.031996%
Lun,0.031966%
Zhiyong,0.031508%
Haitao,0.031325%
Jack,0.030685%
Xiaojun,0.030441%
Lou,0.030349%
Shui,0.029953%
Weng,0.029892%
Ruan,0.029373%
Zhigang,0.028946%
Lijun,0.028519%
Zhiwei,0.028336%
Weiwei,0.028092%
Haibo,0.027116%
Lili,0.027085%
Junjie,0.026567%
Kuang,0.026231%
David,0.026170%
Er,0.026109%
Jason,0.025926%
Haifeng,0.025835%
Mr,0.025591%
Kuan,0.024950%
Xiaohui,0.024859%
Bian,0.024706%
Ce,0.024432%
Ao,0.024249%
Liping,0.024249%
Dou,0.024188%
Mai,0.023761%
Jianping,0.023151%
Nian,0.023059%
Jianguo,0.022968%
Xiaowei,0.022846%
She,0.022724%
En,0.022571%
Rao,0.022266%
Shou,0.022114%
Chai,0.022114%
Ben,0.022022%
Weidong,0.022022%
Jingliang,0.021992%
Kevin,0.021931%
Dao,0.021656%
Duo,0.021382%
Bang,0.021229%
Xiaoyan,0.021138%
Haijun,0.020711%
Liming,0.020711%
Che,0.020589%
Jianwei,0.020497%
Xiaobo,0.020497%
Jiu,0.020314%
Huai,0.020253%
Dawei,0.020253%
Xiaoyu,0.020223%
Yuanyuan,0.020131%
Xiaohua,0.019979%
Xiaoping,0.019887%
Lao,0.019887%
Haiyan,0.019826%
Wenjie,0.019674%
Andy,0.019582%
Xuefeng,0.019491%
Xiaoli,0.019430%
Lihua,0.019338%
Mou,0.019277%
Run,0.019247%
Zhijun,0.019063%
Guoqiang,0.019002%
Dongdong,0.018972%
Zhihua,0.018819%
Hailong,0.018819%
Lau,0.018697%
Wenbin,0.018697%
Wenjun,0.018697%
Shuaijie,0.018667%
Zhiming,0.018606%
Shanghai,0.018545%
Suo,0.018331%
Pin,0.018331%
Zhenhua,0.018209%
Junfeng,0.018118%
Jingjing,0.017935%
Gou,0.017904%
Yongjun,0.017813%
Zhiyuan,0.017752%
Co,0.017630%
Gongsi,0.017569%
Tony,0.017477%
Dang,0.017477%
Eric,0.017416%
Hongbo,0.017325%
Ouyang,0.016928%
Xiaofei,0.016806%
Lijuan,0.016684%
Kan,0.016654%
Yufeng,0.016562%
Cun,0.016532%
Youxiangongsi,0.016318%
Alex,0.016257%
Zu,0.016135%
Jinhua,0.016013%
Zhenyu,0.015922%
Chou,0.015922%
Guodong,0.015861%
Sui,0.015830%
Qinghua,0.015769%
Hongliang,0.015739%
Hongyu,0.015708%
Jianming,0.015647%
Xiaohong,0.015647%
Zhipeng,0.015586%
John,0.015556%
James,0.015525%
Mingming,0.015495%
Xiaoxia,0.015495%
Wentao,0.015251%
Hongjun,0.015220%
Guohua,0.015190%
Lina,0.015159%
Michael,0.015129%
Jiawei,0.015098%
Haibin,0.015068%
Jinlong,0.015068%
Weifeng,0.015037%
Leo,0.015007%
Weihua,0.014854%
Guoqing,0.014824%
Zhifeng,0.014824%
Ti,0.014763%
Yulong,0.014763%
Xudong,0.014732%
Yongsheng,0.014732%
Sai,0.014702%
Ba,0.014641%
King,0.014641%
Guoliang,0.014610%
Yiming,0.014580%
Jianxin,0.014549%
Xiaolin,0.014458%
Haiyang,0.014397%
Wenlong,0.014366%
Zhiguo,0.014336%
Yongqiang,0.014336%
Dongsheng,0.014305%
Xiaobin,0.014305%
Zhihui,0.014275%
Jianhui,0.014214%
Yunfeng,0.014214%
Guanghui,0.014092%
Yangyang,0.014061%
Luan,0.014000%
Hongtao,0.013909%
Cen,0.013848%
Laoshi,0.013848%
Frank,0.013787%
Jianbo,0.013543%
Ban,0.013543%
Peter,0.013543%
Ang,0.013512%
Wenbo,0.013512%
Xiaoqing,0.013482%
Zang,0.013451%
Jianzhong,0.013451%
Yifei,0.013390%
Yanan,0.013268%
Chunyan,0.013238%
Inc,0.013177%
Zhihong,0.013085%
Hongbin,0.013085%
Weijun,0.013085%
Kou,0.012994%
Po,0.012933%
Zhiping,0.012872%
Junwei,0.012841%
Yanjun,0.012780%
Nong,0.012750%
Diao,0.012750%
Yunlong,0.012658%
Dandan,0.012597%
Yajun,0.012536%
Weijie,0.012475%
Hongyan,0.012445%
Neng,0.012384%
Xiaoqiang,0.012079%
Lifeng,0.012048%
Yonggang,0.011987%
Shaohua,0.011926%
Xiaoyong,0.011926%
Tuo,0.011896%
Weiming,0.011865%
Shenzhen,0.011835%
Xiaoliang,0.011835%
Limin,0.011835%
Tie,0.011804%
Binbin,0.011774%
Zhonghua,0.011743%
Yunfei,0.011743%
Xiaolei,0.011682%
Xinyu,0.011560%
Shanshan,0.011499%
Ho,0.011469%
Wenhui,0.011438%
Lixin,0.011408%
Cheung,0.011347%
Yanping,0.011347%
Xiaogang,0.011286%
Hongmei,0.011225%
Weiguo,0.011194%
Zan,0.011164%
Wenfeng,0.011164%
Zhicheng,0.011133%
Ceng,0.011133%
Xiaobing,0.011103%
Pengcheng,0.011103%
Steven,0.011072%
Weiping,0.011072%
Wenhua,0.011072%
Jiong,0.011011%
Feifei,0.010950%
Xinhua,0.010950%
Lingling,0.010950%
Chunhua,0.010889%
Minghui,0.010828%
Liangliang,0.010767%
Smith,0.010737%
Yuhua,0.010706%
Zhibin,0.010645%
Jue,0.010645%
Jinfeng,0.010645%
Yujie,0.010615%
Jiaqi,0.010584%
Leng,0.010554%
Sang,0.010523%
Jianqiang,0.010493%
Yingying,0.010462%
Guojun,0.010432%
Nen,0.010279%
Ri,0.010249%
Yulin,0.010249%
Jianmin,0.010218%
Liwei,0.010157%
Kuo,0.010127%
Yanhui,0.010127%
Yanyan,0.010096%
Xiaoling,0.010066%
Guangming,0.010035%
Zhichao,0.010005%
Yijun,0.010005%
Zhijian,0.009974%
Sam,0.009944%
Xiangyang,0.009913%
Guohui,0.009883%
Zhimin,0.009883%
Young,0.009883%
Weiqiang,0.009883%
Guoping,0.009822%
Zai,0.009822%
Guowei,0.009791%
Weimin,0.009791%
Yonghong,0.009761%
Mian,0.009700%
Xiaoyang,0.009700%
Xiaopeng,0.009669%
Guangzhou,0.009608%
Dehua,0.009608%
Gongyi,0.009578%
Allen,0.009547%
Yanhua,0.009516%
Shijie,0.009455%
Dongliang,0.009425%
Yifan,0.009394%
Zhihao,0.009333%
Zhijie,0.009333%
Jacky,0.009333%
Jerry,0.009333%
Jianbin,0.009272%
Cang,0.009272%
Cha,0.009272%
Xuejun,0.009272%
Xianfeng,0.009242%
Yifeng,0.009242%
Jianhong,0.009211%
Pi,0.009211%
Jiajia,0.009181%
Wenming,0.009181%
Xiaomei,0.009150%
Xiaoxiao,0.009150%
Lie,0.009150%
Guofeng,0.009120%
Wo,0.009120%
Te,0.009089%
Qingqing,0.009089%
Sir,0.009059%
Junhua,0.009028%
Qingfeng,0.008998%
Lihong,0.008998%
Zhiwen,0.008967%
