LastName,Percentage
Banco,2.690713%
Rodriguez,2.405396%
Gomez,1.386444%
Gonzalez,1.343471%
Martinez,1.122410%
Garcia,1.094929%
Sanchez,1.066236%
Ramirez,0.998342%
Lopez,0.989451%
Hernandez,0.942841%
Torres,0.942167%
Rojas,0.850699%
Moreno,0.823622%
Vargas,0.784690%
Gutierrez,0.631524%
Perez,0.614551%
Jimenez,0.598116%
Romero,0.592323%
Universidad,0.582355%
Castro,0.573194%
Suarez,0.514461%
Garzon,0.462732%
Herrera,0.457747%
Parra,0.450338%
Cortes,0.443603%
Ortiz,0.440504%
Bernal,0.439696%
Ministerio,0.438753%
Forero,0.411946%
Cardenas,0.404806%
Morales,0.403594%
Rincon,0.399418%
Castillo,0.373688%
Beltran,0.371263%
Alvarez,0.348093%
Reyes,0.340953%
Acosta,0.333275%
Pinzon,0.330446%
Medina,0.328964%
Quintero,0.328694%
Fundacion,0.321151%
Arias,0.319130%
Guerrero,0.316166%
Fiduciaria,0.289898%
Juan,0.281007%
Rivera,0.280064%
Guzman,0.272655%
Silva,0.271173%
Sierra,0.268344%
Inmobiliaria,0.263898%
Buitrago,0.263764%
Diaz,0.258779%
Mejia,0.256893%
Fondo,0.253795%
Fernandez,0.252717%
Mendez,0.252583%
Giraldo,0.251370%
Sarmiento,0.250562%
Salazar,0.248407%
Calderon,0.248407%
Avila,0.245039%
Restrepo,0.244500%
Lozano,0.244365%
Ospina,0.243422%
Jaramillo,0.243018%
Velasquez,0.240459%
Pulido,0.238169%
Prieto,0.236687%
Empresa,0.233858%
Florez,0.232915%
Sas,0.227931%
Pardo,0.227931%
Escobar,0.226718%
Castellanos,0.226584%
Vasquez,0.226045%
Mendoza,0.224293%
Camacho,0.224159%
Valencia,0.222677%
Osorio,0.215537%
Barrera,0.214729%
Pineda,0.209610%
Camargo,0.206646%
Franco,0.203144%
Casta,0.201258%
Colegio,0.200854%
Ramos,0.200315%
Molina,0.199103%
Fonseca,0.192906%
Arevalo,0.190077%
Duarte,0.187517%
Correa,0.186844%
Ciudadela,0.184689%
Carlos,0.184689%
Montoya,0.180917%
Amaya,0.179704%
Arango,0.179031%
Ardila,0.177684%
Delgado,0.176336%
Galindo,0.175528%
Marin,0.175393%
Embajada,0.174316%
El,0.174046%
Maria,0.171487%
Uribe,0.170948%
Vanegas,0.169601%
Sandoval,0.165425%
Bermudez,0.165425%
Monroy,0.159632%
Espinosa,0.158150%
Secretaria,0.156803%
Corredor,0.156130%
Duque,0.155052%
Cardona,0.154783%
Rueda,0.154379%
Ariza,0.153974%
Munoz,0.153974%
Alfonso,0.153301%
Salamanca,0.152358%
Bohorquez,0.151819%
Bonilla,0.150337%
Angel,0.149125%
Ruiz,0.148990%
Cifuentes,0.146969%
Hurtado,0.146161%
Guevara,0.145892%
Murcia,0.145353%
Asociacion,0.145218%
Pinilla,0.145084%
Etb,0.144814%
Parque,0.143602%
Carrillo,0.141716%
Pedraza,0.140773%
Nieto,0.139965%
Trujillo,0.138617%
Acevedo,0.137674%
Villamil,0.137270%
Bautista,0.137270%
Orjuela,0.137001%
Benavides,0.136597%
Becerra,0.136462%
Triana,0.135923%
Sanabria,0.135519%
Camara,0.135250%
Velez,0.134307%
Duran,0.133633%
Caicedo,0.133364%
Velandia,0.133364%
Luis,0.132151%
Fajardo,0.130669%
Galvis,0.130400%
Espitia,0.129996%
Hotel,0.129861%
Carvajal,0.128649%
Jorge,0.126898%
Tovar,0.126628%
Chaparro,0.124877%
Agudelo,0.124473%
Ortega,0.123934%
Castiblanco,0.123799%
Rubio,0.122317%
Bejarano,0.122317%
Zambrano,0.122048%
Ochoa,0.121644%
Rubiano,0.120297%
Baquero,0.119623%
Palacios,0.119219%
Barreto,0.118546%
Maldonado,0.118141%
Cuervo,0.118007%
Ayala,0.117603%
Quiroga,0.117468%
Segura,0.117064%
Alvarado,0.116929%
Alarcon,0.116660%
Blanco,0.115986%
Zapata,0.115043%
Botero,0.113696%
Barbosa,0.113426%
Pachon,0.111945%
Cubillos,0.110732%
Martin,0.110598%
Jose,0.110463%
Orozco,0.109789%
Vergara,0.109789%
Molano,0.109520%
Murillo,0.109385%
Gaitan,0.108981%
Tellez,0.107230%
Viviendas,0.106017%
Serrano,0.105479%
Aldana,0.105209%
Pinto,0.103458%
Montenegro,0.102784%
Henao,0.102650%
Cuellar,0.102111%
Riveros,0.101437%
Casas,0.100898%
Aguirre,0.100090%
Chaves,0.100090%
Bustos,0.099551%
Robayo,0.097126%
Aguilar,0.096049%
Granados,0.095914%
Clavijo,0.094567%
Valderrama,0.094567%
Villa,0.093220%
