LastName,Percentage
Rodriguez,1.634769%
Vargas,1.499203%
Rojas,1.238703%
Gonzalez,1.225412%
Jimenez,1.212121%
Castro,1.060606%
Mora,1.049973%
Ramirez,0.919724%
Sanchez,0.821372%
Hernandez,0.754918%
Lopez,0.738969%
Alfaro,0.712387%
Quesada,0.707071%
Arias,0.701754%
Solano,0.669856%
Jose,0.669856%
Fernandez,0.653907%
Araya,0.632642%
Campos,0.622010%
Alvarado,0.606061%
Murillo,0.603402%
Chaves,0.592770%
Aguilar,0.568846%
Garcia,0.560872%
Morales,0.552897%
Brenes,0.547581%
Juan,0.531632%
Martinez,0.523658%
Villalobos,0.520999%
Quiros,0.513025%
Perez,0.507709%
Gutierrez,0.497076%
Montero,0.497076%
Luis,0.491760%
Castillo,0.467836%
Salazar,0.465178%
Gomez,0.462520%
Vega,0.459862%
Alvarez,0.457204%
Madrigal,0.435938%
Solis,0.430622%
Calderon,0.430622%
Soto,0.422648%
Herrera,0.417331%
Salas,0.414673%
Cordero,0.414673%
Chavarria,0.406699%
Chacon,0.396066%
Mendez,0.388091%
Valverde,0.382775%
Barrantes,0.382775%
Zamora,0.380117%
Porras,0.353535%
Zuniga,0.348219%
Marin,0.321637%
Bonilla,0.318979%
Carlos,0.316321%
Segura,0.311005%
Espinoza,0.311005%
Molina,0.303030%
Guzman,0.297714%
Torres,0.295056%
Fallas,0.295056%
Rivera,0.289740%
Monge,0.289740%
Rica,0.287081%
Cruz,0.287081%
Camacho,0.287081%
Ruiz,0.284423%
Arce,0.279107%
Diaz,0.276449%
Flores,0.268474%
Gamboa,0.265816%
Hidalgo,0.265816%
Esquivel,0.265816%
Delgado,0.263158%
Blanco,0.263158%
Calvo,0.257842%
Fonseca,0.249867%
Navarro,0.239234%
Duran,0.239234%
Mata,0.233918%
Leon,0.233918%
Granados,0.217969%
Chinchilla,0.215311%
Romero,0.212653%
Munoz,0.212653%
Miranda,0.209995%
Carvajal,0.209995%
Umana,0.204678%
Badilla,0.204678%
Artavia,0.199362%
Vasquez,0.199362%
Arroyo,0.196704%
Ortiz,0.196704%
Venegas,0.194046%
Sa,0.191388%
Bolanos,0.188729%
Barquero,0.188729%
Abarca,0.183413%
Jorge,0.183413%
Villegas,0.180755%
Arguedas,0.178097%
Picado,0.178097%
Obando,0.175439%
Pacheco,0.175439%
Reyes,0.172780%
Garro,0.172780%
Corrales,0.172780%
Cortes,0.170122%
Acuna,0.167464%
Fuentes,0.164806%
Cespedes,0.162148%
Maria,0.159490%
Saenz,0.156831%
Cr,0.156831%
Loria,0.156831%
Nunez,0.154173%
Ortega,0.154173%
Ulloa,0.148857%
Guerrero,0.148857%
Garita,0.148857%
Alpizar,0.148857%
Orozco,0.148857%
Cascante,0.148857%
Lizano,0.148857%
