LastName,Percentage
Garcia,2.195946%
Cabrera,2.027027%
Blanco,2.027027%
Lopez,2.027027%
Perez,2.027027%
Hernandez,1.858108%
Rodriguez,1.520270%
Castro,1.182432%
Gonzalez,1.013514%
Fernandez,1.013514%
Molina,1.013514%
Cruz,0.844595%
Pena,0.844595%
Ruiz,0.675676%
Romero,0.675676%
Delgado,0.675676%
Luis,0.675676%
Rene,0.506757%
Ramos,0.506757%
Torres,0.506757%
Suarez,0.506757%
Arias,0.506757%
Otero,0.506757%
Heinze,0.506757%
Herrera,0.506757%
Martinez,0.506757%
Jimenez,0.506757%
Centro,0.506757%
Carlos,0.506757%
Dominguez,0.506757%
Leon,0.506757%
Recio,0.337838%
Rivero,0.337838%
Iris,0.337838%
Garciablanco,0.337838%
Teijelo,0.337838%
Toledo,0.337838%
Suri,0.337838%
Segura,0.337838%
Sotolongo,0.337838%
Smscubano,0.337838%
Alain,0.337838%
Alejandro,0.337838%
Armenteros,0.337838%
Alvarez,0.337838%
Alderete,0.337838%
Alonso,0.337838%
Farinas,0.337838%
Marta,0.337838%
Mailero,0.337838%
Monier,0.337838%
Marchamos,0.337838%
Medina,0.337838%
Christ,0.337838%
Chavez,0.337838%
Colina,0.337838%
Chau,0.337838%
Cuba,0.337838%
Campos,0.337838%
Chao,0.337838%
Cic,0.337838%
Darias,0.337838%
Visser,0.337838%
Vazquez,0.337838%
Brain,0.337838%
Botello,0.337838%
Batista,0.337838%
Lemus,0.337838%
Lee,0.337838%
Lacera,0.337838%
Yasmany,0.337838%
Poveda,0.337838%
Pulgaron,0.337838%
Pose,0.337838%
Rivera,0.168919%
Ramses,0.168919%
Ray,0.168919%
Ravelo,0.168919%
Rosildo,0.168919%
Roudoci,0.168919%
Reynapupo,0.168919%
Reiners,0.168919%
Ramirez,0.168919%
Rella,0.168919%
Raidel,0.168919%
Regalado,0.168919%
Roberto,0.168919%
Romagnoli,0.168919%
Roca,0.168919%
Rojas,0.168919%
Rios,0.168919%
Rodes,0.168919%
Reigada,0.168919%
Robles,0.168919%
Ruizazcuy,0.168919%
Uic,0.168919%
Uden,0.168919%
Ulloa,0.168919%
Ibarraabin,0.168919%
Ihanes,0.168919%
Iroel,0.168919%
Imirse,0.168919%
Individuale,0.168919%
Negrin,0.168919%
Nelson,0.168919%
Ndanduleni,0.168919%
Navas,0.168919%
Niebla,0.168919%
Napoles,0.168919%
Guerrero,0.168919%
Guo,0.168919%
Grupo,0.168919%
Gerardoborroto,0.168919%
Guede,0.168919%
Gladys,0.168919%
Garay,0.168919%
Gaspar,0.168919%
Gomez,0.168919%
Gabriel,0.168919%
Graciela,0.168919%
Zuloaga,0.168919%
Zhu,0.168919%
Zamora,0.168919%
Tamayo,0.168919%
Terga,0.168919%
Tuma,0.168919%
Terni,0.168919%
Talgarona,0.168919%
Triana,0.168919%
Turntine,0.168919%
Trujillo,0.168919%
Tang,0.168919%
Serrano,0.168919%
Santana,0.168919%
Sanz,0.168919%
Sanches,0.168919%
Sagales,0.168919%
Santos,0.168919%
Silvia,0.168919%
Santiago,0.168919%
Suite,0.168919%
Sainz,0.168919%
Saavedra,0.168919%
Suarezllorente,0.168919%
Sih,0.168919%
Schut,0.168919%
Sayas,0.168919%
Sanzo,0.168919%
Adiel,0.168919%
Angelo,0.168919%
Arencibia,0.168919%
Andres,0.168919%
Alex,0.168919%
Albertogomezmontano,0.168919%
Arriola,0.168919%
Ashdown,0.168919%
Amino,0.168919%
Abdiel,0.168919%
Alfaro,0.168919%
Abdo,0.168919%
Alfredo,0.168919%
Abreu,0.168919%
Avila,0.168919%
Arzobispado,0.168919%
Almenares,0.168919%
Aguilar,0.168919%
Aqaqaq,0.168919%
Aboy,0.168919%
Arranz,0.168919%
Alfonso,0.168919%
Almeida,0.168919%
Ahmed,0.168919%
Andersson,0.168919%
Averkamp,0.168919%
Ana,0.168919%
Azcuy,0.168919%
Apicella,0.168919%
Asociacion,0.168919%
Fandrey,0.168919%
Fidel,0.168919%
Ferro,0.168919%
Finez,0.168919%
Fajo,0.168919%
Fonseca,0.168919%
Fabelo,0.168919%
Franklin,0.168919%
Fuentes,0.168919%
Fotografia,0.168919%
Fajardo,0.168919%
Osa,0.168919%
Orfila,0.168919%
Ortiz,0.168919%
Ortega,0.168919%
Ojeda,0.168919%
Orbea,0.168919%
Ortuzar,0.168919%
