LastName,Percentage
Ltd,1.868202%
Georgiou,1.224331%
Ioannou,1.082874%
Charalambous,0.902395%
Demetriou,0.795083%
Christodoulou,0.736549%
Andreou,0.634115%
Michael,0.614604%
Antoniou,0.599971%
Nicolaou,0.502415%
Stylianou,0.434125%
Panayiotou,0.409736%
Petrou,0.365836%
Savva,0.360958%
Theodorou,0.341447%
Christou,0.336569%
Papadopoulos,0.321936%
Christoforou,0.317058%
Christofi,0.312180%
Kyriacou,0.312180%
Nikolaou,0.292669%
Anastasiou,0.292669%
Michaelides,0.287791%
Alexandrou,0.273157%
Pavlou,0.268280%
Ioannides,0.219501%
Stavrou,0.219501%
Loizou,0.219501%
Dimitriou,0.209746%
Savvides,0.204868%
Georgiades,0.195112%
Kyriakou,0.195112%
Smith,0.190235%
Demetriades,0.190235%
Neocleous,0.185357%
Philippou,0.185357%
Kyriakides,0.180479%
Nicolaides,0.175601%
Efstathiou,0.165846%
Eleftheriou,0.165846%
Panayi,0.165846%
Master,0.156090%
Vasiliou,0.156090%
Konstantinou,0.156090%
Kyprianou,0.156090%
Achilleos,0.146334%
Christofides,0.146334%
Papageorgiou,0.146334%
Aristidou,0.141457%
Cyprus,0.141457%
Lambrou,0.136579%
Rolandis,0.131701%
Jaghinyan,0.131701%
Demosthenous,0.131701%
Evangelou,0.131701%
Loizides,0.131701%
Papaioannou,0.131701%
Polycarpou,0.131701%
Spyrou,0.126823%
Christodoulides,0.126823%
Theodosiou,0.121945%
Hadjikyriacou,0.121945%
Chrysostomou,0.121945%
Charalambides,0.121945%
Evripidou,0.121945%
Elia,0.121945%
Panayiotides,0.121945%
Aristodemou,0.117067%
Antoniades,0.117067%
Avraam,0.117067%
Argyrou,0.112190%
Economides,0.112190%
Louca,0.112190%
Polydorou,0.112190%
Gregoriou,0.107312%
Theophanous,0.107312%
Chrysanthou,0.107312%
Agathangelou,0.102434%
Argyrides,0.102434%
Charalampous,0.102434%
Department,0.102434%
Panayides,0.102434%
Stylianides,0.097556%
Athanasiou,0.097556%
Hadjigeorgiou,0.097556%
Veelo,0.097556%
Lazarou,0.097556%
Leonidou,0.097556%
Petrides,0.097556%
Paraskeva,0.097556%
Soteriou,0.092678%
Pieri,0.092678%
Nikolaides,0.087801%
Makris,0.087801%
Iacovou,0.082923%
Inc,0.082923%
Thomas,0.082923%
Andreas,0.082923%
Hadjioannou,0.082923%
Kleanthous,0.082923%
Panagi,0.082923%
Georgios,0.078045%
Tryfonos,0.078045%
Toumbas,0.078045%
Trading,0.078045%
Theodoulou,0.078045%
Spanos,0.078045%
Agathocleous,0.078045%
Odysseos,0.078045%
Onoufriou,0.078045%
Markides,0.078045%
Menelaou,0.078045%
Mylonas,0.078045%
Jones,0.078045%
Costas,0.078045%
Papasavvas,0.078045%
Panagiotou,0.078045%
Walker,0.078045%
George,0.073167%
Zenonos,0.073167%
Stavrinides,0.073167%
Avgousti,0.073167%
Markou,0.073167%
Michail,0.073167%
Ellinas,0.073167%
Potamitis,0.073167%
Polyviou,0.073167%
