LastName,Percentage
Novak,0.563902%
Svoboda,0.365585%
Novotny,0.347556%
Dvorak,0.319511%
Cerny,0.251402%
Horak,0.240385%
Prochazka,0.232372%
Kucera,0.218349%
Vesely,0.177284%
Ing,0.175280%
Pokorny,0.160256%
Ruzicka,0.157252%
Marek,0.155248%
Petr,0.152244%
Fiala,0.148237%
Krejci,0.146234%
Zeman,0.144231%
Jelinek,0.142228%
Soukup,0.138221%
Hajek,0.134215%
Pospisil,0.133213%
Nemec,0.125200%
Kratochvil,0.122196%
Sedlacek,0.118189%
Vanek,0.117188%
Benes,0.115184%
Cermak,0.110176%
Urban,0.109175%
Kral,0.109175%
Musil,0.108173%
Bartos,0.108173%
Novakova,0.107171%
Kopecky,0.107171%
Dusek,0.106170%
Kolar,0.103165%
Dolezal,0.102163%
Simek,0.101162%
Cech,0.100160%
Vavra,0.100160%
Kovar,0.100160%
Vlcek,0.098157%
Liska,0.096154%
Jan,0.095152%
Sevcik,0.093149%
Blazek,0.093149%
Tuma,0.092147%
Navratil,0.091146%
Holub,0.091146%
Kadlec,0.091146%
Toman,0.089143%
Mach,0.089143%
Kriz,0.088141%
Stastny,0.087139%
Kaspar,0.087139%
Konecny,0.086138%
Mares,0.085136%
Dostal,0.085136%
Matousek,0.084135%
David,0.084135%
Svobodova,0.083133%
Sykora,0.082131%
Hruska,0.082131%
Stanek,0.081130%
Pavel,0.081130%
Riha,0.079127%
Stepanek,0.078125%
Bilek,0.078125%
Muller,0.077123%
Pavlik,0.077123%
Moravec,0.076122%
Cizek,0.076122%
Blaha,0.076122%
Kraus,0.076122%
Polak,0.076122%
Martinek,0.075120%
Vacek,0.075120%
Bures,0.075120%
Dvorakova,0.074119%
Vrba,0.074119%
Kovarik,0.074119%
Barta,0.073117%
Prokop,0.073117%
Richter,0.072115%
Maly,0.072115%
Machacek,0.072115%
Havlicek,0.071114%
Michal,0.071114%
Jezek,0.071114%
Slavik,0.070112%
Helpdesk,0.070112%
Kozak,0.070112%
Nemecek,0.069111%
Tomas,0.069111%
Tichy,0.069111%
Stejskal,0.069111%
Hruby,0.069111%
Havelka,0.066106%
Hanus,0.066106%
Zak,0.064103%
Vitek,0.064103%
Jiri,0.063101%
Bednar,0.063101%
Urbanek,0.062099%
Filip,0.062099%
Horacek,0.062099%
Klima,0.062099%
Jaros,0.060096%
Janda,0.060096%
Linhart,0.060096%
