LastName,Percentage
Ali,5.625000%
Houssein,3.125000%
Ahmed,2.812500%
Mohamed,2.812500%
Djaffar,2.187500%
Youssouf,2.187500%
Abdourahman,1.562500%
Omar,1.562500%
Souleiman,1.250000%
Abdi,1.250000%
Abdourahim,1.250000%
Osman,1.250000%
Hassan,1.250000%
Miad,1.250000%
Ibrahim,0.937500%
Garrido,0.937500%
Abdourazak,0.937500%
Harbi,0.937500%
Charmake,0.937500%
Djama,0.937500%
Djibril,0.937500%
Bandjir,0.937500%
Inc,0.625000%
Gutierrez,0.625000%
Toukaleh,0.625000%
Sokleng,0.625000%
Abdoulbasset,0.625000%
Aramis,0.625000%
Al-qershi,0.625000%
Abar,0.625000%
Farah,0.625000%
Hamza,0.625000%
Hag,0.625000%
Moulk,0.625000%
Djibouti,0.625000%
Darar,0.625000%
Elder,0.625000%
Ragueb,0.312500%
Rachid,0.312500%
Rajan,0.312500%
Roble,0.312500%
Rbf,0.312500%
Reuben,0.312500%
Rrecd,0.312500%
Robleh,0.312500%
Rhys,0.312500%
Ikbal,0.312500%
Intellos,0.312500%
Ismael,0.312500%
Iltireh,0.312500%
Nvnq,0.312500%
Nifn,0.312500%
Njsdv,0.312500%
Naguib,0.312500%
Gassani,0.312500%
Gnn,0.312500%
George,0.312500%
Grajewski,0.312500%
Guirreh,0.312500%
Garde-cotes,0.312500%
Graus,0.312500%
Gayout,0.312500%
Gambeli,0.312500%
Gebre-ab,0.312500%
Golaneh,0.312500%
Guelleh,0.312500%
Gabeyre,0.312500%
Zonia,0.312500%
Zaman,0.312500%
Zeinab,0.312500%
Tayoro,0.312500%
Tsiamandas,0.312500%
Tao,0.312500%
Tolmone,0.312500%
Tewani,0.312500%
Tille,0.312500%
Transit,0.312500%
Taylor,0.312500%
Tom,0.312500%
Snare,0.312500%
Scaldini,0.312500%
Saad,0.312500%
Sharif,0.312500%
Saenger,0.312500%
Sarl,0.312500%
Sanders,0.312500%
Safwat,0.312500%
Samaj,0.312500%
Saudi,0.312500%
Abdalla,0.312500%
Abdallah,0.312500%
Aptidon,0.312500%
Albert,0.312500%
Adou,0.312500%
Abdullahi,0.312500%
Adem,0.312500%
Al-hakimi,0.312500%
Ahmad,0.312500%
Abdirahman,0.312500%
Abdirisak,0.312500%
Abdirizak,0.312500%
Altenburg,0.312500%
Arba,0.312500%
Abdoulkader,0.312500%
Alejandro,0.312500%
Abayazid,0.312500%
Abass,0.312500%
Abdillah,0.312500%
Abdillahi,0.312500%
Ayadi,0.312500%
Alihassan,0.312500%
Abdourahmant,0.312500%
Ahmedali,0.312500%
Assowe,0.312500%
Adour,0.312500%
Francois,0.312500%
Fahmi,0.312500%
Fzco,0.312500%
Fried,0.312500%
Fdabf,0.312500%
Omairan,0.312500%
Ofleh,0.312500%
Ouloufa,0.312500%
Haweya,0.312500%
Habib,0.312500%
Haimin,0.312500%
Hachi,0.312500%
Haidar,0.312500%
Hussien,0.312500%
Hays,0.312500%
Howes,0.312500%
Hibo,0.312500%
Hberb,0.312500%
Hyperrecursive,0.312500%
Houmed,0.312500%
Moussa,0.312500%
Moussadawaleh,0.312500%
Mahbubibrahim,0.312500%
Mohamedhoussein,0.312500%
Moubarik,0.312500%
Moucktar,0.312500%
Mahdi,0.312500%
Mathauser,0.312500%
Mihaylov,0.312500%
Mourad,0.312500%
Mohameddualeali,0.312500%
Miguil,0.312500%
Musawi,0.312500%
Markus,0.312500%
Moumin,0.312500%
Jing,0.312500%
Jean,0.312500%
Julien,0.312500%
Calasoow,0.312500%
Courts,0.312500%
Chinery,0.312500%
Cappellini,0.312500%
Cooper,0.312500%
Dinni,0.312500%
Dallo,0.312500%
Dankali,0.312500%
Ding,0.312500%
Daoud,0.312500%
Daher,0.312500%
Dve,0.312500%
Dfb,0.312500%
Dfbf,0.312500%
Dawaleh,0.312500%
Dominique,0.312500%
Derpina,0.312500%
Vdnmb,0.312500%
Vqrq,0.312500%
Qkwpy,0.312500%
Emi,0.312500%
Ery,0.312500%
Elshafei,0.312500%
Emma,0.312500%
Barkhadle,0.312500%
Bulhan,0.312500%
Bre,0.312500%
Bouh,0.312500%
Berard,0.312500%
Balslev,0.312500%
Bogoreh,0.312500%
Baldvinsson,0.312500%
Badoul,0.312500%
Brunlan,0.312500%
Boullo,0.312500%
Kamil,0.312500%
Karen,0.312500%
Kolik,0.312500%
Kuscsik,0.312500%
Liaquat,0.312500%
Li,0.312500%
Lee,0.312500%
Lycee,0.312500%
Lorenzen,0.312500%
Yu,0.312500%
Yusuf,0.312500%
Perles,0.312500%
Pengfei,0.312500%
Priednieks,0.312500%
Pena,0.312500%
Poirier,0.312500%
Walieh,0.312500%
Wayne,0.312500%
Waberi,0.312500%
Wei,0.312500%
White,0.312500%
