LastName,Percentage
Nielsen,2.338431%
Jensen,2.028966%
Hansen,1.945692%
Andersen,1.755511%
Pedersen,1.507939%
Christensen,1.237861%
Larsen,1.216479%
Rasmussen,1.064560%
Petersen,0.887884%
Madsen,0.607677%
Soerensen,0.554787%
Kristensen,0.531155%
Joergensen,0.528904%
Olsen,0.497395%
Thomsen,0.421998%
Christiansen,0.420873%
Poulsen,0.335348%
Lund,0.318468%
Mortensen,0.316217%
Johansen,0.312841%
Moeller,0.298212%
Jacobsen,0.293711%
Jakobsen,0.292585%
Aps,0.286959%
Knudsen,0.279081%
Olesen,0.262201%
Holm,0.254324%
Frederiksen,0.248697%
Laursen,0.238569%
Schmidt,0.230692%
Mikkelsen,0.228442%
Thomas,0.204810%
Henriksen,0.193556%
Martin,0.192431%
Lars,0.190180%
Clausen,0.183428%
Eriksen,0.181178%
Michael,0.177802%
Peter,0.174426%
Pejman,0.171050%
Dahl,0.163173%
Friis,0.154170%
Christian,0.150794%
Jens,0.148543%
Jorgensen,0.148543%
Kristiansen,0.144042%
Sorensen,0.142917%
Simonsen,0.141791%
Jepsen,0.141791%
Vestergaard,0.141791%
Manager,0.139541%
Morten,0.139541%
Jesper,0.139541%
Kjaer,0.136165%
Andreasen,0.133914%
Oestergaard,0.133914%
Henrik,0.131663%
Anders,0.128287%
Winther,0.128287%
Bach,0.119285%
Svendsen,0.118159%
Jespersen,0.110282%
Lind,0.110282%
Iversen,0.108031%
Frandsen,0.108031%
Jan,0.106906%
Rasmus,0.105781%
Lauridsen,0.103530%
Bech,0.102405%
Skov,0.101279%
Jeppesen,0.100154%
Bertelsen,0.100154%
Nygaard,0.097904%
Mads,0.097904%
Krogh,0.097904%
Mogensen,0.096778%
Gregersen,0.095653%
Soeren,0.093402%
Brandt,0.093402%
Sommer,0.091152%
Nissen,0.090026%
Niels,0.090026%
Anne,0.088901%
Dam,0.088901%
Noergaard,0.087776%
Jessen,0.087776%
Daniel,0.087776%
Toft,0.085525%
Carlsen,0.085525%
Bruun,0.085525%
Christoffersen,0.083274%
Ravn,0.081024%
Nilsson,0.081024%
Hans,0.081024%
Bundgaard,0.079898%
Claus,0.078773%
Danielsen,0.078773%
Kim,0.078773%
Lassen,0.078773%
Soendergaard,0.076522%
Holst,0.076522%
Bang,0.076522%
Beck,0.076522%
Fischer,0.075397%
Mette,0.075397%
Munk,0.074272%
Simon,0.072021%
Juhl,0.072021%
Lauritzen,0.072021%
Hermansen,0.070896%
Berg,0.070896%
Jonas,0.069770%
Bak,0.068645%
Kjeldsen,0.068645%
Ole,0.067520%
Jacob,0.067520%
Juul,0.067520%
Frost,0.066394%
Moller,0.066394%
Mikkel,0.066394%
Jakob,0.065269%
Johnsen,0.065269%
Damgaard,0.065269%
Overgaard,0.064144%
Kruse,0.064144%
Kasper,0.064144%
Lorenzen,0.064144%
Steen,0.063018%
Dalsgaard,0.063018%
Schou,0.061893%
Andresen,0.061893%
Maria,0.061893%
Lasse,0.060768%
Riis,0.059642%
Mark,0.059642%
Gade,0.058517%
