LastName,Percentage
Joseph,3.474303%
George,2.097902%
Thomas,2.042402%
Charles,1.998002%
Williams,1.875902%
Jno,1.520702%
James,1.254301%
Alexander,1.243201%
John,1.176601%
Shillingford,1.165501%
Francis,1.098901%
St,0.976801%
Vidal,0.832501%
Matthew,0.810301%
Lewis,0.810301%
Paul,0.754801%
Benjamin,0.688201%
Roberts,0.666001%
Esprit,0.654901%
Lawrence,0.654901%
Pascal,0.654901%
Etienne,0.643801%
Fontaine,0.621601%
Baron,0.610501%
Darroux,0.599401%
Peter,0.555001%
Cuffy,0.543901%
Abraham,0.532801%
Henry,0.532801%
Bellot,0.532801%
Green,0.521701%
Simon,0.499500%
Durand,0.499500%
Edwards,0.499500%
Toussaint,0.477300%
Augustine,0.477300%
Henderson,0.477300%
Letang,0.466200%
Royer,0.455100%
Laville,0.444000%
Defoe,0.432900%
Andrew,0.421800%
Richards,0.399600%
Carbon,0.399600%
Tavernier,0.388500%
Xavier,0.388500%
Bruno,0.388500%
Riviere,0.377400%
Nicholas,0.377400%
Anthony,0.366300%
Felix,0.366300%
Julien,0.366300%
Prosper,0.366300%
Seaman,0.355200%
Casimir,0.355200%
Leblanc,0.355200%
Winston,0.355200%
Rolle,0.344100%
Samuel,0.344100%
Frederick,0.344100%
Burton,0.344100%
Magloire,0.333000%
Pierre,0.333000%
Hill,0.321900%
Phillip,0.321900%
Alfred,0.310800%
David,0.310800%
Laurent,0.310800%
Peters,0.310800%
Guiste,0.299700%
Auguiste,0.299700%
Romain,0.288600%
Robinson,0.288600%
Graham,0.288600%
Daniel,0.288600%
Prince,0.288600%
Austrie,0.277500%
Hector,0.277500%
Antoine,0.266400%
Robin,0.255300%
Smith,0.255300%
Scotland,0.255300%
Marie,0.255300%
Jervier,0.255300%
Blaize,0.255300%
Bannis,0.255300%
Louis,0.255300%
Pacquette,0.255300%
Gregoire,0.244200%
Angol,0.244200%
Bruney,0.244200%
Prevost,0.244200%
Emanuel,0.233100%
Laudat,0.233100%
Warrington,0.233100%
Sorhaindo,0.222000%
Douglas,0.222000%
Victor,0.222000%
Isaac,0.210900%
Gordon,0.210900%
Guye,0.210900%
Andre,0.210900%
Martin,0.210900%
Johnson,0.210900%
Jean,0.210900%
Village,0.210900%
Bertrand,0.210900%
Walsh,0.210900%
Alleyne,0.199800%
Jones,0.199800%
Baptiste,0.199800%
Ltd,0.199800%
Wallace,0.199800%
Serrant,0.188700%
Harris,0.188700%
Moise,0.188700%
Jacob,0.188700%
John-baptiste,0.188700%
Christmas,0.188700%
Elwin,0.188700%
Rodney,0.177600%
Aaron,0.177600%
Christopher,0.177600%
Dominique,0.177600%
Davis,0.177600%
Laronde,0.177600%
Luke,0.177600%
Nelson,0.166500%
Fabien,0.166500%
Hypolite,0.166500%
Delsol,0.166500%
Elizee,0.166500%
Blanc,0.166500%
Leslie,0.166500%
Polydore,0.166500%
Registe,0.155400%
Timothy,0.155400%
Titre,0.155400%
Stedman,0.155400%
Alexis,0.155400%
Christian,0.155400%
Coipel,0.155400%
Didier,0.155400%
Valerie,0.155400%
Bazil,0.155400%
Lockhart,0.155400%
Pinard,0.155400%
Rabess,0.144300%
Grell,0.144300%
