LastName,Percentage
Rodriguez,2.530260%
Perez,1.781269%
Garcia,1.618165%
Martinez,1.502275%
Reyes,1.154606%
Sanchez,1.146021%
Gonzalez,1.062323%
Diaz,1.010816%
Hernandez,1.004378%
Cruz,0.985063%
Castillo,0.963602%
Jimenez,0.901365%
Gomez,0.877758%
Rosario,0.858443%
Ramirez,0.856297%
Jose,0.832690%
Santana,0.821959%
Lopez,0.764014%
Fernandez,0.746845%
Santos,0.725384%
Guzman,0.693193%
Pena,0.682462%
Polanco,0.568718%
Nunez,0.557988%
Juan,0.517212%
Vasquez,0.512920%
Almonte,0.510773%
Abreu,0.506481%
Feliz,0.504335%
Mejia,0.495751%
Vargas,0.489312%
Acosta,0.482874%
Medina,0.480728%
Mendez,0.459267%
Guerrero,0.439952%
Ortiz,0.439952%
Cabrera,0.420637%
Arias,0.418491%
Paulino,0.416345%
Peralta,0.414199%
Baez,0.409906%
Luis,0.388445%
Marte,0.384153%
Matos,0.371277%
Duran,0.371277%
Batista,0.371277%
Taveras,0.356254%
Rosa,0.354108%
Tejada,0.349815%
Valdez,0.343377%
Herrera,0.339085%
Castro,0.334793%
Dominguez,0.332647%
Torres,0.330500%
Leon,0.321916%
Mercedes,0.311186%
Espinal,0.298309%
Soto,0.294017%
Alcantara,0.287578%
Rivera,0.276848%
Tavarez,0.270409%
Alvarez,0.270409%
Lora,0.266117%
Pimentel,0.266117%
Ruiz,0.259679%
Ramos,0.259679%
Pichardo,0.257533%
Rojas,0.253241%
Sosa,0.251095%
Jesus,0.251095%
Romero,0.244656%
Brito,0.240364%
Tejeda,0.238218%
Francisco,0.229633%
Montero,0.229633%
Encarnacion,0.229633%
Peguero,0.227487%
Carlos,0.225341%
Reynoso,0.223195%
Mateo,0.221049%
Cuevas,0.218903%
Ventura,0.214611%
Mota,0.208172%
Javier,0.208172%
Grullon,0.201734%
Acevedo,0.199588%
Frias,0.199588%
Urena,0.197442%
Gutierrez,0.197442%
Estevez,0.195296%
Henriquez,0.193150%
Aquino,0.186711%
Calderon,0.186711%
Cordero,0.186711%
Rivas,0.182419%
Morel,0.180273%
Miguel,0.180273%
Morales,0.178127%
Jorge,0.173835%
Bautista,0.173835%
Melo,0.169542%
Gil,0.165250%
Munoz,0.165250%
Toribio,0.158812%
Ortega,0.156666%
Capellan,0.156666%
Victor,0.156666%
Lorenzo,0.156666%
Rafael,0.154520%
Manuel,0.154520%
Paredes,0.154520%
Almanzar,0.150227%
Mora,0.150227%
Maria,0.150227%
Ramon,0.148081%
Lara,0.148081%
Suarez,0.145935%
Soriano,0.145935%
Mendoza,0.145935%
Veras,0.145935%
Adames,0.139497%
Luna,0.139497%
Moreno,0.137351%
Cepeda,0.137351%
Fermin,0.135205%
Lantigua,0.126620%
Mena,0.124474%
Liriano,0.124474%
Camilo,0.122328%
Valerio,0.122328%
Molina,0.120182%
Pujols,0.120182%
Genao,0.118036%
Felix,0.118036%
Heredia,0.118036%
Collado,0.118036%
Estrella,0.118036%
Burgos,0.118036%
Angel,0.115890%
Carrasco,0.115890%
Disla,0.113744%
Franco,0.111598%
Morillo,0.111598%
German,0.109451%
Suero,0.109451%
Ogando,0.109451%
Hidalgo,0.109451%
Minaya,0.109451%
Espinosa,0.109451%
Rijo,0.107305%
Robles,0.107305%
Bonilla,0.107305%
Terrero,0.105159%
Severino,0.105159%
Flores,0.105159%
Delgado,0.105159%
Bueno,0.105159%
Srl,0.103013%
Mercado,0.103013%
Colon,0.103013%
Vicente,0.103013%
Figueroa,0.100867%
Cabral,0.100867%
Ferreras,0.096575%
Valenzuela,0.096575%
Beltre,0.096575%
Jean,0.094429%
Vidal,0.094429%
Luciano,0.094429%
Zapata,0.092283%
Santiago,0.092283%
Dominicana,0.092283%
Blanco,0.092283%
Rd,0.090136%
Familia,0.090136%
Julio,0.090136%
Sierra,0.087990%
Ferreira,0.087990%
Moreta,0.087990%
Silverio,0.085844%
Cedeno,0.085844%
Villar,0.085844%
Paniagua,0.085844%
Pineda,0.085844%
Suriel,0.083698%
Hector,0.083698%
Lebron,0.083698%
Then,0.081552%
Joel,0.081552%
Jerez,0.081552%
Caraballo,0.081552%
Cedano,0.081552%
Leonardo,0.081552%
Perdomo,0.081552%
Checo,0.079406%
Caceres,0.079406%
Ceballos,0.079406%
Rincon,0.077260%
Ulloa,0.077260%
Nova,0.077260%
Guerra,0.077260%
Salcedo,0.077260%
Matias,0.077260%
Pereyra,0.077260%
Infante,0.075114%
Tapia,0.075114%
Trinidad,0.075114%
Segura,0.075114%
Antonio,0.075114%
Jaquez,0.075114%
Bencosme,0.075114%
Pacheco,0.075114%
