LastName,Percentage
Rodriguez,0.941143%
Garcia,0.781250%
Sanchez,0.779226%
Lopez,0.710411%
Torres,0.649692%
Gonzalez,0.645644%
Flores,0.590997%
Perez,0.566710%
Juan,0.558614%
Andrade,0.542422%
Zambrano,0.526231%
Salazar,0.522183%
Leon,0.457416%
Castro,0.441224%
Cevallos,0.439200%
Romero,0.431104%
Gomez,0.431104%
Jaramillo,0.429080%
Herrera,0.400745%
Martinez,0.388601%
Alvarez,0.382529%
Ramirez,0.368361%
Maldonado,0.366337%
Diaz,0.366337%
Vera,0.364313%
Jose,0.358242%
Ruiz,0.356218%
Ltda,0.356218%
Chavez,0.354194%
Carlos,0.354194%
Delgado,0.348122%
Morales,0.344074%
Luis,0.344074%
Paredes,0.342050%
Ortiz,0.335978%
Hernandez,0.333954%
Espinoza,0.333954%
Molina,0.331930%
Moreno,0.321810%
Maria,0.321810%
Reyes,0.319786%
Castillo,0.311690%
Arias,0.301571%
Guerrero,0.297523%
Cruz,0.289427%
Jimenez,0.283355%
Vallejo,0.283355%
Bravo,0.283355%
Suarez,0.279307%
Silva,0.275259%
Cordova,0.271211%
Tapia,0.267163%
Alvarado,0.267163%
Rivera,0.261091%
Calderon,0.261091%
Rojas,0.257043%
Ortega,0.255019%
Cabrera,0.255019%
Ecuador,0.255019%
Aguilar,0.252995%
Hidalgo,0.248948%
Palacios,0.248948%
Jorge,0.246924%
Vasquez,0.242876%
Fernandez,0.238828%
Mendoza,0.238828%
Cardenas,0.236804%
Rosero,0.234780%
Almeida,0.234780%
Mora,0.234780%
Naranjo,0.230732%
Munoz,0.230732%
Davila,0.230732%
Aguirre,0.226684%
Vargas,0.218588%
Teran,0.214540%
Freire,0.214540%
Orellana,0.214540%
Viteri,0.214540%
Ponce,0.212516%
Guevara,0.210492%
Guerra,0.208468%
Valencia,0.208468%
Velez,0.208468%
Vaca,0.208468%
Guzman,0.206444%
Macias,0.202396%
Ayala,0.200372%
Acosta,0.200372%
Jacome,0.200372%
Vega,0.200372%
Escobar,0.200372%
Pacheco,0.200372%
Ochoa,0.192277%
Mejia,0.190253%
Loor,0.188229%
Ramos,0.186205%
Proano,0.186205%
Borja,0.182157%
Sa,0.180133%
Serrano,0.178109%
Pozo,0.174061%
Garzon,0.170013%
Espinosa,0.170013%
Gutierrez,0.167989%
Avila,0.167989%
Carrera,0.167989%
Villacis,0.165965%
Yepez,0.165965%
Cadena,0.159893%
Granda,0.157869%
Jara,0.157869%
Carrasco,0.157869%
Carrillo,0.155845%
Ordonez,0.149773%
Moncayo,0.147749%
Roman,0.145725%
Narvaez,0.145725%
Franco,0.145725%
Lara,0.145725%
Figueroa,0.143701%
Miranda,0.143701%
Mosquera,0.143701%
Moreira,0.143701%
Carrion,0.143701%
Calle,0.143701%
Correa,0.143701%
Alcivar,0.141677%
Velasco,0.141677%
Parra,0.141677%
Armijos,0.139653%
Velasquez,0.139653%
Rivadeneira,0.135606%
Coronel,0.135606%
Diego,0.133582%
Mena,0.131558%
Estrella,0.131558%
