LastName,Percentage
Ou,0.536814%
Tamm,0.401198%
Martin,0.259931%
Neeme,0.209075%
Ivanov,0.197774%
Kask,0.197774%
Margus,0.175171%
Siim,0.169520%
Mandrik,0.163870%
Kristjan,0.163870%
Rebane,0.158219%
Saar,0.158219%
Tarmo,0.152568%
Sepp,0.152568%
Bobrova,0.152568%
Kallas,0.152568%
Koppel,0.146918%
Liiv,0.146918%
Laur,0.141267%
Andres,0.135616%
Kukk,0.135616%
Taavi,0.129966%
Ots,0.129966%
Laas,0.129966%
Indrek,0.124315%
Marek,0.124315%
Popov,0.124315%
Oy,0.118664%
Toomas,0.113014%
Jaanus,0.113014%
Tanel,0.107363%
Silver,0.107363%
Orav,0.107363%
Juri,0.107363%
Kangur,0.107363%
Ilves,0.101712%
Andrei,0.101712%
Molder,0.101712%
Ltd,0.101712%
Priit,0.101712%
Magi,0.096061%
Marko,0.096061%
Vaher,0.096061%
Lill,0.096061%
Teder,0.090411%
Mart,0.090411%
Juhkam,0.090411%
Kaasik,0.090411%
Luik,0.090411%
Risto,0.084760%
Raido,0.084760%
Henri,0.084760%
Mark,0.084760%
Kivi,0.084760%
Kadri,0.084760%
Laine,0.084760%
Lepik,0.084760%
Rand,0.079109%
Gert,0.079109%
Smirnov,0.079109%
Oja,0.079109%
Oliver,0.079109%
Madis,0.079109%
Janar,0.079109%
Vahur,0.079109%
Koiv,0.079109%
Laane,0.079109%
Paju,0.079109%
Roosipuu,0.073459%
Toom,0.073459%
Sander,0.073459%
Sten,0.073459%
Andrus,0.073459%
Arro,0.073459%
Allik,0.073459%
Ott,0.073459%
Hunt,0.073459%
Hinnosaar,0.073459%
Meelis,0.073459%
Mihkel,0.073459%
Mikk,0.073459%
Mannik,0.073459%
Jakobson,0.073459%
Karu,0.073459%
Karl,0.073459%
Kaur,0.073459%
Kozlov,0.073459%
Lauri,0.073459%
Lepp,0.073459%
Peeter,0.073459%
Peterson,0.073459%
Raud,0.067808%
Ivar,0.067808%
Tonis,0.067808%
Aavik,0.067808%
Veiko,0.067808%
Kalda,0.067808%
Koort,0.067808%
Kuznetsov,0.067808%
Kompus,0.067808%
Pihlak,0.067808%
Raun,0.062157%
Nieler,0.062157%
Gross,0.062157%
Tali,0.062157%
Tuisk,0.062157%
Tikk,0.062157%
Saks,0.062157%
Aleksandr,0.062157%
Annika,0.062157%
Hansen,0.062157%
Helen,0.062157%
Morozov,0.062157%
Erki,0.062157%
Kikas,0.062157%
Kuusik,0.062157%
Kuusk,0.062157%
Kotkas,0.062157%
Laanmets,0.062157%
Ploompuu,0.062157%
Ruus,0.056507%
Urb,0.056507%
Zaitsev,0.056507%
Semjonov,0.056507%
Andre,0.056507%
Aruoja,0.056507%
Andreas,0.056507%
Maria,0.056507%
Makarov,0.056507%
Jogi,0.056507%
Dmitri,0.056507%
Vain,0.056507%
Varik,0.056507%
Korotkov,0.056507%
Liis,0.056507%
Llc,0.056507%
Petrov,0.056507%
Pukk,0.056507%
Post,0.056507%
Rauno,0.050856%
Rosenberg,0.050856%
Uibo,0.050856%
Ivan,0.050856%
Tenno,0.050856%
Sinisalu,0.050856%
Aas,0.050856%
Alesmaa,0.050856%
Anton,0.050856%
Allas,0.050856%
Hallik,0.050856%
Heinsoo,0.050856%
Hendrik,0.050856%
Hannes,0.050856%
Joonas,0.050856%
Joost,0.050856%
Janno,0.050856%
Veidenberg,0.050856%
Viik,0.050856%
Eduard,0.050856%
Eero,0.050856%
Eriksson,0.050856%
Kokk,0.050856%
Kristiina,0.050856%
Kolk,0.050856%
Kaldoja,0.050856%
Kalinin,0.050856%
Kurvits,0.050856%
Katrin,0.050856%
Kevin,0.050856%
Kala,0.050856%
Kruus,0.050856%
Leppik,0.050856%
Lind,0.050856%
Parn,0.050856%
Palm,0.050856%
Pai,0.050856%
Rait,0.045205%
Rain,0.045205%
Raudsepp,0.045205%
Raivo,0.045205%
Niilo,0.045205%
Grigorjev,0.045205%
Tammik,0.045205%
Tasane,0.045205%
Triin,0.045205%
Saluveer,0.045205%
Sergejev,0.045205%
Sokolov,0.045205%
