LastName,Percentage
Universitesi,1.156069%
Goktug,1.156069%
Gok,1.156069%
Tsighe,1.156069%
Tekeste,1.156069%
Solomon,1.156069%
Sti,1.156069%
Sun,1.156069%
Haileab,1.156069%
Mesfin,1.156069%
Xu,1.156069%
Estifanos,1.156069%
Breadmore,1.156069%
Radka,0.578035%
Rth,0.578035%
Rthrthrh,0.578035%
Rhys,0.578035%
Irwin,0.578035%
Nufe,0.578035%
Nikita,0.578035%
Nvine,0.578035%
Nvev,0.578035%
Nia,0.578035%
Niufn,0.578035%
Nuen,0.578035%
Gebremariam,0.578035%
Gundogdu,0.578035%
Gulut,0.578035%
Golf,0.578035%
Gebreamlak,0.578035%
Ghebre,0.578035%
Gayrimenkul,0.578035%
Gencaga,0.578035%
Grmay,0.578035%
Ghebrehiwet,0.578035%
Gbbf,0.578035%
Gozluk,0.578035%
Zhang,0.578035%
Zorlu,0.578035%
Turgut,0.578035%
Tekince,0.578035%
Tahill,0.578035%
Tekle,0.578035%
Tekleab,0.578035%
Tomas,0.578035%
Tmy,0.578035%
Tigli,0.578035%
Tutak,0.578035%
Tek,0.578035%
Sengul,0.578035%
Sabanci,0.578035%
Son,0.578035%
Sahlezghi,0.578035%
Stanislav,0.578035%
Sen,0.578035%
Salomos,0.578035%
Saltik,0.578035%
Sargent,0.578035%
Sdgsd,0.578035%
Sawan,0.578035%
Silva,0.578035%
Saleh,0.578035%
Artman,0.578035%
Austin,0.578035%
Altundag,0.578035%
Aydin,0.578035%
Aki,0.578035%
Akkus,0.578035%
As,0.578035%
Aero,0.578035%
Akbaba,0.578035%
Abraha,0.578035%
Aylyez,0.578035%
Aker,0.578035%
Allen,0.578035%
Fbe,0.578035%
Fnn,0.578035%
Fsd,0.578035%
Falappa,0.578035%
Fr,0.578035%
Fuente,0.578035%
Fashion,0.578035%
Ozkayalar,0.578035%
Ortega,0.578035%
Ozel,0.578035%
Ozer,0.578035%
Ouy,0.578035%
Onder,0.578035%
Olgun,0.578035%
Hagos,0.578035%
Holding,0.578035%
Hodeir,0.578035%
Habteselassie,0.578035%
Haqqi,0.578035%
Handfield,0.578035%
Hanson,0.578035%
Hong,0.578035%
Hang,0.578035%
Hakverdioglu,0.578035%
Miateca,0.578035%
Mckeag,0.578035%
Mohamed,0.578035%
Mullawirraburka,0.578035%
Jones,0.578035%
Jia,0.578035%
Jg,0.578035%
Cozumleri,0.578035%
Cerciler,0.578035%
Chou,0.578035%
Ciek,0.578035%
Cilingir,0.578035%
Cooper,0.578035%
Duman,0.578035%
Dilber,0.578035%
Vural,0.578035%
Quarters,0.578035%
Eyob,0.578035%
Efendioglu,0.578035%
Eritrea,0.578035%
Evonack,0.578035%
Eff,0.578035%
Belay,0.578035%
Basan,0.578035%
Bayramoglu,0.578035%
Bulabesso,0.578035%
Bnuf,0.578035%
Bil,0.578035%
Boyaci,0.578035%
Burdur,0.578035%
Bbc,0.578035%
Brr,0.578035%
Buckley,0.578035%
Bilgili,0.578035%
Box,0.578035%
Kavalci,0.578035%
Kesete,0.578035%
Kanat,0.578035%
Keles,0.578035%
Kaldjfl,0.578035%
Kirk,0.578035%
Kara,0.578035%
Kilkuyruk,0.578035%
Kuzulugil,0.578035%
King,0.578035%
Karadeniz,0.578035%
Karahan,0.578035%
Kaya,0.578035%
Kahsay,0.578035%
Leon,0.578035%
Lei,0.578035%
Lebasi,0.578035%
Yedier,0.578035%
Yilmaz,0.578035%
Yavuz,0.578035%
Yildiz,0.578035%
Patricia,0.578035%
Piche,0.578035%
Wilkins,0.578035%
Work,0.578035%
Wolay,0.578035%
