LastName,Percentage
Cordiner,5.660377%
Ellick,5.660377%
Lewis,5.660377%
Goodwin,3.773585%
Hansen,3.773585%
Ellis,3.773585%
Robertson,1.886792%
Reynolds,1.886792%
Ibrahim,1.886792%
Ilbetrin,1.886792%
Golden,1.886792%
Zuvic,1.886792%
Soto,1.886792%
Spicer,1.886792%
French,1.886792%
Finn,1.886792%
Fifca,1.886792%
Huet,1.886792%
Ma,1.886792%
Morse,1.886792%
Jaaskela,1.886792%
Casanova,1.886792%
Camille,1.886792%
Collin,1.886792%
Cameron,1.886792%
Dimmlich,1.886792%
Damage,1.886792%
Davies,1.886792%
East,1.886792%
Brock,1.886792%
Brister,1.886792%
Belize,1.886792%
Bicaldo,1.886792%
Kong,1.886792%
Kumar,1.886792%
Kotilainen,1.886792%
Ling,1.886792%
Luxton,1.886792%
Lee,1.886792%
Laprade,1.886792%
Pollard,1.886792%
Pierre,1.886792%
Wan,1.886792%
Webber,1.886792%
