LastName,Percentage
Rice,3.448276%
Roby,2.586207%
Iehsi,2.586207%
Syne,2.586207%
Secretariat,1.724138%
Asor,1.724138%
Padilla,1.724138%
Williams,1.724138%
Ramon,0.862069%
Razil,0.862069%
Usr,0.862069%
Ulengchong,0.862069%
Iog,0.862069%
Ishihara,0.862069%
Impresa,0.862069%
Interleasing,0.862069%
Irons,0.862069%
Nono,0.862069%
Nak,0.862069%
Giorgi,0.862069%
Genobia,0.862069%
Gomez,0.862069%
Gutierrez,0.862069%
Tarus,0.862069%
Tao,0.862069%
Taylor,0.862069%
Theparemstate,0.862069%
Tuzi,0.862069%
Stout,0.862069%
Sam,0.862069%
Sanchez,0.862069%
Soh,0.862069%
Salomon,0.862069%
Suganuma,0.862069%
Segal,0.862069%
Stephen,0.862069%
Skilling,0.862069%
Sigrah,0.862069%
Simpson,0.862069%
Andrei,0.862069%
Ashley,0.862069%
Akapito,0.862069%
Andrenacci,0.862069%
Alessio,0.862069%
Ferraro,0.862069%
Florida,0.862069%
Fillmed,0.862069%
Fread,0.862069%
Overhoff,0.862069%
Haglelgam,0.862069%
Hausman,0.862069%
Harman,0.862069%
Herry,0.862069%
Hernandez,0.862069%
Mindala,0.862069%
Muguy,0.862069%
Marcatili,0.862069%
Maloney,0.862069%
Milani,0.862069%
Mirandola,0.862069%
Micronesia,0.862069%
Macaraeg,0.862069%
Mccall,0.862069%
Johnson,0.862069%
Jesus,0.862069%
Jimmy,0.862069%
Camara,0.862069%
Cruz,0.862069%
Cerna,0.862069%
Cook,0.862069%
Costelloe,0.862069%
Defngin,0.862069%
Daivis,0.862069%
Dacanay,0.862069%
Dowson,0.862069%
Vazquez,0.862069%
Edmond,0.862069%
Bouhila,0.862069%
Broome,0.862069%
Brickham,0.862069%
Baldwin,0.862069%
Bonnice,0.862069%
Board,0.862069%
Borconi,0.862069%
Kudler,0.862069%
Khan,0.862069%
Kara,0.862069%
Kdoe,0.862069%
Lambert,0.862069%
Locred,0.862069%
Logan,0.862069%
Patel,0.862069%
Parasail,0.862069%
Prenume,0.862069%
Platz,0.862069%
Pena,0.862069%
Pedrus,0.862069%
Ping,0.862069%
Poll,0.862069%
Perman,0.862069%
Wong,0.862069%
Welton,0.862069%
Welly,0.862069%
