LastName,Percentage
Gabon,0.620861%
Napala,0.579470%
Smith,0.538079%
Brown,0.496689%
Ondo,0.455298%
Obame,0.413907%
Williams,0.413907%
Baze,0.372517%
Ly,0.372517%
Odoua,0.331126%
Johnson,0.331126%
Nguema,0.289735%
Alexandre,0.289735%
Robinson,0.248344%
Ndong,0.248344%
Tonda,0.248344%
Miller,0.248344%
Jean,0.248344%
Benabdellah,0.248344%
Lewis,0.248344%
Nguyen,0.206954%
Ngoma,0.206954%
Sarl,0.206954%
Simon,0.206954%
Armel,0.206954%
Malonga,0.206954%
Mossot,0.206954%
Mba,0.206954%
Mounguengui,0.206954%
Jones,0.206954%
Jeff,0.206954%
Joseph,0.206954%
Dimitri,0.206954%
Davis,0.206954%
Koumba,0.206954%
Lionel,0.206954%
Wright,0.206954%
Wilson,0.206954%
Niang,0.165563%
Nelson,0.165563%
Gildas,0.165563%
Guy,0.165563%
Graff,0.165563%
Tchimina,0.165563%
Turner,0.165563%
Thompson,0.165563%
Alain,0.165563%
Allogho,0.165563%
Afrique,0.165563%
Ahmed,0.165563%
Mezui,0.165563%
Moussavou,0.165563%
Mitchell,0.165563%
Mombo,0.165563%
Martinez,0.165563%
Moore,0.165563%
Mccormick,0.165563%
Mambela,0.165563%
Mbany,0.165563%
Jackson,0.165563%
Eddy,0.165563%
Emry,0.165563%
Essono,0.165563%
Brice,0.165563%
Boussengui,0.165563%
Basma,0.165563%
Kouma,0.165563%
Koussema,0.165563%
Kiendrebeogo,0.165563%
Kelly,0.165563%
Kalule,0.165563%
Lebama,0.165563%
Lee,0.165563%
Lopez,0.165563%
Walker,0.165563%
Ndefi,0.124172%
Nze,0.124172%
Nguimbi,0.124172%
Gates,0.124172%
Gunn,0.124172%
Gibson,0.124172%
Gaetan,0.124172%
Trammell,0.124172%
Singletary,0.124172%
Soro,0.124172%
Schaal,0.124172%
Awanhet,0.124172%
Francis,0.124172%
Fowler,0.124172%
Franck,0.124172%
Orabank,0.124172%
Ogandaga,0.124172%
Owanga,0.124172%
Hermann,0.124172%
Muhammad,0.124172%
Michel,0.124172%
Mbina,0.124172%
Mamboundou,0.124172%
Mounziegou,0.124172%
Minlang,0.124172%
Milingui,0.124172%
Chapman,0.124172%
Charles,0.124172%
Diamoneka,0.124172%
Datondji,0.124172%
Valette,0.124172%
Eric,0.124172%
Etsine,0.124172%
Essonou,0.124172%
Basquin,0.124172%
Beyeni,0.124172%
Koumadi,0.124172%
Kim,0.124172%
Kevin,0.124172%
Leroueil,0.124172%
Patrice,0.124172%
Parfait,0.124172%
Pascal,0.124172%
Patrick,0.124172%
Willis,0.124172%
Wallace,0.124172%
White,0.124172%
Rick,0.082781%
Richardson,0.082781%
Reid,0.082781%
Roland,0.082781%
Ross,0.082781%
Rodrigue,0.082781%
Richard,0.082781%
Reteno,0.082781%
Roy,0.082781%
Robert,0.082781%
Rucker,0.082781%
Raasch,0.082781%
Rodgers,0.082781%
Informatic,0.082781%
Igamba,0.082781%
It,0.082781%
Inc,0.082781%
Iheb,0.082781%
Ivombo,0.082781%
Ikegwu,0.082781%
Ntoutoume,0.082781%
Nicole,0.082781%
Naser,0.082781%
Ndakissa,0.082781%
Neal,0.082781%
N-zamba,0.082781%
Nanoudjibe,0.082781%
Green,0.082781%
George,0.082781%
Gossadina,0.082781%
Gbamra,0.082781%
Godonou,0.082781%
Gregory,0.082781%
Todd,0.082781%
Thorpe,0.082781%
Tiguet,0.082781%
Stevens,0.082781%
Sankhare,0.082781%
Saturne,0.082781%
Steele,0.082781%
Sima,0.082781%
Standard,0.082781%
Sa,0.082781%
Sumbu,0.082781%
Subramaniam,0.082781%
Stephens,0.082781%
Safi,0.082781%
Steeve,0.082781%
Spinks,0.082781%
Scott,0.082781%
Serge,0.082781%
Anne,0.082781%
Aboue,0.082781%
Amadou,0.082781%
Aurore,0.082781%
Anguilet,0.082781%
Arsene,0.082781%
Abessolo,0.082781%
Arnaud,0.082781%
Adjora,0.082781%
Anderson,0.082781%
Andrew,0.082781%
Arnold,0.082781%
Akendengue,0.082781%
Ali,0.082781%
Ayi,0.082781%
Akagah,0.082781%
Anthony,0.082781%
Asseko,0.082781%
Allen,0.082781%
Fumanal,0.082781%
Foungues,0.082781%
Francois,0.082781%
Fernandes,0.082781%
Frederic,0.082781%
Ondimba,0.082781%
Oumou,0.082781%
Olagot,0.082781%
Ognane,0.082781%
Oumar,0.082781%
Obiang,0.082781%
Ongoua,0.082781%
Oliver,0.082781%
Henderson,0.082781%
Hotel,0.082781%
Hajaji,0.082781%
Hawkins,0.082781%
Horton,0.082781%
Hill,0.082781%
Herod,0.082781%
Hall,0.082781%
Harris,0.082781%
Harouna,0.082781%
Hutchison,0.082781%
Mouele,0.082781%
Murphy,0.082781%
Meyer,0.082781%
Mbele,0.082781%
Meunier,0.082781%
Marian,0.082781%
Mbongo,0.082781%
Marchal,0.082781%
Miles,0.082781%
Martin,0.082781%
Melvin,0.082781%
Mbadinga,0.082781%
Mason,0.082781%
Mamfoumbi-iwangou,0.082781%
Midi,0.082781%
Mayer,0.082781%
Mouanda,0.082781%
Mata,0.082781%
Mills,0.082781%
Massamba,0.082781%
Mining,0.082781%
Makita,0.082781%
Maria,0.082781%
Manganguela,0.082781%
Messani,0.082781%
Mediatick,0.082781%
Morgan,0.082781%
Joel,0.082781%
Jacob,0.082781%
Julien,0.082781%
John,0.082781%
Johnston,0.082781%
Jefferson,0.082781%
Clark,0.082781%
Campbell,0.082781%
Christ,0.082781%
Ceccaldi,0.082781%
Courrier,0.082781%
Cruz,0.082781%
Chen,0.082781%
Coleman,0.082781%
Cohen,0.082781%
Christian,0.082781%
Cooper,0.082781%
Daniel,0.082781%
Djeuking,0.082781%
Demba,0.082781%
Dzeukou,0.082781%
Daniell,0.082781%
Dulce,0.082781%
Vikpe,0.082781%
Edgard,0.082781%
Evrard,0.082781%
Ernest,0.082781%
Esthel,0.082781%
Elrayess,0.082781%
Eyang,0.082781%
Eurydice,0.082781%
Brock,0.082781%
Baker,0.082781%
Boatwright,0.082781%
Bennett,0.082781%
Bakar,0.082781%
Boge,0.082781%
Badinga,0.082781%
Boussougou,0.082781%
Bowen,0.082781%
Boukou,0.082781%
Boyd,0.082781%
Boudreaux,0.082781%
Boundamas,0.082781%
Brissi,0.082781%
Bernard,0.082781%
Biyoghe,0.082781%
Bougerol,0.082781%
Burnett,0.082781%
Borretti,0.082781%
Knight,0.082781%
Kirk,0.082781%
