LastName,Percentage
Charles,5.512735%
Joseph,4.431971%
Thomas,4.373324%
Williams,3.418231%
Noel,2.932306%
Lewis,2.873660%
John,2.756367%
Alexander,2.722855%
Francis,2.429625%
James,2.404491%
Phillip,2.345845%
Mitchell,2.303954%
George,1.993968%
Roberts,1.843164%
St,1.717493%
Mc,1.466153%
Baptiste,1.407507%
Sylvester,1.256702%
Edwards,1.256702%
Paul,1.139410%
Peters,1.105898%
Alexis,0.971850%
Smith,0.913204%
Simon,0.879692%
Samuel,0.879692%
Jones,0.854558%
Pierre,0.821046%
Antoine,0.770777%
Andrews,0.728887%
Benjamin,0.686997%
Henry,0.678619%
Frederick,0.628351%
Julien,0.586461%
Andrew,0.544571%
Johnson,0.511059%
David,0.502681%
Felix,0.485925%
Richards,0.460791%
Grenada,0.402145%
Douglas,0.402145%
Wilson,0.377011%
Gilbert,0.351877%
Telesford,0.351877%
Matthew,0.343499%
Bain,0.343499%
De,0.335121%
Bernard,0.293231%
Lawrence,0.268097%
Geo,0.251340%
Gordon,0.234584%
Augustine,0.234584%
La,0.217828%
Ross,0.209450%
Redhead,0.209450%
Fletcher,0.209450%
Gittens,0.201072%
Calliste,0.201072%
Neckles,0.192694%
Richard,0.175938%
Stewart,0.175938%
Fraser,0.175938%
Mark,0.175938%
Stephen,0.167560%
Bartholomew,0.167560%
Scott,0.159182%
Modeste,0.159182%
Brathwaite,0.159182%
Raymond,0.150804%
Steele,0.150804%
Daniel,0.150804%
Philbert,0.150804%
Romain,0.142426%
Hosten,0.142426%
Clement,0.142426%
Phillips,0.142426%
Duncan,0.134048%
Davis,0.134048%
Barry,0.134048%
Belfon,0.134048%
Pascal,0.134048%
Grant,0.125670%
Francique,0.117292%
Horsford,0.117292%
Matheson,0.117292%
Bruno,0.117292%
Regis,0.108914%
Nicholas,0.108914%
Gibbs,0.108914%
Stiell,0.108914%
Andall,0.108914%
Moore,0.108914%
Morain,0.108914%
Bowen,0.108914%
Worme,0.108914%
Richardson,0.100536%
Robinson,0.100536%
Theodore,0.100536%
Ollivierre,0.100536%
Campbell,0.100536%
Catholic,0.100536%
Cox,0.100536%
Quashie,0.100536%
Ettienne,0.100536%
Bishop,0.100536%
Bullen,0.100536%
Lessey,0.100536%
Lord,0.100536%
Pivott,0.100536%
Nelson,0.092158%
Thompson,0.092158%
Stuart,0.092158%
Ferguson,0.092158%
Munro,0.092158%
Marshall,0.092158%
Jeremiah,0.092158%
Childs,0.092158%
Boatswain,0.092158%
Bailey,0.092158%
Lambert,0.092158%
Parke,0.092158%
Primus,0.092158%
Walker,0.092158%
Nyack,0.083780%
Griffith,0.083780%
Taylor,0.083780%
Seales,0.083780%
Frank,0.083780%
Moses,0.083780%
Coutain,0.083780%
Granger,0.075402%
The,0.075402%
Francois,0.075402%
Forsyth,0.075402%
Hagley,0.075402%
Marryshow,0.075402%
Morris,0.075402%
Collins,0.075402%
Vincent,0.075402%
Benoit,0.075402%
Layne,0.075402%
Langdon,0.075402%
Langaigne,0.075402%
Parris,0.075402%
Prince,0.075402%
Purcell,0.075402%
Welsh,0.075402%
Newton,0.067024%
Gibson,0.067024%
Swan,0.067024%
Sandy,0.067024%
Ashby,0.067024%
Mason,0.067024%
Cadore,0.067024%
Clyne,0.067024%
Da,0.067024%
Dolland,0.067024%
Bhola,0.067024%
Brown,0.067024%
Bolah,0.067024%
Keens-douglas,0.067024%
Li,0.067024%
Wade,0.067024%
Isaac,0.058646%
Nedd,0.058646%
Gill,0.058646%
Stafford,0.058646%
Spice,0.058646%
Smart,0.058646%
Sylvan,0.058646%
Fleming,0.058646%
Fortune,0.058646%
Forrester,0.058646%
First,0.058646%
Olive,0.058646%
Hypolite,0.058646%
Hall,0.058646%
Hutchinson,0.058646%
Harris,0.058646%
Matthews,0.058646%
Cyrus,0.058646%
Clouden,0.058646%
Christopher,0.058646%
Darbeau,0.058646%
Elahie,0.058646%
Kirton,0.058646%
Lendore,0.058646%
Louison,0.058646%
Whiteman,0.058646%
Ray,0.050268%
Rennie,0.050268%
Renwick,0.050268%
Radix,0.050268%
Gabriel,0.050268%
Toussaint,0.050268%
Scoon,0.050268%
Solomon,0.050268%
South,0.050268%
Sayers,0.050268%
Fleary,0.050268%
Flanders,0.050268%
Otway,0.050268%
Hastick,0.050268%
Hadeed,0.050268%
Hunte,0.050268%
Hazzard,0.050268%
Marrast,0.050268%
Martin,0.050268%
Mapp,0.050268%
Compton,0.050268%
Clovey,0.050268%
Crosby,0.050268%
Clarke,0.050268%
Dick,0.050268%
Vena,0.050268%
Baisden,0.050268%
Browne,0.050268%
Bell,0.050268%
Buckmire,0.050268%
Bethel,0.050268%
Britton,0.050268%
Bascombe,0.050268%
Budd,0.050268%
Lin,0.050268%
Pitt,0.050268%
Patrick,0.050268%
William,0.050268%
Waldron,0.050268%
Robertson,0.041890%
Ramdeen,0.041890%
Rapier,0.041890%
Niles,0.041890%
Garraway,0.041890%
Gunpot,0.041890%
Ganpot,0.041890%
Slinger,0.041890%
Strachan,0.041890%
Fullerton,0.041890%
Franklyn,0.041890%
Ogilvie,0.041890%
Oluonye,0.041890%
Hopkin,0.041890%
Hillaire,0.041890%
Hood,0.041890%
Harford,0.041890%
Holder,0.041890%
Hamilton,0.041890%
Herry,0.041890%
Murray,0.041890%
Millette,0.041890%
Mahon,0.041890%
Jerome,0.041890%
Cornwall,0.041890%
Cato,0.041890%
Chasteau,0.041890%
Cummings,0.041890%
Cadet,0.041890%
Clico,0.041890%
Copland,0.041890%
Dubissette,0.041890%
Dumont,0.041890%
Victor,0.041890%
Evans,0.041890%
Burke,0.041890%
Best,0.041890%
King,0.041890%
Logan,0.041890%
Palmer,0.041890%
Pilgrim,0.041890%
Patterson,0.041890%
Wilkinson,0.041890%
Raeburn,0.033512%
Rodd,0.033512%
Rodrigo,0.033512%
Reuben,0.033512%
Nurse,0.033512%
Glean,0.033512%
Gellineau,0.033512%
Gulston,0.033512%
Tyson,0.033512%
Touche,0.033512%
Thorne,0.033512%
Sealey,0.033512%
Simpson,0.033512%
Amarnani,0.033512%
Archibald,0.033512%
Adams,0.033512%
Arnold,0.033512%
Farray,0.033512%
Flemming,0.033512%
Oliver,0.033512%
Hector,0.033512%
Haeberling,0.033512%
Hoschtialek,0.033512%
Montague,0.033512%
Miller,0.033512%
Mathlin,0.033512%
Marcelle,0.033512%
Jacob,0.033512%
Jacobs,0.033512%
Jordan,0.033512%
Coteau,0.033512%
Carl,0.033512%
Croney,0.033512%
Dottin,0.033512%
Dutton,0.033512%
Dabreo,0.033512%
Daddy,0.033512%
Drake,0.033512%
Ventour,0.033512%
Emmons,0.033512%
Beharry,0.033512%
Blair,0.033512%
Blackman,0.033512%
Byer,0.033512%
Braveboy,0.033512%
Kennedy,0.033512%
Karnani,0.033512%
Lashley,0.033512%
Lander,0.033512%
Lyons,0.033512%
Licorish,0.033512%
Lovely,0.033512%
Legal,0.033512%
Patrice,0.033512%
Plentie,0.033512%
Pascall,0.033512%
Parkes,0.033512%
Pope,0.033512%
Penny,0.033512%
Perrotte,0.033512%
Wiltshire,0.033512%
Webster,0.033512%
Wardally,0.033512%
Rock,0.025134%
Ruffin,0.025134%
Rose,0.025134%
Roderique,0.025134%
Issac,0.025134%
Ince,0.025134%
Isaacs,0.025134%
Nash,0.025134%
Greasley,0.025134%
Green,0.025134%
Greaves,0.025134%
Goldhill,0.025134%
Greenidge,0.025134%
Grey,0.025134%
Gangadeen,0.025134%
Graham,0.025134%
Gooding,0.025134%
Thornhill,0.025134%
Twum-barimah,0.025134%
Taitt,0.025134%
Sullivan,0.025134%
Spronk,0.025134%
Stanislaus,0.025134%
Shade,0.025134%
Simeon,0.025134%
Spooner,0.025134%
Stroude,0.025134%
Swann,0.025134%
Searles,0.025134%
Ashton,0.025134%
Allen,0.025134%
Forteau,0.025134%
Forde,0.025134%
Holmes,0.025134%
Haywood,0.025134%
Hackett,0.025134%
Harbin,0.025134%
Herrmann,0.025134%
Hinds,0.025134%
Holas,0.025134%
Marecheau,0.025134%
Mains,0.025134%
Millet,0.025134%
Mendes,0.025134%
Medford,0.025134%
Jules,0.025134%
Jaffier,0.025134%
Japal,0.025134%
Jeffrey,0.025134%
Cuffie,0.025134%
Celestine,0.025134%
Caribbean,0.025134%
Carter,0.025134%
Caesar,0.025134%
Chitan,0.025134%
Cumberbatch,0.025134%
Donald,0.025134%
Dhannie,0.025134%
Du,0.025134%
Dragon,0.025134%
Dowden,0.025134%
Davidson,0.025134%
Venezuelan,0.025134%
Viechweg,0.025134%
Vazquez,0.025134%
Vesprey,0.025134%
Erichsen-davis,0.025134%
Belgrave,0.025134%
Bhagwan,0.025134%
Bonaparte,0.025134%
Burris,0.025134%
Branch,0.025134%
Brizan,0.025134%
Budhlall,0.025134%
Batihk,0.025134%
Bernadine,0.025134%
Bibby,0.025134%
Blake,0.025134%
Baron,0.025134%
Batson,0.025134%
British,0.025134%
Lang,0.025134%
Lucas,0.025134%
Louis,0.025134%
Yohannan,0.025134%
Panchoo,0.025134%
Punch,0.025134%
Powlette,0.025134%
Post,0.025134%
Potter,0.025134%
Peter,0.025134%
Payne,0.025134%
Pirela,0.025134%
Wright,0.025134%
Wells,0.025134%
Wharwood,0.025134%
Wadhwani,0.025134%
Wildman,0.025134%
Worrall,0.025134%
Roden,0.016756%
Ramdhanny,0.016756%
Rome,0.016756%
Ranger,0.016756%
Rajwant,0.016756%
Roman,0.016756%
Ramirez,0.016756%
Raeburn-lewis,0.016756%
Roache,0.016756%
Rogers,0.016756%
Rocafort,0.016756%
Rye,0.016756%
Ragbasingh,0.016756%
Ragbesingh,0.016756%
Robert,0.016756%
Roderick,0.016756%
Rahaman,0.016756%
Insight,0.016756%
Nichols,0.016756%
New,0.016756%
Nesfield,0.016756%
Grenadian,0.016756%
Gludd,0.016756%
Gay,0.016756%
Guillaume,0.016756%
George-francis,0.016756%
Grappy,0.016756%
Gezelius,0.016756%
Greene,0.016756%
Ganness,0.016756%
Ghatt,0.016756%
Gairy,0.016756%
Glasson,0.016756%
Guadeloupe,0.016756%
Gooding-sylvester,0.016756%
Zhang,0.016756%
Tomlin,0.016756%
Tod,0.016756%
Todd,0.016756%
Teague,0.016756%
Tweed,0.016756%
Treasure-garwood,0.016756%
Turan,0.016756%
Tawfiq,0.016756%
Thelfa,0.016756%
Tingling,0.016756%
Teachers,0.016756%
Tannis,0.016756%
Tropical,0.016756%
Sutherland,0.016756%
Schaller-willcox,0.016756%
Seon,0.016756%
Shen,0.016756%
Slocombe,0.016756%
Sorace,0.016756%
Straker,0.016756%
Sharpe,0.016756%
Sawney,0.016756%
Sanderson,0.016756%
Springle,0.016756%
Sargeant,0.016756%
Singh,0.016756%
Shears,0.016756%
Sinclair,0.016756%
Anglican,0.016756%
Art,0.016756%
Ancilotto,0.016756%
Ambrose,0.016756%
Alexander-noel,0.016756%
American,0.016756%
Frame,0.016756%
Faure,0.016756%
Forbes,0.016756%
Finlay,0.016756%
Federal,0.016756%
Flamboyant,0.016756%
Frazer,0.016756%
Office,0.016756%
Orlando,0.016756%
Orgias,0.016756%
Odili,0.016756%
Odle,0.016756%
O-neale,0.016756%
Honore,0.016756%
Hadley,0.016756%
Helgerson,0.016756%
Haynes,0.016756%
Henwood,0.016756%
Houston,0.016756%
Husbands,0.016756%
Hamid,0.016756%
Hamlet,0.016756%
Housing,0.016756%
Harewood,0.016756%
Heyliger,0.016756%
Hayes,0.016756%
Hayes-gittens,0.016756%
Hossle,0.016756%
Hu,0.016756%
Henry-mc,0.016756%
Hallal,0.016756%
Humphrey,0.016756%
Halley,0.016756%
Mckenzie,0.016756%
Mignon,0.016756%
Mitchell-cummings,0.016756%
Martineau,0.016756%
Mcintyre-campbell,0.016756%
Millar,0.016756%
Meltzer-bonnefond,0.016756%
Maturine,0.016756%
Morin,0.016756%
Minors,0.016756%
Maricheau,0.016756%
Mcintosh,0.016756%
Mohammed,0.016756%
Marriott,0.016756%
Mobile,0.016756%
Maitland,0.016756%
Mitchell-prime,0.016756%
Johnson-smith,0.016756%
Jaldoo,0.016756%
Jadrosich,0.016756%
Jawahir,0.016756%
Jian,0.016756%
Jarman-price,0.016756%
Jeffery,0.016756%
Juerakhan,0.016756%
Calder,0.016756%
Chamarthy,0.016756%
Cobb,0.016756%
Collymore,0.016756%
Casear,0.016756%
Cameron,0.016756%
Chase,0.016756%
Chitterman,0.016756%
Chen,0.016756%
Callica,0.016756%
Curry,0.016756%
Cuenoud,0.016756%
Crawford,0.016756%
Calabash,0.016756%
Canning,0.016756%
Cruickshank,0.016756%
Crosdale,0.016756%
Carmelite,0.016756%
Christie,0.016756%
Caton,0.016756%
Church,0.016756%
Capital,0.016756%
Chao,0.016756%
City,0.016756%
Durgampudi,0.016756%
Dennis,0.016756%
Dominican,0.016756%
Decaul,0.016756%
Degale,0.016756%
Demerara,0.016756%
Dubisette,0.016756%
Debellotte,0.016756%
Delves,0.016756%
Downes,0.016756%
Deane,0.016756%
Delfish,0.016756%
Dickson,0.016756%
Desouza,0.016756%
Dathorne,0.016756%
Date,0.016756%
Dubben,0.016756%
Veillard,0.016756%
Quamina,0.016756%
Edgar,0.016756%
English,0.016756%
Evelyn,0.016756%
Erichsen,0.016756%
Edmund,0.016756%
Embassy,0.016756%
Edgehill,0.016756%
Brooks-smith,0.016756%
Benton,0.016756%
Bissessar,0.016756%
Burdick,0.016756%
Borroughs,0.016756%
Bristol,0.016756%
Belmar,0.016756%
Belle,0.016756%
Bruin,0.016756%
Barnard,0.016756%
Bertrand,0.016756%
Baldeau,0.016756%
Bubb,0.016756%
Bayne,0.016756%
Breo,0.016756%
Bright,0.016756%
Boney,0.016756%
Beaumont,0.016756%
Blue,0.016756%
Blyth,0.016756%
Beggs,0.016756%
Bernardo,0.016756%
Blanco,0.016756%
Bourne,0.016756%
Keith,0.016756%
Knight,0.016756%
Kelly,0.016756%
Knox,0.016756%
Kirkpatrick,0.016756%
Karibbean,0.016756%
Knights,0.016756%
Latouche,0.016756%
Law,0.016756%
Lumsden,0.016756%
Ledlow,0.016756%
Lowell,0.016756%
Lett,0.016756%
Lennon,0.016756%
Laflamme,0.016756%
Yearwood,0.016756%
York,0.016756%
Pancho,0.016756%
Pouchet,0.016756%
Paryag,0.016756%
Persaud,0.016756%
Peyer,0.016756%
Preudhomme,0.016756%
Pasquini,0.016756%
Peterson,0.016756%
Philip,0.016756%
Pensick,0.016756%
Prickly,0.016756%
Pannell,0.016756%
Paterson,0.016756%
Walther,0.016756%
West,0.016756%
Whint,0.016756%
Winsborrow,0.016756%
Wilmott,0.016756%
Wilma,0.016756%
Welch,0.016756%
Wickham,0.016756%
Wolf,0.016756%
Wallace,0.016756%
Wesley,0.016756%
Walters,0.016756%
Warrick,0.016756%
Wellinton,0.016756%
Ramsey,0.008378%
Reid,0.008378%
Reyes,0.008378%
Rommane,0.008378%
Raphael,0.008378%
Roote,0.008378%
Ryan,0.008378%
Risko,0.008378%
Rabani,0.008378%
Russo,0.008378%
Rocastle,0.008378%
Rudolph,0.008378%
Radgman,0.008378%
Rennie-john,0.008378%
Reason,0.008378%
Rosanne,0.008378%
Resbert,0.008378%
Roach,0.008378%
Russell,0.008378%
Ronan,0.008378%
Redhead-williams,0.008378%
Ryanka,0.008378%
Rajaram-gilkes,0.008378%
Ragbersingh,0.008378%
Richmond,0.008378%
Rafferty,0.008378%
Reece,0.008378%
Rowley,0.008378%
Renwick-pascall,0.008378%
Rush,0.008378%
Rodney,0.008378%
Rawlins,0.008378%
Rosary,0.008378%
Rongjing,0.008378%
