LastName,Percentage
Smith,0.325733%
Beridze,0.316685%
Kapanadze,0.316685%
Giorgadze,0.307637%
Maisuradze,0.307637%
Gelashvili,0.289540%
Dolidze,0.244300%
Gvazava,0.226203%
Abramishvili,0.208107%
Jones,0.208107%
Abashidze,0.199059%
Aptsiauri,0.190011%
Johnson,0.190011%
Rukhadze,0.180963%
Revazishvili,0.180963%
Georgia,0.180963%
Avaliani,0.180963%
Chkheidze,0.180963%
Meladze,0.171915%
Kereselidze,0.171915%
Kvaratskhelia,0.171915%
Tsertsvadze,0.162866%
Asatiani,0.162866%
Llc,0.162866%
Lomidze,0.162866%
Shengelia,0.153818%
Nadiradze,0.144770%
Zedginidze,0.144770%
Tsilosani,0.144770%
Davis,0.144770%
Tabatadze,0.135722%
Abuladze,0.135722%
Chkhaidze,0.135722%
Kalatozishvili,0.135722%
Williams,0.135722%
Sichinava,0.126674%
Makatsaria,0.126674%
Mchedlishvili,0.126674%
Janelidze,0.126674%
Davitashvili,0.126674%
Kurdadze,0.126674%
Pirtskhalava,0.126674%
Gogoladze,0.117626%
Gigineishvili,0.117626%
Gurgenidze,0.117626%
Bakradze,0.117626%
Koridze,0.117626%
Ltd,0.117626%
White,0.117626%
Ibanga,0.108578%
Imerlishvili,0.108578%
Narimanidze,0.108578%
Nozadze,0.108578%
Tsiklauri,0.108578%
Tsintsadze,0.108578%
Abesadze,0.108578%
Hall,0.108578%
Matcharashvili,0.108578%
Jackson,0.108578%
Janashvili,0.108578%
Dvaladze,0.108578%
Brown,0.108578%
Bortsvadze,0.108578%
Kakabadze,0.108578%
Kublashvili,0.108578%
Kiknadze,0.108578%
Rostiashvili,0.099529%
Zhvania,0.099529%
Tkeshelashvili,0.099529%
Taylor,0.099529%
Tavadze,0.099529%
Samkharadze,0.099529%
Sanikidze,0.099529%
Siradze,0.099529%
Chikhladze,0.099529%
Berishvili,0.099529%
Barbakadze,0.099529%
Khachidze,0.099529%
Lomsadze,0.099529%
Nakashidze,0.090481%
Gogiberidze,0.090481%
Gagnidze,0.090481%
Gvasalia,0.090481%
Gachechiladze,0.090481%
Todua,0.090481%
Tateshvili,0.090481%
Tsabadze,0.090481%
Sikharulidze,0.090481%
Anderson,0.090481%
Mikadze,0.090481%
Moore,0.090481%
Japaridze,0.090481%
Chubinidze,0.090481%
Chelidze,0.090481%
Devdariani,0.090481%
Khizanishvili,0.090481%
Kipiani,0.090481%
Kiladze,0.090481%
Liparteliani,0.090481%
Lipartia,0.090481%
Lomitashvili,0.090481%
Wilson,0.090481%
Rostomashvili,0.081433%
Rusia,0.081433%
Gigauri,0.081433%
Grigalashvili,0.081433%
Grdzelishvili,0.081433%
Goradze,0.081433%
Grigolia,0.081433%
Gamkrelidze,0.081433%
Gabunia,0.081433%
Thomas,0.081433%
Tchkonia,0.081433%
Teliashvili,0.081433%
Tevzadze,0.081433%
Shalamberidze,0.081433%
Miqadze,0.081433%
Metreveli,0.081433%
Modebadze,0.081433%
Jashi,0.081433%
Jangulashvili,0.081433%
Carter,0.081433%
Davituliani,0.081433%
Danelia,0.081433%
David,0.081433%
Dvali,0.081433%
Vashakidze,0.081433%
Beradze,0.081433%
Kokhreidze,0.081433%
Kavtaradze,0.081433%
Kajaia,0.081433%
Kochiashvili,0.081433%
Khomeriki,0.081433%
Lee,0.081433%
Young,0.081433%
Ramishvili,0.072385%
Razmadze,0.072385%
Nanskani,0.072385%
Natroshvili,0.072385%
Nadareishvili,0.072385%
Gogia,0.072385%
Gotsiridze,0.072385%
Gabisonia,0.072385%
Zaridze,0.072385%
Tomashvili,0.072385%
Tskhovrebashvili,0.072385%
Tsaava,0.072385%
Simonyan,0.072385%
Shanidze,0.072385%
Arevadze,0.072385%
Archvadze,0.072385%
Arveladze,0.072385%
Asanishvili,0.072385%
Omiadze,0.072385%
Hill,0.072385%
Macharashvili,0.072385%
Machavariani,0.072385%
Mikava,0.072385%
Mikeladze,0.072385%
Janiashvili,0.072385%
Chkhikvadze,0.072385%
Chalagashvili,0.072385%
Evans,0.072385%
Baramidze,0.072385%
Begizashvili,0.072385%
Katamadze,0.072385%
Kalandadze,0.072385%
Kobakhidze,0.072385%
Kobiashvili,0.072385%
King,0.072385%
Kekelidze,0.072385%
Kvavilashvili,0.072385%
Papuashvili,0.072385%
Petriashvili,0.072385%
Pavliashvili,0.072385%
Robakidze,0.063337%
Ioseliani,0.063337%
