LastName,Percentage
Guyane,1.190476%
Thierry,1.020408%
Philippe,1.020408%
Patrick,1.020408%
Sarl,0.850340%
Anne,0.850340%
Eric,0.850340%
Thomas,0.680272%
Alexander,0.680272%
Harrous,0.680272%
Jean,0.680272%
Barolo,0.680272%
Reboul,0.510204%
Nicolas,0.510204%
Fernand,0.510204%
Oyana,0.510204%
Ouedraogo,0.510204%
Chauleau,0.510204%
Christian,0.510204%
Charles,0.510204%
Christophe,0.510204%
Bourianne,0.510204%
Bejuy,0.510204%
Langlat,0.510204%
Pierre,0.510204%
Ray,0.340136%
Romain,0.340136%
Richefond,0.340136%
Informatique,0.340136%
Isabelle,0.340136%
Noel,0.340136%
Guin,0.340136%
Gilles,0.340136%
Govindin,0.340136%
Tomagno,0.340136%
Technique,0.340136%
Tiffanie,0.340136%
Tartarin,0.340136%
Smetankine,0.340136%
Sylvie,0.340136%
Sylvio,0.340136%
Stephenson,0.340136%
Antonio,0.340136%
Arnaud,0.340136%
Anatole,0.340136%
Frederic,0.340136%
Othily,0.340136%
Orlando,0.340136%
Hugo,0.340136%
Huisman,0.340136%
Maurice,0.340136%
Michel,0.340136%
Martinez,0.340136%
Madere,0.340136%
Madrid,0.340136%
Joanan,0.340136%
Joyeux,0.340136%
Julien,0.340136%
Jessica,0.340136%
Jonathan,0.340136%
Chateau,0.340136%
Didot,0.340136%
Dorville,0.340136%
Dutheau,0.340136%
Vaiti,0.340136%
Vaude,0.340136%
Vincent,0.340136%
Elves,0.340136%
Ewlyne,0.340136%
Bleu,0.340136%
Bertrand,0.340136%
Byron,0.340136%
Blanco,0.340136%
Kethlyn,0.340136%
Kevin,0.340136%
Loitiere,0.340136%
Lostec,0.340136%
Lucenay,0.340136%
Loic,0.340136%
Lafrontiere,0.340136%
Louis,0.340136%
Laurent,0.340136%
Yannick,0.340136%
Yann,0.340136%
Paul,0.340136%
Rouffie,0.170068%
Roland,0.170068%
Ramon,0.170068%
Rocher,0.170068%
Regina,0.170068%
Roseline,0.170068%
Ratodisoa,0.170068%
Rodriguez,0.170068%
Richard,0.170068%
Rus,0.170068%
Ronsin,0.170068%
Raymond,0.170068%
Rosa,0.170068%
Robin,0.170068%
Ramlakhan,0.170068%
Rascar,0.170068%
Ralph,0.170068%
Ryon,0.170068%
Regionaldelasanteenguyane,0.170068%
Ueuchi,0.170068%
Isaias,0.170068%
Innoza,0.170068%
Ivan,0.170068%
It,0.170068%
Immo,0.170068%
Nicole,0.170068%
Nezot,0.170068%
Nestile,0.170068%
Nfi,0.170068%
Noe,0.170068%
Nalovic,0.170068%
Nuren,0.170068%
Nathaniel,0.170068%
Nadine,0.170068%
Noula,0.170068%
Nen,0.170068%
Nugent,0.170068%
Gilbert,0.170068%
Gaillou,0.170068%
Guillaume,0.170068%
Girondin,0.170068%
Gerard,0.170068%
Greene,0.170068%
Galland,0.170068%
Geromini,0.170068%
Guedon,0.170068%
Gal,0.170068%
Gonidou,0.170068%
Golds,0.170068%
Gomez,0.170068%
Gregoire,0.170068%
Gabi,0.170068%
