LastName,Percentage
Mensah,1.231392%
Owusu,0.746426%
Boateng,0.712689%
Ansah,0.632564%
Appiah,0.615696%
Ghana,0.598828%
Addo,0.535571%
Adjei,0.501834%
Asare,0.497617%
Osei,0.455446%
Tetteh,0.417493%
Ofori,0.417493%
Opoku,0.404841%
Yeboah,0.392190%
Asante,0.371104%
Arthur,0.350019%
Frimpong,0.350019%
Antwi,0.324716%
Amoah,0.312065%
Emmanuel,0.312065%
Asamoah,0.303631%
Annan,0.303631%
Ltd,0.295197%
Acquah,0.274111%
Okyere,0.274111%
Agyei,0.253026%
Hammond,0.253026%
Acheampong,0.244592%
Darko,0.244592%
Williams,0.227723%
Nkansah,0.223506%
Mohammed,0.219289%
Daniel,0.219289%
Danso,0.215072%
Quaye,0.210855%
Otoo,0.206638%
Cudjoe,0.206638%
Amoako,0.202421%
Oppong,0.198204%
Eshun,0.198204%
Nana,0.193986%
Kwame,0.193986%
Aboagye,0.189769%
Donkor,0.185552%
Inc,0.181335%
Sam,0.181335%
Sarpong,0.181335%
Amponsah,0.177118%
Asiedu,0.177118%
Baah,0.177118%
Laryea,0.177118%
Lartey,0.172901%
Adu,0.168684%
Isaac,0.164467%
Akoto,0.164467%
Ampofo,0.164467%
Agyemang,0.164467%
Armah,0.164467%
Gh,0.160250%
Aidoo,0.160250%
Agyeman,0.160250%
Boakye,0.160250%
Lamptey,0.160250%
Richard,0.156033%
Kumah,0.156033%
Tagoe,0.151815%
Nyarko,0.147598%
Aryee,0.147598%
Adusei,0.147598%
Oduro,0.147598%
Koomson,0.147598%
Nartey,0.143381%
Africa,0.143381%
Obeng,0.143381%
Hagan,0.143381%
Quansah,0.143381%
Brown,0.143381%
Ibrahim,0.139164%
Adams,0.139164%
Kofi,0.139164%
Yaw,0.139164%
Gyamfi,0.134947%
Allotey,0.134947%
Anderson,0.134947%
Forson,0.134947%
Quartey,0.134947%
Quarshie,0.134947%
Larbi,0.134947%
John,0.130730%
Debrah,0.130730%
Smith,0.126513%
Tettey,0.122296%
Arhin,0.122296%
Ackah,0.122296%
Felix,0.122296%
David,0.122296%
Duah,0.122296%
Bonsu,0.122296%
Kyei,0.122296%
Stephen,0.118079%
Jones,0.118079%
Wilson,0.118079%
Samuel,0.113862%
Abbey,0.113862%
Amankwah,0.113862%
Offei,0.113862%
Joseph,0.113862%
Dodoo,0.113862%
Prince,0.113862%
Akore,0.109644%
Michael,0.109644%
Jnr,0.109644%
Evans,0.109644%
Nkrumah,0.105427%
Anim,0.105427%
Fosu,0.105427%
Johnson,0.105427%
Danquah,0.105427%
Kissi,0.105427%
Kwakye,0.105427%
Annor,0.101210%
Bediako,0.101210%
Nortey,0.096993%
Gyan,0.096993%
Ankrah,0.096993%
Ayitey,0.096993%
Asiamah,0.096993%
Ackom,0.096993%
Ali,0.096993%
Alhassan,0.096993%
Okai,0.096993%
Odoom,0.096993%
James,0.096993%
Biney,0.096993%
Kojo,0.096993%
Nii,0.092776%
Twum,0.092776%
Thompson,0.092776%
Sackey,0.092776%
Fokuo,0.092776%
Ofosu,0.092776%
Manu,0.092776%
Ebenezer,0.092776%
Baffour,0.092776%
George,0.088559%
Sarfo,0.088559%
Addae,0.088559%
Akuffo,0.088559%
Hesse,0.088559%
Marfo,0.088559%
Ernest,0.088559%
Benjamin,0.088559%
Twumasi,0.084342%
Takyi,0.084342%
Turkson,0.084342%
Sekyere,0.084342%
Ababio,0.084342%
Abubakar,0.084342%
Afful,0.084342%
Henry,0.084342%
Mantey,0.084342%
Quao,0.084342%
Baidoo,0.084342%
Kumi,0.084342%
Sundiata,0.080125%
Sagoe,0.080125%
Addai,0.080125%
Adoko,0.080125%
Amissah,0.080125%
Ackon,0.080125%
Ansong,0.080125%
Agyapong,0.080125%
Odonkor,0.080125%
Owusu-ansah,0.080125%
Cofie,0.080125%
Coffie,0.080125%
Kwarteng,0.080125%
King,0.080125%
Global,0.075908%
Tech,0.075908%
Taylor,0.075908%
Ankomah,0.075908%
Ampadu,0.075908%
Abakah,0.075908%
Anane,0.075908%
Adam,0.075908%
Hanson,0.075908%
Hayford,0.075908%
Charles,0.075908%
Duodu,0.075908%
Eric,0.075908%
Botchway,0.075908%
Poku,0.075908%
William,0.075908%
Wiafe,0.075908%
Gyimah,0.071691%
Tamakloe,0.071691%
Sowah,0.071691%
Aryeetey,0.071691%
Awuah,0.071691%
Ahmed,0.071691%
Foli,0.071691%
Otchere,0.071691%
Oware,0.071691%
Martey,0.071691%
Mills,0.071691%
Daniels,0.071691%
Essilfie,0.071691%
Bamfo,0.071691%
Issah,0.067474%
Neequaye,0.067474%
Gyasi,0.067474%
Gah,0.067474%
Tawiah,0.067474%
Solomon,0.067474%
Awuku,0.067474%
Afriyie,0.067474%
Adu-asare,0.067474%
Amuzu,0.067474%
Agyekum,0.067474%
Francis,0.067474%
Freeman,0.067474%
Frank,0.067474%
Ocloo,0.067474%
Media,0.067474%
Dadzie,0.067474%
Vandersein,0.067474%
Bentil,0.067474%
Kwabena,0.067474%
Yakubu,0.067474%
Nsiah,0.063256%
Ntiamoah,0.063256%
Siaw,0.063256%
Seidu,0.063256%
Akrong,0.063256%
Fawale,0.063256%
Fordjour,0.063256%
Opare,0.063256%
Duxx,0.063256%
Dadson,0.063256%
Botwe,0.063256%
Boadi,0.063256%
Bernard,0.063256%
Kwofie,0.063256%
Abdul,0.059039%
Atta,0.059039%
Attah,0.059039%
Oteng,0.059039%
Odame,0.059039%
Onovwiona,0.059039%
Hunpevi,0.059039%
Mends,0.059039%
Cole,0.059039%
Darkwah,0.059039%
Davis,0.059039%
Victor,0.059039%
Enene,0.059039%
Boamah,0.059039%
Blay,0.059039%
Kusi,0.059039%
Kweku,0.059039%
Kpodo,0.059039%
Lawson,0.059039%
Puplampu,0.059039%
Wiredu,0.059039%
Issaka,0.054822%
Iddrisu,0.054822%
Ghansah,0.054822%
Gabriel,0.054822%
Tandoh,0.054822%
Sakyi,0.054822%
Andoh,0.054822%
