LastName,Percentage
Jensen,1.727116%
Petersen,1.208981%
Andersen,1.036269%
Hansen,1.036269%
Davidsen,1.036269%
Lyberth,1.036269%
Pedersen,1.036269%
Nielsen,0.863558%
Olsen,0.863558%
Zeeb,0.690846%
Soerensen,0.690846%
Mikaelsen,0.690846%
Motzfeldt,0.690846%
Motzfeldt-skovgaard,0.690846%
Christensen,0.690846%
Lynge,0.690846%
Larsen,0.690846%
Sivertsen,0.518135%
Fleischer,0.518135%
Feldmann,0.518135%
Harke,0.518135%
Moeller,0.518135%
Mathiassen,0.518135%
Jeppson,0.518135%
Johansen,0.518135%
Joergensen,0.518135%
Caquineau,0.518135%
Claus,0.518135%
Petrussen,0.518135%
Rodriguez,0.345423%
Rosing,0.345423%
Geisler,0.345423%
Geraae,0.345423%
Gammelager,0.345423%
Thomassen,0.345423%
Torp,0.345423%
Terbang,0.345423%
Toft,0.345423%
Svenningsen,0.345423%
Sorensen,0.345423%
Aps,0.345423%
Frederiksen,0.345423%
Fuchs,0.345423%
Ottosen,0.345423%
Hans,0.345423%
Heuvel,0.345423%
Holm,0.345423%
Hertig,0.345423%
Hyldgaard,0.345423%
Jeremiassen,0.345423%
Christiansen,0.345423%
Visser,0.345423%
Egede,0.345423%
Enoksen,0.345423%
Bym,0.345423%
Burnett,0.345423%
Kjaerulff,0.345423%
Kristensen,0.345423%
Krogh,0.345423%
Kreutzmann,0.345423%
Kleist,0.345423%
Lings,0.345423%
Lund,0.345423%
Lind,0.345423%
Partner,0.345423%
Wageningen,0.345423%
Rocha,0.172712%
Rivera,0.172712%
Rendal,0.172712%
Ringnalda,0.172712%
Ritter,0.172712%
Renouard,0.172712%
Regin,0.172712%
Rondeel,0.172712%
Rasmussen,0.172712%
Reb,0.172712%
Rutte,0.172712%
Reese,0.172712%
Rrustemi,0.172712%
Ree,0.172712%
Rosenberg,0.172712%
Reffeldtotte,0.172712%
Raeones,0.172712%
Randles,0.172712%
Ujuut,0.172712%
Uppelschoten,0.172712%
Iversen,0.172712%
It,0.172712%
Inusugtok,0.172712%
Images,0.172712%
Nohr,0.172712%
Nieborg,0.172712%
Nordstroem,0.172712%
Nfe,0.172712%
Na,0.172712%
Neess,0.172712%
Nrn,0.172712%
Njs,0.172712%
Nieuwenhuis,0.172712%
Natur,0.172712%
Niemann,0.172712%
Nnrn,0.172712%
Noer,0.172712%
Goulding,0.172712%
Gonnsen,0.172712%
Gerrese,0.172712%
Geest,0.172712%
Guerrero,0.172712%
Grikinis,0.172712%
Guldager,0.172712%
Giroldi,0.172712%
Gombert,0.172712%
Geelen,0.172712%
Gooiker,0.172712%
Goliathsen,0.172712%
Ghorbani,0.172712%
Galloway,0.172712%
Groedem,0.172712%
Gundel,0.172712%
Groot,0.172712%
Gijsbers,0.172712%
Gieske,0.172712%
Glensbo,0.172712%
Zwart,0.172712%
Zachariassen,0.172712%
Zuppa,0.172712%
Zandvliet,0.172712%
Zinglersen,0.172712%
Zanger,0.172712%
Zamani,0.172712%
Tsukanov,0.172712%
Turek,0.172712%
Tymoshenko,0.172712%
Tv,0.172712%
Tesmer,0.172712%
Tiel,0.172712%
Togar,0.172712%
Thulesen,0.172712%
Timmermans,0.172712%
Takkenkamp,0.172712%
Thanasis,0.172712%
Sneijders,0.172712%
Shrek,0.172712%
Spelier,0.172712%
Sheikyusefmuhammad,0.172712%
Schott,0.172712%
Selena,0.172712%
Samuelsen,0.172712%
Schmidt,0.172712%
Sas,0.172712%
Schwarzendorfer,0.172712%
Stam-weterings,0.172712%
Sudiyanto,0.172712%
Shalmi,0.172712%
Scheepbouwer,0.172712%
Snel,0.172712%
Sermersooq,0.172712%
Slot,0.172712%
Stelt,0.172712%
Schaffer,0.172712%
Storch,0.172712%
Schreur,0.172712%
Spanidis,0.172712%
Svendsen,0.172712%
Sikkens,0.172712%
Sikkerman,0.172712%
Steiger,0.172712%
Swank,0.172712%
Susilo,0.172712%
Schram,0.172712%
Sar,0.172712%
Spaans,0.172712%
Stokman,0.172712%
Svend,0.172712%
Sahmi,0.172712%
Schell,0.172712%
Stone,0.172712%
Speicher,0.172712%
Anne,0.172712%
Avoird,0.172712%
Assfalg,0.172712%
Abendroth,0.172712%
Alferink,0.172712%
Adolfs,0.172712%
Adfb,0.172712%
Arts,0.172712%
Arnarson,0.172712%
Achterberg,0.172712%
Albrechtsen,0.172712%
Altmann,0.172712%
Akkerman,0.172712%
Amira,0.172712%
Arctic,0.172712%
Andreas,0.172712%
Aerts,0.172712%
Files,0.172712%
Frijling,0.172712%
Ferguson,0.172712%
Fisker,0.172712%
Furnier,0.172712%
Fitzpatrick,0.172712%
Fleischmann,0.172712%
Fuchs-kuijper,0.172712%
Ole,0.172712%
Out,0.172712%
Oldenburg,0.172712%
Ohara,0.172712%
O-dowd,0.172712%
Oeyen,0.172712%
Ommeren,0.172712%
Oeraker,0.172712%
Oerle,0.172712%
Olesen,0.172712%
Orhan,0.172712%
Hedegaard,0.172712%
Hammer,0.172712%
Hoque,0.172712%
Houghton,0.172712%
Hodzic,0.172712%
Heller,0.172712%
Heilmann,0.172712%
Hobo,0.172712%
Hoornenborg,0.172712%
Houweling,0.172712%
Halki,0.172712%
Hyseni,0.172712%
Hanjhj,0.172712%
Hoek,0.172712%
Hirsch,0.172712%
Hegeman,0.172712%
Hout,0.172712%
Hofman,0.172712%
Hoeger,0.172712%
Hudde,0.172712%
Heijde,0.172712%
Holt,0.172712%
Hammergaard,0.172712%
Holgerson,0.172712%
Mark,0.172712%
Mke,0.172712%
Milne,0.172712%
Martens,0.172712%
Mads,0.172712%
Madsen,0.172712%
Meiland,0.172712%
Ma,0.172712%
Miltenburg,0.172712%
Mays,0.172712%
Malik,0.172712%
Mayhew,0.172712%
Merschbrock,0.172712%
Moller,0.172712%
Monjardino,0.172712%
Marie,0.172712%
Martin,0.172712%
Moelgaard,0.172712%
Misslinger,0.172712%
Magnusson,0.172712%
Mastropietro,0.172712%
Morris,0.172712%
Marathon,0.172712%
Moerch,0.172712%
Muller,0.172712%
Mife,0.172712%
Mikkelsen,0.172712%
Mcclintock,0.172712%
Meer,0.172712%
Mueller,0.172712%
Munk,0.172712%
Marka,0.172712%
Miklagard,0.172712%
Mnich,0.172712%
Markus,0.172712%
Metzler,0.172712%
Jerimiassen,0.172712%
Jaebae,0.172712%
Jespersgaard,0.172712%
Jakobsen,0.172712%
Jepsen,0.172712%
Jy,0.172712%
Jonath,0.172712%
Joseph,0.172712%
Jongsma,0.172712%
Jan,0.172712%
Jacobs,0.172712%
Johannesen,0.172712%
Chimaobim,0.172712%
Childe,0.172712%
