LastName,Percentage
Njie,4.815409%
Jallow,4.654896%
Ceesay,2.247191%
Drammeh,2.086677%
Sanyang,1.284109%
Arausi,1.123596%
Jobe,1.123596%
Camara,1.123596%
Racks,0.963082%
Njaay,0.963082%
Amissah,0.963082%
Faal,0.963082%
Davies,0.963082%
Pa,0.963082%
Gassama,0.802568%
Gaye,0.802568%
Touray,0.802568%
Taylor,0.802568%
Saidy,0.802568%
Adekunle,0.802568%
Darboe,0.802568%
Bah,0.802568%
Baboucarr,0.802568%
Gomez,0.642055%
Abraham,0.642055%
Mendy,0.642055%
Jammeh,0.642055%
Egbuke,0.642055%
Bojang,0.642055%
Kebbeh,0.642055%
Kassama,0.642055%
Gambia,0.481541%
Thomas,0.481541%
Sonko,0.481541%
Sarr,0.481541%
Adenuga,0.481541%
Mbow,0.481541%
Manjang,0.481541%
Jarju,0.481541%
James,0.481541%
Cham,0.481541%
Barry,0.481541%
Williams,0.481541%
Ige,0.321027%
Nwankpa,0.321027%
Gmbh,0.321027%
Gobran,0.321027%
Tossoukpe,0.321027%
Sambou,0.321027%
Smith,0.321027%
Adetokunbo,0.321027%
Aziz,0.321027%
Adeoti,0.321027%
Adiamoh,0.321027%
Adenugao,0.321027%
Fatty,0.321027%
Fadera,0.321027%
Farms,0.321027%
Obinani,0.321027%
Olusanya,0.321027%
Han,0.321027%
Micheal,0.321027%
Mireku,0.321027%
Martin,0.321027%
Mbowe,0.321027%
Mahmoud,0.321027%
Jones,0.321027%
Jarboh,0.321027%
Jagne,0.321027%
John,0.321027%
Jawneh,0.321027%
Jah,0.321027%
Joof,0.321027%
Cole,0.321027%
Chairman,0.321027%
Diane,0.321027%
Diab,0.321027%
Donzo,0.321027%
Debus,0.321027%
Village,0.321027%
Egunlae,0.321027%
Kah,0.321027%
Kolawole,0.321027%
Kadri,0.321027%
Logger,0.321027%
Yehouenou,0.321027%
Prox-dampha,0.321027%
Webs,0.321027%
Wanker,0.321027%
Richard,0.160514%
Realtors,0.160514%
Radio,0.160514%
Renner,0.160514%
Roth,0.160514%
Robinson,0.160514%
Rbdf,0.160514%
Randolph,0.160514%
Umoh,0.160514%
Udoh,0.160514%
Uche,0.160514%
Inc,0.160514%
Ii,0.160514%
Icon,0.160514%
Ilelegi,0.160514%
Islam,0.160514%
Irena,0.160514%
Ngo,0.160514%
Niasse,0.160514%
Noah,0.160514%
Nyassi,0.160514%
Nuf,0.160514%
Nze,0.160514%
Nice,0.160514%
Nelson,0.160514%
Nurudeen,0.160514%
Njsd,0.160514%
Goswell,0.160514%
George,0.160514%
Gidwani,0.160514%
Granados,0.160514%
Ghuu,0.160514%
Grey-johnson,0.160514%
Gheran,0.160514%
Zalevich,0.160514%
Tambadou,0.160514%
Tanaka,0.160514%
Tech,0.160514%
Taimanglo,0.160514%
Tobi,0.160514%
Tikrity,0.160514%
Tamim,0.160514%
Tasbasi,0.160514%
Tebene,0.160514%
Sama,0.160514%
Sinayoko,0.160514%
Smythe,0.160514%
Simaha,0.160514%
Silossah,0.160514%
Seck,0.160514%
Secka,0.160514%
Sumbunu,0.160514%
Sowe,0.160514%
Singhatey,0.160514%
Simon,0.160514%
Sisay,0.160514%
Sanduk,0.160514%
Sarge,0.160514%
Slice,0.160514%
Samba,0.160514%
Smart,0.160514%
Saine,0.160514%
Saidykhan,0.160514%
Sinyan,0.160514%
Sakata,0.160514%
Sb,0.160514%
Samsom,0.160514%
Australia,0.160514%
Airsports,0.160514%
Aiello,0.160514%
Arshiya,0.160514%
Arjan,0.160514%
Aitlipman,0.160514%
Akano,0.160514%
Ajifowowe,0.160514%
Abdoul,0.160514%
Adeyefa,0.160514%
Adeyemi,0.160514%
Adedipe,0.160514%
Abdul,0.160514%
Aluede,0.160514%
Albrecht,0.160514%
Ag,0.160514%
Adeigbe,0.160514%
Alota,0.160514%
Atuma,0.160514%
Al-alacamara,0.160514%
Alfalaah,0.160514%
Akinsanya,0.160514%
Ali,0.160514%
Anani,0.160514%
Abd,0.160514%
Audu,0.160514%
Adama,0.160514%
Fuadtouray,0.160514%
Freeman,0.160514%
Fidelis,0.160514%
Farrel,0.160514%
Foon,0.160514%
Fernando,0.160514%
Fonkwe,0.160514%
Farouk,0.160514%
Franck,0.160514%
Frederic,0.160514%
Fatajo,0.160514%
Florian,0.160514%
Fries,0.160514%
Figueira,0.160514%
Fury,0.160514%
Frazer,0.160514%
Owoyele,0.160514%
Okolie,0.160514%
Okezie,0.160514%
Okorigba,0.160514%
Omobude,0.160514%
Oriavwote,0.160514%
Olumide,0.160514%
Ogunsola,0.160514%
Osin,0.160514%
Ogunade,0.160514%
Obu,0.160514%
Okoi,0.160514%
Hobeika,0.160514%
Holdbrook,0.160514%
Hurst,0.160514%
Herman,0.160514%
Hermantossoukpe,0.160514%
Hayes,0.160514%
Hydara,0.160514%
Hyde,0.160514%
Muhammad,0.160514%
Machines,0.160514%
Mboge,0.160514%
Mod,0.160514%
Martinez,0.160514%
Missions,0.160514%
Morrill,0.160514%
Michael,0.160514%
Minteh,0.160514%
Modou,0.160514%
Modoujobe,0.160514%
Manneh,0.160514%
Marcellin,0.160514%
Morgan,0.160514%
Joffre,0.160514%
Joyce,0.160514%
Jonga,0.160514%
Jaafar,0.160514%
Johnson,0.160514%
Jona,0.160514%
Jeng,0.160514%
Jean,0.160514%
Jawara,0.160514%
Jallo,0.160514%
Joe,0.160514%
Janneh,0.160514%
Jawo,0.160514%
Jollof,0.160514%
Jakhua,0.160514%
Jack,0.160514%
Craig,0.160514%
Cessay,0.160514%
Canada,0.160514%
Carstenboy,0.160514%
Choma,0.160514%
Centre,0.160514%
Cummings,0.160514%
Colley,0.160514%
Cherno,0.160514%
Chris,0.160514%
Cottage,0.160514%
Christopher,0.160514%
Dewhurst,0.160514%
Danielantigha,0.160514%
Diawara,0.160514%
Dabo,0.160514%
Dara,0.160514%
Dion,0.160514%
Derveno,0.160514%
Deboe,0.160514%
Dukuray,0.160514%
Drolon,0.160514%
Demba,0.160514%
Daoud,0.160514%
Dtm,0.160514%
Douglas,0.160514%
David,0.160514%
Davids,0.160514%
Diaby,0.160514%
Director,0.160514%
Directors,0.160514%
Dghm,0.160514%
Dgr,0.160514%
Df,0.160514%
Dibba,0.160514%
Valerie,0.160514%
Vincent,0.160514%
Qingliu,0.160514%
Xiaofeng,0.160514%
Xx,0.160514%
Edeh,0.160514%
Eisenhauer,0.160514%
Express,0.160514%
Empire,0.160514%
Emmanuel,0.160514%
Ent,0.160514%
Edjang,0.160514%
Ebrima,0.160514%
Er,0.160514%
Ekwale,0.160514%
Bittaye,0.160514%
Badjie,0.160514%
Banjul,0.160514%
Bank,0.160514%
Bns,0.160514%
Bacsovics,0.160514%
Barrister,0.160514%
Belgin,0.160514%
Bhjd,0.160514%
Brutchkov,0.160514%
Bpqag,0.160514%
Baldeh,0.160514%
Bayo,0.160514%
Blank,0.160514%
Ba,0.160514%
Blargh,0.160514%
Beard,0.160514%
Baldwin,0.160514%
Badics,0.160514%
Blackwood,0.160514%
Brvf,0.160514%
Barrow,0.160514%
Buerger,0.160514%
Kamara,0.160514%
Komo,0.160514%
Khan,0.160514%
Keita,0.160514%
Kasprzak,0.160514%
Kluge,0.160514%
Kinteh,0.160514%
Kanteh,0.160514%
Korea,0.160514%
Kaira,0.160514%
Krifca,0.160514%
Konteh,0.160514%
Liyanage,0.160514%
Liu,0.160514%
Lester,0.160514%
Lassana,0.160514%
Lawrence,0.160514%
Ltd,0.160514%
Loguhe,0.160514%
Lamin,0.160514%
Yoyat,0.160514%
Ygufeg,0.160514%
Youth,0.160514%
Young,0.160514%
Yuantre,0.160514%
Petersen,0.160514%
Pashaei,0.160514%
Peters,0.160514%
Pierre,0.160514%
Pasmans,0.160514%
Pet,0.160514%
Warner,0.160514%
William,0.160514%
White,0.160514%
