LastName,Percentage
Samuel,2.500000%
Ikaka,1.500000%
Goodluck,1.500000%
Akpofure,1.500000%
Ondo,1.500000%
Moses,1.500000%
Victor,1.500000%
Ekoue,1.500000%
Isidro,1.000000%
Nchama,1.000000%
Nguema,1.000000%
Nouh,1.000000%
Tokolo,1.000000%
Teodoro,1.000000%
Segun,1.000000%
Akele,1.000000%
Abogo,1.000000%
Onguene,1.000000%
Vano,1.000000%
Vitne,1.000000%
Esono,1.000000%
Emac,1.000000%
Ejapa,1.000000%
Beltran,1.000000%
Bama,1.000000%
Yu,1.000000%
Petruk,1.000000%
Rtujghj,0.500000%
Ruben,0.500000%
Regina,0.500000%
Rodriguez,0.500000%
Ravaged,0.500000%
Raber,0.500000%
Rhys,0.500000%
Imlain,0.500000%
Idele,0.500000%
Ildefonsonchasoikaka,0.500000%
Nuern,0.500000%
Ndong,0.500000%
Nobahar,0.500000%
Niubi,0.500000%
Nkene,0.500000%
Nen,0.500000%
Gdffkmds,0.500000%
Gonzalez,0.500000%
Gdedg,0.500000%
Garcia,0.500000%
Gabinete,0.500000%
Generalgeneral,0.500000%
Ghjgj,0.500000%
Topvoip,0.500000%
Tientcheu,0.500000%
Tertet,0.500000%
Travel,0.500000%
Tee,0.500000%
Serifan,0.500000%
Salem,0.500000%
Sm,0.500000%
Sultan,0.500000%
Shekomba,0.500000%
Sambola,0.500000%
Sdshi,0.500000%
Songnan,0.500000%
Sl,0.500000%
Abdalla,0.500000%
Andre,0.500000%
Alain,0.500000%
Andeme,0.500000%
Alfredo,0.500000%
Antonio,0.500000%
Abdelaal,0.500000%
Autos,0.500000%
Alca,0.500000%
Alfonso,0.500000%
Abise,0.500000%
Fidelis,0.500000%
Fsd,0.500000%
Obama,0.500000%
Olude,0.500000%
Obase,0.500000%
Oma,0.500000%
Hope,0.500000%
Hojaij,0.500000%
Mum,0.500000%
Muena,0.500000%
Mags,0.500000%
Ming,0.500000%
Mendez,0.500000%
Minang,0.500000%
Martinez,0.500000%
Mba,0.500000%
Mayeu,0.500000%
Mangue,0.500000%
Mouanga,0.500000%
Madiba,0.500000%
Malabo,0.500000%
Modesta,0.500000%
Maria,0.500000%
Mamontyan,0.500000%
Miguel,0.500000%
Jianlin,0.500000%
Jose,0.500000%
Juan,0.500000%
Jorge,0.500000%
Jimenez,0.500000%
Jaiteh,0.500000%
Juvenal,0.500000%
Casimir,0.500000%
Chonco,0.500000%
Chema,0.500000%
Comba,0.500000%
Charalambous,0.500000%
Carlos,0.500000%
Chu,0.500000%
Denny,0.500000%
Diego,0.500000%
Dougan,0.500000%
Doe,0.500000%
Dave,0.500000%
Domazevich,0.500000%
Don,0.500000%
Djoko,0.500000%
Vanessa,0.500000%
Vwe,0.500000%
Enrique,0.500000%
Eltomn,0.500000%
Ebosogo,0.500000%
Efosa,0.500000%
Eso,0.500000%
Ewertery,0.500000%
Ensen,0.500000%
Edu,0.500000%
Etundi,0.500000%
Edjo,0.500000%
Bolobaha,0.500000%
Bohopo,0.500000%
Bee,0.500000%
Bonsundi,0.500000%
Bakiy,0.500000%
Boulay,0.500000%
Burroughs,0.500000%
Barba,0.500000%
Brdf,0.500000%
Batapa,0.500000%
Bittner,0.500000%
Khjkhkk,0.500000%
Khedr,0.500000%
Llorente,0.500000%
Loribo,0.500000%
Lacmago,0.500000%
Limitada,0.500000%
Lopato,0.500000%
Lucasmbaebendeng,0.500000%
Lycee,0.500000%
Layfied,0.500000%
La,0.500000%
Yepiz,0.500000%
Yundzo,0.500000%
Yekue,0.500000%
Pascal,0.500000%
Perdomo,0.500000%
Placido,0.500000%
Ware,0.500000%
