LastName,Percentage
Cruz,1.996370%
Santos,0.907441%
Camacho,0.816697%
Erikmomal,0.816697%
Duenas,0.725953%
Peterson,0.725953%
Aguon,0.635209%
Jr,0.635209%
Kim,0.635209%
Guerrero,0.544465%
Sharma,0.544465%
Sanchez,0.544465%
Sablan,0.544465%
Lee,0.544465%
Pangelinan,0.544465%
Rodriguez,0.453721%
Ratliff,0.453721%
Taitano,0.453721%
Chan,0.453721%
Baldevia,0.453721%
Young,0.453721%
Williams,0.453721%
Word,0.453721%
Guam,0.362976%
Thompson,0.362976%
Felder,0.362976%
Hanasaka,0.362976%
Manibusan,0.362976%
Manglona,0.362976%
Card,0.362976%
Calvo,0.362976%
Quinata,0.362976%
Barret,0.362976%
Blas,0.362976%
Limtiaco,0.362976%
Rohr,0.272232%
Remigio,0.272232%
Rojas,0.272232%
Rabago,0.272232%
Gumataotao,0.272232%
Gueniot,0.272232%
Gingras,0.272232%
Tydingco,0.272232%
Schmidt,0.272232%
Serisola,0.272232%
Smith,0.272232%
Ajimine,0.272232%
Fama,0.272232%
Flores,0.272232%
Hsieh,0.272232%
Martinez,0.272232%
Mcmanus,0.272232%
Jung,0.272232%
Champaco,0.272232%
Crisostomo,0.272232%
Carmen,0.272232%
Chang,0.272232%
Chris,0.272232%
Cando,0.272232%
Castro,0.272232%
David,0.272232%
Dominguez,0.272232%
Quichocho,0.272232%
Eun,0.272232%
Bortone,0.272232%
Khan,0.272232%
Lim,0.272232%
Librando,0.272232%
Loomis,0.272232%
Lombard,0.272232%
Labrador,0.272232%
Lin,0.272232%
Lujan,0.272232%
Younis,0.272232%
Paul,0.272232%
Pacific,0.272232%
Wong,0.272232%
Rideb,0.181488%
Reyes,0.181488%
Rodriquez,0.181488%
Rosario,0.181488%
Rikat,0.181488%
Rupley,0.181488%
Ruder,0.181488%
Refuerzo,0.181488%
Rosa,0.181488%
Rios,0.181488%
Unpingco,0.181488%
Ungacta,0.181488%
Iriarte,0.181488%
Inc,0.181488%
Nace,0.181488%
Nicolas,0.181488%
Nelson,0.181488%
Graziani,0.181488%
Galgo,0.181488%
Gozalo,0.181488%
Gregg,0.181488%
Giron,0.181488%
Gloton,0.181488%
Guzman,0.181488%
Gouniai,0.181488%
Gregory,0.181488%
Genesis,0.181488%
Gallego,0.181488%
Tanaka,0.181488%
Tharngan,0.181488%
Torres,0.181488%
Taitague,0.181488%
Toves,0.181488%
Tajalle,0.181488%
Taylor,0.181488%
Taijeron,0.181488%
Topasna,0.181488%
Salas,0.181488%
Superales,0.181488%
Stortro,0.181488%
Schneider,0.181488%
Solas,0.181488%
Slomka,0.181488%
Sykes,0.181488%
Studio,0.181488%
Space,0.181488%
Sayas,0.181488%
Soriano,0.181488%
Ahadi,0.181488%
Al,0.181488%
Agustin,0.181488%
Arrowsmith,0.181488%
Abuda,0.181488%
Ancaya,0.181488%
Fejeran,0.181488%
Fajr,0.181488%
Fielder,0.181488%
Ooka,0.181488%
Okada,0.181488%
Holloway,0.181488%
Heflin,0.181488%
Headings,0.181488%
Hernandez,0.181488%
Harper,0.181488%
Hurchanik,0.181488%
Miaco,0.181488%
Maloney,0.181488%
Mantanona,0.181488%
Mortera,0.181488%
Marie,0.181488%
Monk,0.181488%
Morris,0.181488%
Mesa,0.181488%
Mcconkey,0.181488%
Morrison,0.181488%
Mcgill,0.181488%
Mar,0.181488%
Maravilla,0.181488%
Mendiola,0.181488%
Jones,0.181488%
Jackson,0.181488%
John,0.181488%
Joseph,0.181488%
Caluag,0.181488%
Cawood,0.181488%
Calderon,0.181488%
Collins,0.181488%
Comegys,0.181488%
Colleen,0.181488%
Choon,0.181488%
Dalzell,0.181488%
Defender,0.181488%
Dulana,0.181488%
Davidson,0.181488%
Domingo,0.181488%
Villanueva,0.181488%
Veksler,0.181488%
Velez,0.181488%
Quintanilla,0.181488%
Banico,0.181488%
Biscoe,0.181488%
Benavente,0.181488%
Brady,0.181488%
