LastName,Percentage
Persaud,4.954499%
Singh,3.033367%
Williams,2.527806%
Collins,1.314459%
Thomas,1.011122%
Jones,1.011122%
Khan,1.011122%
Ally,0.910010%
Alleyne,0.808898%
Chowbay,0.808898%
Balgobin,0.808898%
Chan,0.707786%
Wilson,0.707786%
Smith,0.606673%
Adonis,0.606673%
Joseph,0.606673%
Ramcharitar,0.505561%
Rajkumar,0.505561%
Rios,0.505561%
Rahaman,0.505561%
Ali,0.505561%
Akpan,0.505561%
Hinds,0.505561%
Carter,0.505561%
Bacchus,0.505561%
Blackman,0.505561%
Layne,0.505561%
Ramdhan,0.404449%
Nauth,0.404449%
Gaffoor,0.404449%
Sylvester,0.404449%
Abrams,0.404449%
Anthony,0.404449%
Fraser,0.404449%
Haripersaud,0.404449%
Hutson,0.404449%
Mangal,0.404449%
John,0.404449%
Brown,0.404449%
Leacock,0.404449%
Lalljee,0.404449%
Lawrence,0.404449%
Leonard,0.404449%
Park,0.404449%
Prashad,0.404449%
Ramroop,0.303337%
Nakhul,0.303337%
Nurse,0.303337%
George,0.303337%
Gonzalez,0.303337%
Shaw,0.303337%
Simon,0.303337%
Springer,0.303337%
Sukhdeo,0.303337%
Abel,0.303337%
Alli,0.303337%
Akeung,0.303337%
Agard,0.303337%
Arthur,0.303337%
Frank,0.303337%
Headley,0.303337%
Mars,0.303337%
Melville,0.303337%
Mingo,0.303337%
Mohamed,0.303337%
James,0.303337%
Jadoopat,0.303337%
Clarke,0.303337%
Corbin,0.303337%
Deonarine,0.303337%
Baksh,0.303337%
Bruce,0.303337%
Brigmohan,0.303337%
Benjamin,0.303337%
Kayum,0.303337%
Kowlessar,0.303337%
Lall,0.303337%
Latchana,0.303337%
Phillips,0.303337%
Parris,0.303337%
Warner,0.303337%
Reid,0.202224%
Ramdeo,0.202224%
Rahat,0.202224%
Ross,0.202224%
Repairz,0.202224%
Ramlall,0.202224%
Roberts,0.202224%
Rose,0.202224%
Ramotar,0.202224%
Richards,0.202224%
Ramsaroop,0.202224%
Ramjeet,0.202224%
Ramsay,0.202224%
Inc,0.202224%
Nelson,0.202224%
Glasgow,0.202224%
Gurchuran,0.202224%
Trust,0.202224%
Sookhai,0.202224%
Sukhlal,0.202224%
Sugrim,0.202224%
Scrubb,0.202224%
Small,0.202224%
Slater,0.202224%
South,0.202224%
Sattaur,0.202224%
Subhan,0.202224%
Sears,0.202224%
Sahadeo,0.202224%
Sukhai,0.202224%
Ahmad,0.202224%
Abdul,0.202224%
Adams,0.202224%
Azeez,0.202224%
Fernandes,0.202224%
Oliver,0.202224%
Hussain,0.202224%
Haynes,0.202224%
Hodge,0.202224%
Hack,0.202224%
Housty,0.202224%
Hacker,0.202224%
Hunte,0.202224%
Henry,0.202224%
Hearton,0.202224%
Morales,0.202224%
Mccalman,0.202224%
Manager,0.202224%
Murray,0.202224%
Major,0.202224%
Marshall,0.202224%
Mayers,0.202224%
Moorgan,0.202224%
Mackintosh,0.202224%
Marks,0.202224%
Mcbean,0.202224%
Jagmohan,0.202224%
Cole,0.202224%
Cuperteno,0.202224%
Chichester,0.202224%
Cummings,0.202224%
Chester,0.202224%
Charles,0.202224%
Datadin,0.202224%
Daniels,0.202224%
Deodat,0.202224%
Dookie,0.202224%
Varswyk,0.202224%
Voices,0.202224%
Evelyn,0.202224%
Barnwell,0.202224%
Butters,0.202224%
Bridgemohan,0.202224%
Barker,0.202224%
Black,0.202224%
Kissoon,0.202224%
Kingston,0.202224%
Khelawan,0.202224%
Livan,0.202224%
Lachmanen,0.202224%
Porcegues,0.202224%
Puran,0.202224%
Paul,0.202224%
Prass,0.202224%
Ward,0.202224%
Watson,0.202224%
Rodrigues,0.101112%
Rasul,0.101112%
Ready-mackintosh,0.101112%
Rupi,0.101112%
Ram,0.101112%
Ramcharan,0.101112%
Rodoreda,0.101112%
Rodriguez,0.101112%
Rampersaud,0.101112%
Rivas,0.101112%
Rupnarain,0.101112%
Richard,0.101112%
Radhakrishnan,0.101112%
Raybaud,0.101112%
Retemyer,0.101112%
Rohee,0.101112%
Raney,0.101112%
Reece,0.101112%
Roopchand,0.101112%
Rupan,0.101112%
Ramgobind,0.101112%
Rtj,0.101112%
Ramkarran,0.101112%
Rocke,0.101112%
Ramnarine,0.101112%
Ramsaywack,0.101112%
Uddin,0.101112%
Undp,0.101112%
Uso,0.101112%
Untung,0.101112%
Insanally,0.101112%
Insanmiyim,0.101112%
Imhoff,0.101112%
Njd,0.101112%
Nyatefe,0.101112%
Neblett,0.101112%
Niamatali,0.101112%
Neils,0.101112%
Nowrang,0.101112%
Nifne,0.101112%
Natram,0.101112%
Nabil,0.101112%
Nedd,0.101112%
Niles,0.101112%
Norville,0.101112%
Nigel,0.101112%
Ganesh,0.101112%
Glasford,0.101112%
Grannum,0.101112%
Guesthouse,0.101112%
Gilbert,0.101112%
Guerrero,0.101112%
Gillette,0.101112%
Griffith,0.101112%
Gajraj,0.101112%
Grant,0.101112%
Gonsalves,0.101112%
Greene,0.101112%
Gibbs,0.101112%
Gill,0.101112%
Goolsarran,0.101112%
Guang,0.101112%
Graham,0.101112%
Gaspar,0.101112%
Gobin,0.101112%
Goberdhan,0.101112%
Gerin,0.101112%
Giddings,0.101112%
Glen,0.101112%
Grimmond,0.101112%
Gordon-boyle,0.101112%
Guyana,0.101112%
Zamal,0.101112%
The,0.101112%
Toolsiram,0.101112%
Tr,0.101112%
Tracey,0.101112%
Tanaka,0.101112%
Thakur,0.101112%
Train,0.101112%
Tt,0.101112%
Tetteh,0.101112%
Tony,0.101112%
Tabingwa,0.101112%
Trading,0.101112%
Tiwari,0.101112%
Thijs,0.101112%
Tavarezvasquez,0.101112%
Trade,0.101112%
Tuase,0.101112%
Tyrone,0.101112%
Tournier,0.101112%
Thompson,0.101112%
Toney,0.101112%
Tapp,0.101112%
Thangaraj,0.101112%
Sharma,0.101112%
Stuart,0.101112%
Samaroo,0.101112%
Samuels,0.101112%
Sam,0.101112%
Seegobin,0.101112%
Savory,0.101112%
Sheriff,0.101112%
Srl,0.101112%
Shields,0.101112%
Sukull,0.101112%
Solomon,0.101112%
Sa,0.101112%
Symonds,0.101112%
Servius,0.101112%
Stephney,0.101112%
Sampson,0.101112%
Safeek,0.101112%
Server,0.101112%
Steaman,0.101112%
Stephens,0.101112%
Semple,0.101112%
Shako,0.101112%
Sami,0.101112%
Simonmoseskothapalli,0.101112%
Stephen,0.101112%
Sandy,0.101112%
Secretariat,0.101112%
Secretary,0.101112%
Sansouci,0.101112%
Shiwnandan,0.101112%
Samuel,0.101112%
Sovi,0.101112%
Skeete,0.101112%
Sang,0.101112%
Sammi,0.101112%
Simpson,0.101112%
Sankar,0.101112%
Shivraj,0.101112%
Shivrattan,0.101112%
Aderemi,0.101112%
Ahkami,0.101112%
Asim,0.101112%
Andrews,0.101112%
