LastName,Percentage
Chan,4.890643%
Wong,4.229984%
Lee,2.156713%
Lam,1.919150%
Cheung,1.824911%
Leung,1.771901%
Ng,1.509797%
Li,1.433227%
Lau,1.425374%
Ho,1.403777%
Cheng,0.988534%
Yeung,0.869753%
Lai,0.832450%
Tang,0.770605%
Master,0.752935%
Lo,0.747045%
Chow,0.680292%
Ltd,0.670476%
Kwok,0.662622%
Fung,0.632191%
Chung,0.604704%
Yu,0.601759%
Tsang,0.588016%
Yip,0.584089%
Tam,0.539914%
Liu,0.535006%
Law,0.521263%
Wu,0.513410%
Chen,0.506538%
Tse,0.498685%
Hui,0.490831%
Wai,0.463345%
Wang,0.447638%
Chiu,0.445675%
Chu,0.444693%
Choi,0.424078%
Ma,0.421133%
Yuen,0.404445%
Lui,0.387757%
Man,0.376958%
So,0.374995%
Mak,0.374995%
Hung,0.368123%
Au,0.353399%
Chi,0.346527%
Kwan,0.345545%
Tong,0.335729%
Yau,0.329839%
Chun,0.325912%
Siu,0.323949%
Wan,0.309224%
Poon,0.304315%
Zhang,0.302352%
Chau,0.289590%
Tsui,0.288609%
Kong,0.281737%
Ka,0.274866%
Fong,0.269957%
Lin,0.267994%
Ip,0.262104%
Pang,0.261122%
Kwong,0.249342%
Wing,0.234617%
Chong,0.231672%
Yan,0.231672%
Huang,0.227746%
Yiu,0.226764%
Mok,0.222837%
Ko,0.211057%
Nguyen,0.206149%
Hk,0.199277%
To,0.192406%
Yang,0.192406%
Ming,0.182589%
Kam,0.178663%
Ching,0.171791%
Hong,0.170809%
Ling,0.165901%
Yung,0.163938%
Sze,0.160993%
Luk,0.160993%
Fu,0.160011%
Tai,0.158048%
Chui,0.153139%
Chang,0.151176%
Ting,0.146268%
Kin,0.146268%
Tsoi,0.144304%
Fan,0.142341%
Sin,0.139396%
Woo,0.139396%
Ngai,0.134488%
Cheuk,0.133506%
Sun,0.130561%
Lim,0.123689%
Yee,0.123689%
Shum,0.121726%
Fok,0.120744%
Tan,0.119763%
Tung,0.117800%
Smith,0.117800%
Hon,0.117800%
Kan,0.116818%
King,0.115836%
Yim,0.115836%
Kim,0.114855%
Liang,0.110928%
Yin,0.109946%
Inc,0.108965%
Yi,0.107983%
Chin,0.107001%
Choy,0.107001%
Lok,0.102093%
Mr,0.099148%
Kai,0.099148%
Ying,0.099148%
Tsz,0.098166%
