LastName,Percentage
Horvat,0.515177%
Kovacevic,0.292398%
Novak,0.271512%
Kovacic,0.219298%
Vukovic,0.215817%
Basic,0.215817%
Knezevic,0.212336%
Juric,0.208855%
Babic,0.205375%
Tomic,0.194932%
Petrovic,0.194932%
Kovac,0.181008%
Blazevic,0.177527%
Pavic,0.167084%
Radic,0.163603%
Matic,0.163603%
Maric,0.160123%
Markovic,0.156642%
Barisic,0.156642%
Lovric,0.156642%
Perkovic,0.156642%
Loncar,0.153161%
Saric,0.149680%
Mandic,0.149680%
Popovic,0.149680%
Stanic,0.146199%
Peric,0.146199%
Ivanovic,0.142718%
Bozic,0.142718%
Grgic,0.139237%
Simic,0.139237%
Jukic,0.139237%
Lucic,0.139237%
Kralj,0.125313%
Novosel,0.121832%
Filipovic,0.121832%
Marusic,0.121832%
Dujmovic,0.121832%
Bilic,0.118351%
Ivancic,0.114871%
Jelic,0.114871%
Nikolic,0.111390%
Cosic,0.111390%
Bijelic,0.111390%
Kos,0.107909%
Pavlovic,0.107909%
Petric,0.107909%
Grubisic,0.104428%
Klaric,0.104428%
Miletic,0.100947%
Jankovic,0.100947%
Rukavina,0.097466%
Curic,0.097466%
Bosnjak,0.097466%
Katic,0.097466%
Petkovic,0.097466%
Zivkovic,0.093985%
Martinovic,0.093985%
Rozic,0.090504%
Ruzic,0.090504%
Duvnjak,0.090504%
Vidovic,0.090504%
Ban,0.090504%
Novakovic,0.087023%
Matijevic,0.087023%
Vlahovic,0.087023%
Radosevic,0.083542%
Tadic,0.083542%
Franic,0.083542%
Brkic,0.083542%
Kraljevic,0.083542%
Galic,0.080061%
Car,0.080061%
Vuckovic,0.080061%
Kolar,0.080061%
Petricevic,0.080061%
Ivankovic,0.076580%
Glavas,0.076580%
Medic,0.076580%
Buric,0.076580%
Kuzmanic,0.076580%
Poljak,0.076580%
Zuzic,0.073099%
Stimac,0.073099%
Orlic,0.073099%
Mikulic,0.073099%
Maras,0.073099%
Crnkovic,0.073099%
Delic,0.073099%
Rasic,0.069618%
Ivic,0.069618%
Gasparovic,0.069618%
Simunovic,0.069618%
Josipovic,0.069618%
Vukusic,0.069618%
Kordic,0.069618%
Pintaric,0.069618%
Ilic,0.066138%
Zuvela,0.066138%
Samardzic,0.066138%
Antunovic,0.066138%
Anic,0.066138%
Mihaljevic,0.066138%
Matkovic,0.066138%
Cindric,0.066138%
Vrdoljak,0.066138%
Baric,0.066138%
Lovrekovic,0.066138%
Gavran,0.062657%
Grguric,0.062657%
Tomasevic,0.062657%
Mlinaric,0.062657%
Matosevic,0.062657%
Vidakovic,0.062657%
Erceg,0.062657%
Brajkovic,0.062657%
Buljan,0.062657%
Barac,0.062657%
Ljubicic,0.062657%
Posavec,0.062657%
Prpic,0.062657%
Gabric,0.059176%
Zubak,0.059176%
Tomas,0.059176%
Tomasic,0.059176%
Sertic,0.059176%
Santic,0.059176%
Andric,0.059176%
Ostojic,0.059176%
Herceg,0.059176%
Mestrovic,0.059176%
Doo,0.059176%
Vukelic,0.059176%
Boban,0.059176%
Bajic,0.059176%
Budimir,0.059176%
Boric,0.059176%
Lukic,0.059176%
Pervan,0.059176%
Primorac,0.059176%
Gudelj,0.055695%
Tomljanovic,0.055695%
Tokic,0.055695%
Stipic,0.055695%
Milic,0.055695%
Majic,0.055695%
Modric,0.055695%
Jurisic,0.055695%
Jurkovic,0.055695%
Dukic,0.055695%
Butkovic,0.055695%
Brekalo,0.055695%
Brcic,0.055695%
Baranasic,0.055695%
Plisko,0.055695%
Pavicic,0.055695%
Pavlic,0.055695%
Ravlic,0.052214%
Turk,0.052214%
Skomersic,0.052214%
Stojanovic,0.052214%
Ovcina,0.052214%
Marinkovic,0.052214%
Jovanovic,0.052214%
Jovic,0.052214%
Covic,0.052214%
Dumancic,0.052214%
Varga,0.052214%
Vuletic,0.052214%
Begovic,0.052214%
Badurina,0.052214%
Bartulovic,0.052214%
Bolanca,0.052214%
Kosanovic,0.052214%
Knezovic,0.052214%
Lackovic,0.052214%
Grbavac,0.048733%
Znidaric,0.048733%
Zovko,0.048733%
Zagreb,0.048733%
Turkovic,0.048733%
