LastName,Percentage
Jean,2.805755%
Joseph,2.086331%
Pierre,2.086331%
Louis,1.474820%
Charles,0.935252%
Haiti,0.863309%
Etienne,0.791367%
Placide,0.647482%
Desir,0.611511%
Baptiste,0.611511%
Alexandre,0.539568%
Moise,0.539568%
Paul,0.503597%
Francois,0.467626%
Jacques,0.467626%
Chery,0.467626%
Celestin,0.431655%
Georges,0.395683%
Augustin,0.395683%
Antoine,0.395683%
Michel,0.395683%
Jasmin,0.395683%
Louissaint,0.395683%
Sanon,0.359712%
Jeune,0.359712%
Ndoki,0.323741%
Gelin,0.323741%
Gabriel,0.323741%
Toussaint,0.323741%
Agenor,0.323741%
Marc,0.323741%
Laguerre,0.323741%
Nicolas,0.287770%
Noel,0.287770%
Alexis,0.287770%
Archange,0.287770%
Henry,0.287770%
Jules,0.287770%
Cyprien,0.287770%
Denis,0.287770%
Blanc,0.287770%
Philippe,0.287770%
Raymond,0.251799%
Guerrier,0.251799%
Andre,0.251799%
Fortune,0.251799%
Fleurimond,0.251799%
Marie,0.251799%
Jaar,0.251799%
Deus,0.251799%
Voltaire,0.251799%
Bousiquot,0.251799%
Lesperance,0.251799%
Prosper,0.251799%
Rene,0.215827%
Ricardo,0.215827%
Serge,0.215827%
Severe,0.215827%
Charlemagne,0.215827%
Desauguste,0.215827%
Emmanuel,0.215827%
Belizaire,0.215827%
Blaise,0.215827%
Barthelemy,0.215827%
Lyron,0.215827%
Lucien,0.215827%
Petion,0.215827%
Remy,0.179856%
Inc,0.179856%
Norzelus,0.179856%
Gardere,0.179856%
Gaspard,0.179856%
Zephir,0.179856%
Ashley,0.179856%
Aurestyl,0.179856%
Hyppolite,0.179856%
Meyer,0.179856%
Max,0.179856%
Jerome,0.179856%
Jean-baptiste,0.179856%
Jeudy,0.179856%
Chauvet,0.179856%
Dorvil,0.179856%
Edouard,0.179856%
Brutus,0.179856%
Bijou,0.179856%
Brown,0.179856%
Lamothe,0.179856%
Lacroix,0.179856%
Wesner,0.179856%
Wild,0.179856%
William,0.179856%
Remarais,0.143885%
Ulysse,0.143885%
Isidor,0.143885%
Neptune,0.143885%
Narcisse,0.143885%
Napoleon,0.143885%
Guillaume,0.143885%
Gerard,0.143885%
Gilles,0.143885%
Thomas,0.143885%
Stanley,0.143885%
Sambour,0.143885%
Sylvain,0.143885%
Altidor,0.143885%
Auguste,0.143885%
Ambroise,0.143885%
Fleur,0.143885%
Hilaire,0.143885%
Martin,0.143885%
Moreau,0.143885%
Mesidor,0.143885%
Jeff,0.143885%
Junior,0.143885%
Jonathan,0.143885%
Chancy,0.143885%
Cherubin,0.143885%
Castil,0.143885%
Cadet,0.143885%
Calixte,0.143885%
Decius,0.143885%
Dorvilus,0.143885%
Dorsainvil,0.143885%
Vixamar,0.143885%
Vintris,0.143885%
Villard,0.143885%
Evens,0.143885%
Bien-aime,0.143885%
Bertrand,0.143885%
Bouillon,0.143885%
Brun,0.143885%
Bernard,0.143885%
Leger,0.143885%
Larose,0.143885%
Lesly,0.143885%
Leandre,0.143885%
Lynch,0.143885%
Laurent,0.143885%
Yves,0.143885%
Pyram,0.143885%
Preval,0.143885%
Reid,0.107914%
Rouzier,0.107914%
Romain,0.107914%
Richard,0.107914%
Rachel,0.107914%
Rigaud,0.107914%
Roy,0.107914%
Robert,0.107914%
Regis,0.107914%
Ralph,0.107914%
Nau,0.107914%
Naomie,0.107914%
Gousse,0.107914%
Guerrero,0.107914%
Godefroy,0.107914%
Techeler,0.107914%
Tiwana,0.107914%
Theodore,0.107914%
Sa,0.107914%
Stocker,0.107914%
Salnave,0.107914%
Semelus,0.107914%
Samuel,0.107914%
Sejour,0.107914%
Almazor,0.107914%
Abraham,0.107914%
Andios,0.107914%
Astrel,0.107914%
Anglade,0.107914%
Florville,0.107914%
Fils,0.107914%
Frantz,0.107914%
Fleurine,0.107914%
Faustin,0.107914%
Hans,0.107914%
Herry,0.107914%
Homelus,0.107914%
Merone,0.107914%
Maxime,0.107914%
Metellus,0.107914%
Manuel,0.107914%
Muzac,0.107914%
Mertilus,0.107914%
Moville,0.107914%
Milien,0.107914%
Miguelito,0.107914%
Mompremier,0.107914%
Jean-louis,0.107914%
Jean-guillaume,0.107914%
Janvier,0.107914%
Jeanniton,0.107914%
Castor,0.107914%
Claudy,0.107914%
Comeau,0.107914%
Chevalier,0.107914%
Cesar,0.107914%
Cantave,0.107914%
Cassion,0.107914%
Clerge,0.107914%
Clerie,0.107914%
Destine,0.107914%
Dareus,0.107914%
Dukens,0.107914%
Domond,0.107914%
Desnoyers,0.107914%
Davidson,0.107914%
Victor,0.107914%
Vil,0.107914%
Ernso,0.107914%
Etes,0.107914%
Emacly,0.107914%
Eugene,0.107914%
Emile,0.107914%
Boursiquot,0.107914%
Brice,0.107914%
Bernier,0.107914%
Brierre,0.107914%
Billy,0.107914%
Bellegarde,0.107914%
Brandt,0.107914%
Kerbson,0.107914%
Lakay,0.107914%
Laroche,0.107914%
Leonce,0.107914%
Poitevien,0.107914%
Pierre-louis,0.107914%
Patrick,0.107914%
