LastName,Percentage
Kft,5.969840%
Gabor,1.351932%
Tamas,1.296199%
Laszlo,1.254797%
Peter,1.237281%
Zoltan,1.113075%
Kovacs,1.081227%
Attila,1.073265%
Nagy,1.038233%
Toth,0.953837%
Szabo,0.920397%
Zsolt,0.800968%
Horvath,0.727719%
Istvan,0.703833%
Csaba,0.686317%
Andras,0.670393%
Varga,0.652877%
Kiss,0.648099%
Balazs,0.636953%
Gergely,0.525486%
Ferenc,0.519117%
Sandor,0.517524%
Janos,0.509562%
Bt,0.500008%
Tibor,0.490454%
Molnar,0.482492%
Jozsef,0.449052%
Daniel,0.436313%
Adam,0.423574%
Gyorgy,0.396503%
Robert,0.383764%
David,0.382172%
Krisztian,0.356694%
Nemeth,0.324846%
Farkas,0.300960%
Norbert,0.294591%
Andrea,0.294591%
Balogh,0.288221%
Krisztina,0.281852%
Katalin,0.275482%
Papp,0.275482%
Miklos,0.270705%
Szabolcs,0.269113%
Imre,0.257966%
Marton,0.254781%
Viktor,0.243634%
Helpdesk,0.238857%
Zrt,0.237265%
Balint,0.230895%
Bence,0.226118%
Gyula,0.219749%
Juhasz,0.218156%
Lajos,0.210194%
Karoly,0.207010%
Zsuzsanna,0.205417%
Akos,0.205417%
Dr,0.200640%
Eva,0.199048%
Takacs,0.197455%
Roland,0.195863%
Judit,0.195863%
Gabriella,0.192678%
Mihaly,0.183124%
Mate,0.181532%
Staff,0.173570%
Meszaros,0.167200%
Bela,0.160831%
Antal,0.159238%
Simon,0.157646%
Agnes,0.157646%
Richard,0.156053%
Fekete,0.146499%
Ildiko,0.143314%
Eszter,0.143314%
Pal,0.141722%
Szilagyi,0.140130%
Gergo,0.136945%
Racz,0.133760%
Feher,0.133760%
Biro,0.133760%
Szilvia,0.132168%
Arpad,0.128983%
Orsolya,0.128983%
Pinter,0.128983%
Magyar,0.125798%
Ltd,0.124206%
Orosz,0.121021%
Hegedus,0.121021%
Monika,0.119429%
Katona,0.117836%
Fodor,0.116244%
Kocsis,0.114652%
Gal,0.109874%
Fabian,0.109874%
Levente,0.109874%
Matyas,0.106690%
Kis,0.103505%
Torok,0.101912%
Olah,0.101912%
Maria,0.101912%
Deak,0.101912%
Virag,0.101912%
Lukacs,0.101912%
Erika,0.100320%
Hajdu,0.098728%
Dora,0.098728%
Kalman,0.098728%
Fazekas,0.097135%
Anna,0.095543%
Lakatos,0.095543%
Anita,0.092358%
Veres,0.092358%
Kristof,0.092358%
Sipos,0.090766%
Kiraly,0.090766%
Timea,0.087581%
Szucs,0.087581%
Karpati,0.087581%
Mark,0.085989%
Csilla,0.085989%
Bodnar,0.085989%
Gaspar,0.084396%
Szalay,0.084396%
Kelemen,0.084396%
Aron,0.082804%
Fulop,0.082804%
Barna,0.082804%
Rita,0.081211%
Somogyi,0.081211%
Illes,0.079619%
Szilard,0.079619%
Szoke,0.079619%
Aniko,0.079619%
Halasz,0.079619%
Gulyas,0.078027%
Szalai,0.078027%
Viktoria,0.078027%
Edit,0.078027%
Kozma,0.078027%
Reka,0.076434%
Zsofia,0.076434%
Boros,0.076434%
Szekely,0.074842%
Soos,0.073250%
Egyesulet,0.073250%
Erdelyi,0.073250%
Barbara,0.073250%
Lengyel,0.073250%
Denes,0.068472%
Vincze,0.068472%
Budai,0.068472%
Tunde,0.066880%
Orban,0.066880%
Koncz,0.066880%
Geza,0.065288%
Balla,0.065288%
Bognar,0.065288%
Pap,0.065288%
Schmidt,0.063695%
Melinda,0.063695%
Voros,0.063695%
Edina,0.063695%
Balog,0.063695%
Alexandra,0.062103%
Marta,0.062103%
