LastName,Percentage
Kurniawan,0.748841%
Setiawan,0.740123%
Putra,0.643985%
Wijaya,0.570938%
Hidayat,0.547611%
Gunawan,0.451708%
Saputra,0.430737%
Pratama,0.417306%
Muhammad,0.413536%
Nugroho,0.408116%
Wibowo,0.361225%
Santoso,0.354156%
Indonesia,0.340254%
Maulana,0.326823%
Prasetyo,0.326352%
Susanto,0.305145%
Nugraha,0.266265%
Rahman,0.263909%
Ahmad,0.245765%
Arifin,0.243644%
Chandra,0.223380%
Ramadhan,0.220081%
Wahyudi,0.217960%
Hakim,0.206179%
Irawan,0.199817%
Akbar,0.198403%
Kusuma,0.193926%
Hermawan,0.190391%
Permana,0.184972%
Fauzi,0.183087%
Firmansyah,0.173426%
Darmawan,0.161409%
Purnomo,0.155046%
Halim,0.154811%
Media,0.153633%
Wicaksono,0.153161%
Hadi,0.149627%
Anwar,0.148449%
Aditya,0.147271%
Firdaus,0.146328%
Yusuf,0.144914%
Adi,0.144443%
Utomo,0.140437%
Hartono,0.140437%
Budiman,0.134075%
Arif,0.131012%
Widodo,0.128891%
Sari,0.128420%
Putri,0.123943%
Yanto,0.123707%
Prabowo,0.123236%
Nur,0.122529%
Wahyu,0.122293%
Jaya,0.121115%
Dwi,0.120408%
Agung,0.117110%
Dewi,0.116638%
Hasan,0.114046%
Purwanto,0.113811%
Tan,0.112633%
Setyawan,0.112633%
Rizal,0.112397%
Ali,0.112161%
Iskandar,0.111690%
Aziz,0.107684%
Prasetya,0.105564%
Sanjaya,0.104385%
Kurnia,0.104385%
Fajar,0.101793%
Purnama,0.101322%
Pamungkas,0.100851%
Salim,0.099201%
Agus,0.098966%
Lim,0.098730%
Saputro,0.097081%
Yulianto,0.096845%
Ridwan,0.095667%
Aji,0.095667%
Budi,0.095431%
Susilo,0.095196%
Ardiansyah,0.093075%
Widjaja,0.092839%
Taufik,0.092604%
Iqbal,0.091897%
Pt,0.089540%
Surya,0.088834%
Utama,0.088598%
Huda,0.088598%
Haryanto,0.088362%
Rohman,0.087655%
Lestari,0.087655%
Siregar,0.084592%
Cahyono,0.084592%
Muhamad,0.084357%
Rachman,0.084121%
Arief,0.083178%
Handoko,0.082943%
Riyanto,0.081529%
Satria,0.081293%
Rahmat,0.081058%
Indra,0.081058%
Eko,0.080822%
Achmad,0.080586%
Lesmana,0.079408%
Hartanto,0.079173%
Abdullah,0.078937%
Amin,0.078937%
Mulyadi,0.078937%
Perdana,0.078230%
Web,0.077052%
Sutanto,0.075167%
St,0.075167%
Riyadi,0.074931%
Setiadi,0.073989%
Lie,0.072575%
Efendi,0.072104%
Fahmi,0.071632%
Bagus,0.071632%
Wirawan,0.071632%
Rahayu,0.070219%
Lee,0.070219%
Rizki,0.069747%
Ismail,0.069276%
Candra,0.068098%
Bayu,0.068098%
Rizky,0.067627%
Ibrahim,0.067627%
Hendra,0.067391%
Lubis,0.067391%
Cahyadi,0.066448%
Reza,0.066213%
Abidin,0.066213%
Se,0.065270%
Sugiarto,0.065270%
Fauzan,0.065270%
Raharjo,0.064563%
Mulyana,0.063150%
Siswanto,0.062914%
Pribadi,0.062443%
Effendi,0.061971%
Syah,0.061500%
Fikri,0.061500%
Sinaga,0.061265%
Abdillah,0.061265%
Eka,0.060558%
Priyanto,0.060322%
Santosa,0.060086%
Azis,0.060086%
Purba,0.059851%
Prakoso,0.059615%
Pradana,0.059379%
Andi,0.059144%
Christian,0.059144%
Hariyanto,0.058908%
Wulandari,0.058908%
Rifai,0.058437%
Shop,0.058437%
Pramono,0.058437%
Wibisono,0.058437%
Studio,0.057730%
Aulia,0.057730%
Yahya,0.056552%
Winata,0.056552%
Id,0.056081%
Tri,0.056081%
Suryadi,0.055845%
Mr,0.055609%
Handayani,0.054196%
Prayitno,0.053017%
Ilham,0.052782%
Faisal,0.052782%
Ramdani,0.051839%
Bali,0.051839%
Nasution,0.051368%
Ariyanto,0.051132%
Hermanto,0.050897%
Malik,0.050897%
Anto,0.050661%
Sutrisno,0.050425%
Alam,0.050425%
Abdul,0.050190%
Haris,0.049954%
Ramdhani,0.049247%
Ihsan,0.049247%
Hidayatullah,0.049247%
Bahri,0.048776%
Pranata,0.048776%
Sofyan,0.048305%
Andika,0.048069%
Syahputra,0.047833%
Septian,0.047362%
Irfan,0.047127%
Store,0.047127%
Afandi,0.047127%
Yudha,0.047127%
Chen,0.046891%
Imam,0.046655%
Hamzah,0.046655%
Lukman,0.046655%
Sulaiman,0.046420%
Mahendra,0.046420%
Simanjuntak,0.045948%
Anam,0.045948%
Sugianto,0.045713%
Farid,0.045477%
Basuki,0.045477%
Prayoga,0.045477%
Wibawa,0.045477%
Supriyanto,0.045006%
Saleh,0.045006%
Mubarok,0.045006%
Travel,0.044299%
Tanjung,0.044063%
Kurniadi,0.044063%
Alamsyah,0.043828%
Pangestu,0.043828%
Haryadi,0.043592%
Supriadi,0.043356%
Angga,0.043356%
Taufiq,0.043121%
Anggara,0.043121%
Ari,0.043121%
Hendrawan,0.043121%
Usman,0.042885%
Susanti,0.042650%
Rahmawati,0.042414%
Ramadhani,0.042414%
Nusantara,0.042414%
Wardhana,0.042414%
Supriyadi,0.042178%
Siahaan,0.041943%
Dimas,0.041707%
Supriatna,0.041471%
Haryono,0.041471%
Suryanto,0.041236%
Herlambang,0.041236%
Mulyono,0.041236%
Rusli,0.041000%
Abadi,0.041000%
Fajri,0.041000%
Harahap,0.041000%
Yoga,0.041000%
Udin,0.040529%
Mohammad,0.040293%
Ardianto,0.040058%
Pratiwi,0.040058%
Teguh,0.039586%
Mandiri,0.039586%
Ridho,0.039351%
Novianto,0.039351%
Amri,0.039351%
Wijayanto,0.039351%
Wati,0.039115%
Budianto,0.038879%
Permadi,0.038879%
Nurdin,0.038644%
Mustofa,0.038644%
Kristanto,0.038644%
Astuti,0.038408%
Anggraini,0.038408%
Ashari,0.038408%
Daniel,0.038408%
Dharmawan,0.038408%
Kristianto,0.038408%
Dian,0.038173%
Umam,0.037937%
Sihombing,0.037937%
Jakarta,0.037937%
Dani,0.037937%
Noor,0.037701%
Arianto,0.037466%
Sh,0.037230%
Hamdani,0.037230%
Kuncoro,0.037230%
Zakaria,0.036994%
Ardi,0.036994%
Hamid,0.036994%
Ginting,0.036759%
Utami,0.036523%
Adam,0.036287%
Hanafi,0.036287%
Prima,0.036287%
Wahyuni,0.036287%
Ginanjar,0.036052%
Agustina,0.036052%
Fadli,0.036052%
Nainggolan,0.035816%
Anugrah,0.035816%
Muslim,0.035816%
David,0.035816%
Andrian,0.035581%
Rasyid,0.035345%
Sidik,0.035345%
Firman,0.035345%
Suherman,0.035109%
Sudrajat,0.035109%
Ferdiansyah,0.035109%
Website,0.035109%
Tour,0.034874%
Sulistyo,0.034874%
Satrio,0.034874%
Mulia,0.034874%
Ikhsan,0.034638%
Sasongko,0.034638%
Tobing,0.034402%
Azhar,0.034402%
Huang,0.034402%
Manurung,0.034402%
Andri,0.034167%
Ayu,0.034167%
Ade,0.034167%
Febrianto,0.034167%
Pambudi,0.034167%
Habibi,0.033931%
Munir,0.033931%
Prayogo,0.033931%
Wong,0.033931%
Ardian,0.033696%
Rinaldi,0.033460%
Alexander,0.033460%
Putranto,0.033224%
Anggoro,0.032989%
Pratomo,0.032989%
Priyono,0.032989%
Wiguna,0.032753%
Perkasa,0.032517%
Azhari,0.032282%
Pramana,0.032282%
Tambunan,0.032046%
Sebastian,0.032046%
Ulum,0.031810%
Team,0.031810%
Kamal,0.031810%
Waluyo,0.031575%
Indrawan,0.031339%
Iman,0.031339%
Ong,0.031339%
Rozi,0.031104%
Tjandra,0.031104%
Salam,0.031104%
Andreas,0.031104%
Harianto,0.031104%
Muttaqin,0.031104%
Yuwono,0.031104%
Property,0.031104%
Umar,0.030868%
Inc,0.030868%
Suryana,0.030868%
Adrian,0.030868%
Cahyo,0.030868%
Lutfi,0.030868%
Prawira,0.030868%
Wahyudin,0.030868%
Syarif,0.030632%
Febrian,0.030632%
Kartika,0.030632%
Putu,0.030632%
Budiono,0.030397%
Wardana,0.030397%
Gumilar,0.030161%
Amalia,0.030161%
Latif,0.030161%
Wahid,0.030161%
Riza,0.029925%
Sembiring,0.029925%
Sugiharto,0.029925%
Ananda,0.029925%
Prasetio,0.029925%
Rahardjo,0.029690%
Gani,0.029690%
Tarigan,0.029690%
Munandar,0.029690%
Dharma,0.029690%
Mahardika,0.029454%
Master,0.029454%
Kusnadi,0.029454%
Yunus,0.029454%
Alfian,0.029218%
Fernando,0.029218%
Herman,0.029218%
Junaedi,0.029218%
Laksono,0.029218%
Liem,0.029218%
Yasin,0.029218%
Situmorang,0.028983%
Asep,0.028983%
William,0.028983%
Andre,0.028747%
Kosasih,0.028747%
Panjaitan,0.028747%
Hanif,0.028512%
Mohamad,0.028512%
Zulkarnain,0.028276%
Muh,0.028276%
Sakti,0.028040%
Subekti,0.028040%
Andy,0.028040%
Basri,0.028040%
Kusumo,0.028040%
Karim,0.028040%
Wisnu,0.028040%
Ganteng,0.027805%
Smith,0.027805%
Aris,0.027805%
Arya,0.027805%
Himawan,0.027805%
Mulya,0.027805%
Dermawan,0.027805%
Gultom,0.027569%
Solihin,0.027569%
Junaidi,0.027569%
Bambang,0.027569%
Kesuma,0.027569%
Putro,0.027569%
Sulaeman,0.027333%
Handoyo,0.027333%
Michael,0.027333%
Chan,0.027098%
Setyo,0.026862%
Ansori,0.026862%
Marzuki,0.026862%
Yani,0.026862%
Rianto,0.026627%
Sigit,0.026627%
Anggraeni,0.026627%
Rachmat,0.026391%
Iwan,0.026391%
Net,0.026391%
Sitorus,0.026391%
Amir,0.026391%
Ferdian,0.026391%
Hasibuan,0.026391%
Harsono,0.026391%
Hidayah,0.026391%
Moh,0.026391%
Yohanes,0.026391%
Pranoto,0.026391%
Setiyawan,0.026155%
Baskoro,0.026155%
Luthfi,0.026155%
Slamet,0.025920%
Akhmad,0.025920%
Jogja,0.025920%
Com,0.025920%
Cahya,0.025920%
Prasetiyo,0.025920%
Ir,0.025684%
Zulfikar,0.025684%
Silalahi,0.025684%
Atmaja,0.025684%
Amirudin,0.025684%
Anshori,0.025448%
Rahmadi,0.025213%
Fuad,0.025213%
Jatmiko,0.025213%
Bachtiar,0.025213%
Irwan,0.024977%
Ng,0.024977%
Andrianto,0.024977%
Adhi,0.024977%
Kamil,0.024977%
Rochman,0.024741%
Natalia,0.024741%
Saragih,0.024741%
Ang,0.024741%
Asmara,0.024741%
Wicaksana,0.024741%
Ida,0.024506%
Tampubolon,0.024506%
Suhendra,0.024506%
Sri,0.024506%
Fadillah,0.024506%
Jati,0.024506%
Puspita,0.024506%
Pradipta,0.024506%
News,0.024270%
Sentosa,0.024270%
Sani,0.024270%
Hutagalung,0.024270%
Martin,0.024270%
Johan,0.024270%
Damayanti,0.024270%
Yadi,0.024270%
Samuel,0.024035%
Sopian,0.024035%
Surabaya,0.024035%
Faizal,0.024035%
Hutabarat,0.024035%
Budiyanto,0.024035%
Leo,0.024035%
Widiyanto,0.024035%
Naufal,0.023799%
Abdurrahman,0.023799%
Heru,0.023799%
Made,0.023799%
Kom,0.023799%
Ningsih,0.023563%
Sutisna,0.023563%
Sandi,0.023563%
Simbolon,0.023563%
Suwandi,0.023563%
Arifianto,0.023563%
Dewa,0.023563%
Yudi,0.023563%
Widianto,0.023563%
Wahyono,0.023563%
Widjaya,0.023328%
Wiyono,0.023328%
Saepudin,0.023092%
Suseno,0.023092%
Safitri,0.023092%
Soleh,0.023092%
Andhika,0.023092%
Aprianto,0.023092%
Afif,0.023092%
Yanti,0.023092%
Yanuar,0.023092%
Ryan,0.022856%
Anas,0.022856%
Rudi,0.022621%
Triyono,0.022621%
Suprapto,0.022621%
Awaludin,0.022621%
Adhitya,0.022621%
Amrullah,0.022621%
Fitri,0.022621%
Fahrudin,0.022621%
Makmur,0.022621%
Mukti,0.022621%
Diana,0.022621%
Kharisma,0.022621%
Idris,0.022385%
Galih,0.022385%
Simamora,0.022385%
Hidayatulloh,0.022385%
Jauhari,0.022385%
Center,0.022385%
Darma,0.022385%
Rahadian,0.022149%
Indo,0.022149%
Sumantri,0.022149%
Agustinus,0.022149%
Fadilah,0.022149%
Herbal,0.022149%
Moch,0.022149%
Nurdiansyah,0.021914%
Aja,0.021914%
Agustian,0.021914%
Fuadi,0.021914%
Bandung,0.021914%
Pasaribu,0.021914%
Priambodo,0.021914%
Project,0.021914%
Purnawan,0.021914%
Nanda,0.021678%
Satya,0.021678%
Adnan,0.021678%
Andriani,0.021678%
Raharja,0.021443%
Rian,0.021443%
Setiawati,0.021207%
Fanani,0.021207%
Fathoni,0.021207%
Dinata,0.021207%
Priyadi,0.021207%
Wisata,0.021207%
Ramli,0.020971%
Rohim,0.020971%
Ikhwan,0.020971%
Azmi,0.020971%
Farhan,0.020971%
Hardi,0.020971%
Triyanto,0.020736%
Setiabudi,0.020736%
Hasyim,0.020736%
Dedy,0.020736%
Bintang,0.020736%
Yudhistira,0.020736%
Wijayanti,0.020736%
Rosadi,0.020500%
Ivan,0.020500%
As,0.020500%
Agustin,0.020500%
Hardianto,0.020500%
Majid,0.020500%
Effendy,0.020500%
Kurniawati,0.020500%
Krisna,0.020500%
Novita,0.020264%
Affandi,0.020264%
Hari,0.020264%
Erlangga,0.020264%
Ni,0.020029%
Tanuwijaya,0.020029%
Syam,0.020029%
Andriansyah,0.020029%
Hendri,0.020029%
Haq,0.020029%
Budiarto,0.020029%
Raditya,0.019793%
Ichsan,0.019793%
Nurhadi,0.019793%
Gilang,0.019793%
Tirta,0.019793%
Syafii,0.019793%
Al,0.019793%
Aryanto,0.019793%
Mustafa,0.019793%
Jamil,0.019793%
Jonathan,0.019793%
Developer,0.019793%
Puspitasari,0.019793%
Winarno,0.019793%
Wayan,0.019793%
Rio,0.019558%
Rahmawan,0.019558%
Napitupulu,0.019558%
Teknologi,0.019558%
Muda,0.019558%
Yono,0.019558%
Widya,0.019558%
Imron,0.019322%
Negara,0.019322%
Gozali,0.019322%
Suryani,0.019322%
Asia,0.019322%
Apriyanto,0.019322%
Baihaqi,0.019322%
Komarudin,0.019322%
Kusumah,0.019322%
Yusup,0.019322%
Thomas,0.019086%
Sitompul,0.019086%
Sukses,0.019086%
