LastName,Percentage
Murphy,1.132478%
Kelly,1.042187%
Byrne,0.790525%
Walsh,0.755946%
Ryan,0.730972%
Doyle,0.486994%
Mccarthy,0.461060%
O-brien,0.451454%
O-connor,0.438007%
O-sullivan,0.378453%
Lynch,0.371729%
Murray,0.370769%
Dunne,0.345795%
Collins,0.342913%
Daly,0.325623%
Burke,0.313136%
Smith,0.312176%
Kavanagh,0.305452%
Brennan,0.303531%
Fitzgerald,0.291044%
O-neill,0.286241%
Kennedy,0.281439%
Nolan,0.280478%
Duffy,0.272794%
Flynn,0.268951%
Healy,0.260307%
Martin,0.259346%
Carroll,0.258386%
Quinn,0.258386%
Moore,0.256464%
Whelan,0.253583%
Power,0.246859%
Kenny,0.243017%
Foley,0.235333%
Farrell,0.234372%
Brady,0.226688%
Clarke,0.224767%
Gallagher,0.223806%
Doherty,0.221885%
Keane,0.219964%
Hughes,0.219003%
Reilly,0.211319%
Barry,0.210358%
Ltd,0.208437%
Browne,0.207477%
Sweeney,0.203635%
Hayes,0.203635%
Moran,0.198832%
Casey,0.188266%
Cunningham,0.188266%
O-reilly,0.184424%
Cullen,0.179621%
Ward,0.179621%
Fitzpatrick,0.177700%
Buckley,0.177700%
Butler,0.177700%
Griffin,0.173858%
Sullivan,0.171937%
Mcdonnell,0.171937%
King,0.170976%
Maguire,0.170016%
Delaney,0.170016%
Maher,0.169055%
Smyth,0.164253%
Hickey,0.164253%
Mcgrath,0.161371%
Donnelly,0.158489%
Roche,0.157529%
Hogan,0.155608%
Jones,0.153687%
Egan,0.153687%
White,0.151765%
O-connell,0.150805%
Mcmahon,0.148884%
Flanagan,0.147923%
Sheridan,0.144081%
Molloy,0.140239%
Campbell,0.139278%
Cahill,0.139278%
Cronin,0.138318%
Boyle,0.137357%
O-shea,0.136397%
Higgins,0.135436%
Mccormack,0.134476%
Curran,0.134476%
Keogh,0.134476%
Dolan,0.133515%
Mckenna,0.132555%
Dowling,0.132555%
Costello,0.131594%
Lyons,0.130634%
Redmond,0.128712%
O-leary,0.127752%
Lee,0.124870%
Hennessy,0.123910%
Duggan,0.122949%
Dempsey,0.122949%
Carey,0.121028%
Mooney,0.119107%
Lawlor,0.119107%
Sheehan,0.117186%
Corcoran,0.116225%
Obrien,0.115265%
Kearney,0.115265%
John,0.114304%
Phelan,0.114304%
Malone,0.113344%
Barrett,0.113344%
Joyce,0.112383%
Kinsella,0.112383%
Gleeson,0.110462%
Brien,0.109502%
Coleman,0.108541%
Department,0.108541%
Allen,0.107581%
Fleming,0.107581%
Fox,0.107581%
Oneill,0.107581%
Moloney,0.107581%
Mcloughlin,0.106620%
Morris,0.106620%
Brown,0.106620%
O-donnell,0.105660%
O-toole,0.105660%
Crowley,0.105660%
Clancy,0.105660%
Thomas,0.104699%
Hurley,0.104699%
Callaghan,0.102778%
Cleary,0.102778%
Mcdonald,0.101817%
Cummins,0.100857%
Mahon,0.099896%
Leonard,0.099896%
Tierney,0.098936%
Anderson,0.098936%
Oconnor,0.098936%
O-callaghan,0.098936%
Mccabe,0.098936%
Leahy,0.098936%
Hynes,0.097975%
Mcnamara,0.097975%
Madden,0.097015%
O-keeffe,0.096054%
Davis,0.096054%
O-donoghue,0.094133%
O-donovan,0.094133%
Jordan,0.094133%
Coyle,0.094133%
Bourke,0.093172%
Wilson,0.093172%
Russell,0.092212%
Neill,0.092212%
Glynn,0.092212%
Mcdonagh,0.092212%
Heffernan,0.090291%
Kirwan,0.090291%
Thompson,0.089330%
Tobin,0.089330%
Mccann,0.089330%
Keating,0.089330%
Mulcahy,0.088370%
Rooney,0.087409%
Regan,0.087409%
Long,0.087409%
Osullivan,0.086449%
Woods,0.086449%
Gavin,0.085488%
Greene,0.085488%
Taylor,0.085488%
Farrelly,0.085488%
Lennon,0.085488%
Forde,0.084528%
Coughlan,0.084528%
Quigley,0.084528%
Kelleher,0.084528%
Reynolds,0.083567%
Stewart,0.083567%
Dalton,0.083567%
Keenan,0.083567%
Larkin,0.083567%
Dwyer,0.082607%
Bradley,0.082607%
Wall,0.082607%
Carr,0.081646%
Doran,0.081646%
Kane,0.081646%
Ireland,0.080685%
Cooney,0.080685%
Finn,0.079725%
Finnegan,0.079725%
Mcdermott,0.079725%
Mcgovern,0.079725%
James,0.079725%
Coffey,0.079725%
Cotter,0.079725%
Williams,0.079725%
O-rourke,0.078764%
Scott,0.077804%
Mcguinness,0.077804%
Breen,0.077804%
Grant,0.076843%
Mchugh,0.076843%
Kiely,0.076843%
Paul,0.076843%
Morgan,0.075883%
Bolger,0.075883%
Reid,0.074922%
Robinson,0.074922%
Johnson,0.074922%
Dillon,0.074922%
O-driscoll,0.073962%
O-dwyer,0.073962%
Hunt,0.073962%
Morrissey,0.073962%
Kiernan,0.073962%
Treacy,0.073001%
Feeney,0.073001%
Mullen,0.073001%
David,0.073001%
Kearns,0.073001%
Fogarty,0.072041%
Purcell,0.072041%
O-mahony,0.071080%
Mclaughlin,0.071080%
Cassidy,0.071080%
Donovan,0.071080%
Lane,0.071080%
Gorman,0.070119%
Wallace,0.070119%
Geraghty,0.069159%
Flaherty,0.069159%
Fallon,0.069159%
Flood,0.068198%
Mitchell,0.068198%
Mcevoy,0.068198%
Galvin,0.067238%
Fahy,0.067238%
Horan,0.067238%
Hanley,0.067238%
Jackson,0.067238%
Donoghue,0.067238%
Burns,0.067238%
