LastName,Percentage
Cohen,1.805488%
Ltd,1.729871%
Levy,0.607009%
Levi,0.560395%
David,0.330436%
Tal,0.269321%
Katz,0.248604%
Bar,0.235138%
Mor,0.232031%
Golan,0.216493%
Lev,0.192668%
Moshe,0.191632%
Segal,0.183346%
Sharon,0.178166%
Mizrahi,0.176095%
Chen,0.174023%
Dahan,0.170915%
Alon,0.167808%
Gal,0.161593%
Levin,0.152270%
Koren,0.147091%
Klein,0.145019%
Barak,0.142947%
Weiss,0.142947%
Shapira,0.141912%
Oren,0.141912%
Harel,0.139840%
Raz,0.137768%
Avraham,0.135696%
Israel,0.132589%
Daniel,0.132589%
Goldberg,0.131553%
Goldstein,0.130517%
Friedman,0.129481%
Peretz,0.127410%
Shalev,0.126374%
Amir,0.126374%
Dror,0.124302%
Shahar,0.122230%
Rubin,0.120159%
Maor,0.120159%
Schwartz,0.118087%
Shalom,0.117051%
Malka,0.116015%
Lavi,0.116015%
Peled,0.112908%
Ron,0.111872%
Aharon,0.111872%
Shaked,0.110836%
Zohar,0.109800%
Shemesh,0.109800%
Kaplan,0.108764%
Israeli,0.107728%
Paz,0.107728%
Peleg,0.106693%
Ziv,0.105657%
Amar,0.105657%
Meir,0.105657%
Goren,0.104621%
Yosef,0.103585%
Gabay,0.102549%
Tamir,0.102549%
Dayan,0.102549%
Dagan,0.102549%
Erez,0.101513%
Keren,0.099442%
Ashkenazi,0.098406%
Ronen,0.096334%
Segev,0.096334%
Stern,0.096334%
Sela,0.096334%
Haim,0.096334%
Ohayon,0.095298%
Hadad,0.095298%
Hazan,0.095298%
Doron,0.095298%
Feldman,0.094262%
Fridman,0.091155%
Eyal,0.091155%
Rotem,0.089083%
Baruch,0.089083%
Aviv,0.088047%
Or,0.088047%
Dvir,0.088047%
Hadar,0.087011%
Miller,0.087011%
Solomon,0.085976%
Porat,0.085976%
Nir,0.083904%
Biton,0.083904%
Regev,0.080796%
Arad,0.079761%
Berger,0.079761%
Shani,0.078725%
Shachar,0.078725%
Zamir,0.077689%
Ezra,0.077689%
Privacy,0.077689%
Goldman,0.076653%
Gordon,0.075617%
Rosenberg,0.074581%
Gil,0.074581%
Rosen,0.073545%
Dor,0.073545%
Perry,0.073545%
Geva,0.072510%
Avital,0.072510%
Almog,0.072510%
Elbaz,0.072510%
Kaufman,0.071474%
Lahav,0.071474%
Shitrit,0.070438%
Azulay,0.070438%
Vaknin,0.070438%
Gutman,0.069402%
Amit,0.069402%
Zur,0.068366%
Sasson,0.068366%
Greenberg,0.067330%
Gur,0.067330%
Simon,0.067330%
Adler,0.067330%
Caspi,0.067330%
Michael,0.066294%
Gross,0.065259%
Gilad,0.065259%
Green,0.064223%
Shavit,0.064223%
Dan,0.064223%
Ben,0.064223%
Perez,0.064223%
Avi,0.063187%
Ovadia,0.063187%
Oz,0.063187%
Ra,0.062151%
Gilboa,0.062151%
Mizrachi,0.062151%
Melamed,0.062151%
Dotan,0.062151%
Barzilay,0.062151%
Yaniv,0.062151%
Tov,0.061115%
Raviv,0.060079%
Gold,0.060079%
Maman,0.060079%
Dekel,0.060079%
Arbel,0.059043%
Ohana,0.059043%
Inbar,0.058008%
Naor,0.058008%
Guy,0.058008%
Aharoni,0.058008%
Barnea,0.058008%
Ran,0.056972%
Sapir,0.056972%
Avni,0.056972%
Mazor,0.056972%
Edri,0.056972%
Lior,0.056972%
Lavie,0.056972%
Rabinovich,0.055936%
Shoham,0.055936%
Stein,0.055936%
Asher,0.055936%
Amsalem,0.055936%
Bitton,0.054900%
Kogan,0.054900%
Rozen,0.053864%
Gazit,0.053864%
Goldenberg,0.053864%
Shlomo,0.053864%
Shay,0.053864%
Eli,0.053864%
Shushan,0.052828%
Sagi,0.052828%
Harari,0.052828%
Moran,0.052828%
Bachar,0.052828%
Nahum,0.051793%
Grinberg,0.051793%
Abramov,0.051793%
Ofer,0.051793%
Barel,0.051793%
Landau,0.051793%
Yahav,0.051793%
Wolf,0.051793%
Ram,0.050757%
Roth,0.050757%
Rubinstein,0.050757%
Ari,0.050757%
Ofir,0.050757%
Maimon,0.050757%
Menashe,0.050757%
Berman,0.050757%
Baron,0.050757%
Yaron,0.050757%
Peer,0.050757%
Zilberman,0.049721%
Salomon,0.049721%
Atias,0.049721%
Fishman,0.049721%
Fogel,0.049721%
Sofer,0.048685%
Shmuel,0.048685%
Shmueli,0.048685%
Azoulay,0.048685%
Marom,0.048685%
Dolev,0.048685%
Khoury,0.048685%
Kadosh,0.048685%
Lerner,0.048685%
Nagar,0.047649%
Naim,0.047649%
Ariel,0.047649%
Manor,0.047649%
Elad,0.047649%
Turgeman,0.046613%
Smith,0.046613%
Frank,0.046613%
Hen,0.046613%
Margalit,0.046613%
Drori,0.046613%
Weinstein,0.046613%
Ilan,0.045577%
Noy,0.045577%
Sherman,0.045577%
Adar,0.045577%
Yogev,0.045577%
Sabag,0.044542%
Sadeh,0.044542%
Shamir,0.044542%
Ofek,0.044542%
Deutsch,0.044542%
Blum,0.044542%
Magen,0.043506%
Elimelech,0.043506%
Yehuda,0.043506%
Rozenberg,0.042470%
Gonen,0.042470%
Saar,0.042470%
Oron,0.042470%
Meshulam,0.042470%
Meiri,0.042470%
Carmel,0.042470%
Yona,0.042470%
Reznik,0.041434%
Reshef,0.041434%
Nevo,0.041434%
Sharabi,0.041434%
Saban,0.041434%
Steinberg,0.041434%
Ayalon,0.041434%
Adam,0.041434%
Adi,0.041434%
Fisher,0.041434%
Frenkel,0.041434%
Halevi,0.041434%
Michaeli,0.041434%
Eshel,0.041434%
Kedem,0.041434%
Idan,0.040398%
Nadav,0.040398%
Tzur,0.040398%
Salman,0.040398%
Angel,0.040398%
Haddad,0.040398%
Liberman,0.040398%
Rahamim,0.039362%
Tomer,0.039362%
Shai,0.039362%
Aloni,0.039362%
Hoffman,0.039362%
Halfon,0.039362%
Herman,0.039362%
