LastName,Percentage
Jonsson,2.397661%
Gudmundsson,1.739766%
Sigurdsson,1.593567%
Gunnarsson,1.374269%
Olafsson,1.140351%
Einarsson,1.052632%
Magnusson,0.774854%
Kristjansson,0.774854%
Stefansson,0.701754%
Johannsson,0.687135%
Gislason,0.657895%
Arnason,0.643275%
Bjarnason,0.643275%
Kristinsson,0.643275%
Bjornsson,0.628655%
Thorsteinsson,0.584795%
Sigurdardottir,0.584795%
Jonsdottir,0.540936%
Halldorsson,0.526316%
Gudjonsson,0.511696%
Einarsdottir,0.467836%
Helgason,0.453216%
Haraldsson,0.438596%
Ragnarsson,0.423977%
Ehf,0.423977%
Petursson,0.394737%
Jon,0.380117%
Sveinsson,0.365497%
Hardarson,0.365497%
Benediktsson,0.365497%
Gunnarsdottir,0.350877%
Thordarson,0.350877%
Gudmundsdottir,0.336257%
Thorisson,0.336257%
Reynisson,0.321637%
Helgadottir,0.321637%
Valsson,0.321637%
Karlsson,0.321637%
Kristjansdottir,0.321637%
Palsson,0.321637%
Oskarsson,0.307018%
Johannesson,0.307018%
Kjartansson,0.307018%
Skulason,0.292398%
Arnarson,0.292398%
Magnusdottir,0.292398%
Birgisson,0.292398%
Sigurjonsson,0.277778%
Jonasson,0.277778%
Eiriksson,0.277778%
Runarsson,0.263158%
Baldursson,0.263158%
Tryggvason,0.248538%
Larusson,0.248538%
Thorhallsson,0.233918%
Sigurbjornsson,0.233918%
Halldorsdottir,0.233918%
Hauksson,0.233918%
Hafsteinsson,0.233918%
Juliusson,0.233918%
Bjarnadottir,0.233918%
Ingason,0.219298%
Gunnlaugsson,0.219298%
Smith,0.219298%
Arnadottir,0.219298%
Agustsson,0.219298%
Einar,0.219298%
Bergmann,0.219298%
Leifsson,0.219298%
Gardarsson,0.204678%
Stefansdottir,0.204678%
Saevarsson,0.204678%
Asgeirsson,0.204678%
Hilmarsson,0.204678%
Johannsdottir,0.204678%
Birgisdottir,0.204678%
Kolbeinsson,0.204678%
Kumar,0.204678%
Rafnsson,0.190058%
Gylfason,0.190058%
Tomasson,0.190058%
Thorvaldsson,0.190058%
Snorrason,0.190058%
Singh,0.190058%
Finnbogason,0.190058%
Egilsson,0.190058%
Baldvinsson,0.190058%
Ingvarsson,0.175439%
Eggertsson,0.175439%
Palmason,0.175439%
Gestsson,0.160819%
Gisladottir,0.160819%
Gudnason,0.160819%
Gunnar,0.160819%
Thorgeirsson,0.160819%
Thorkelsson,0.160819%
Sverrisson,0.160819%
Hermannsson,0.160819%
Johannesdottir,0.160819%
Eliasson,0.160819%
Bjorgvinsson,0.160819%
Bragason,0.160819%
Petursdottir,0.160819%
Svavarsson,0.146199%
Arni,0.146199%
Asgeirsdottir,0.146199%
Arnthorsson,0.146199%
Fridriksson,0.146199%
Hardardottir,0.146199%
Hannesdottir,0.146199%
David,0.146199%
Bjornsdottir,0.146199%
Baldursdottir,0.146199%
Ragnarsdottir,0.131579%
Iceland,0.131579%
Thorarinsson,0.131579%
Sigurdarson,0.131579%
Steinsson,0.131579%
Adalsteinsson,0.131579%
Olafur,0.131579%
Hjalmarsson,0.131579%
Hallgrimsson,0.131579%
Danielsson,0.131579%
Erlingsson,0.131579%
Eyjolfsson,0.131579%
Palsdottir,0.131579%
Ivarsson,0.116959%
Ingolfsson,0.116959%
Gudmundur,0.116959%
Gretarsson,0.116959%
Traustadottir,0.116959%
Thoroddsen,0.116959%
Steingrimsson,0.116959%
Arnorsson,0.116959%
Alfredsson,0.116959%
Omarsson,0.116959%
Heimisson,0.116959%
Hall,0.116959%
Hrafnkelsson,0.116959%
Valdimarsson,0.116959%
Vidarsdottir,0.116959%
Vidarsson,0.116959%
Vilhjalmsson,0.116959%
Birgir,0.116959%
Karl,0.116959%
Kristinsdottir,0.116959%
Kristjan,0.116959%
Loftsson,0.116959%
Ingolfsdottir,0.102339%
Grondal,0.102339%
Gudfinnsson,0.102339%
Thor,0.102339%
Thordardottir,0.102339%
Sigurdur,0.102339%
Sharma,0.102339%
Skuladottir,0.102339%
