LastName,Percentage
Duff,6.666667%
Rutledge,3.333333%
Gouzinis,3.333333%
Thorpe,3.333333%
Tolman,3.333333%
Torres,3.333333%
Simon,3.333333%
Secretaries,3.333333%
Slabber,3.333333%
Mildon,3.333333%
Ma,3.333333%
Martins,3.333333%
Molle,3.333333%
Mcdonagh,3.333333%
Collar,3.333333%
Cavill,3.333333%
Cardoso,3.333333%
Coopey,3.333333%
Caro,3.333333%
Drinkwater,3.333333%
Daubeney,3.333333%
Davies,3.333333%
Eyre,3.333333%
Bisson,3.333333%
Bond,3.333333%
Balderson,3.333333%
Leblanc,3.333333%
Whipp,3.333333%
Wilson,3.333333%
