LastName,Percentage
Brown,4.024801%
Williams,3.752709%
Smith,2.741392%
Campbell,2.475319%
Johnson,1.702384%
Thomas,1.500120%
Henry,1.477245%
Gordon,1.472430%
Reid,1.443535%
Robinson,1.255719%
Davis,1.165423%
Grant,1.154587%
Edwards,1.123284%
Anderson,1.118469%
Francis,1.104021%
Wright,1.091982%
Wilson,1.025765%
Stewart,1.018541%
Miller,0.941488%
Allen,0.919817%
James,0.912593%
Walker,0.910185%
Morgan,0.886106%
Powell,0.865639%
Green,0.864435%
Richards,0.818685%
Lawrence,0.716350%
Mckenzie,0.709126%
Jackson,0.705514%
Watson,0.705514%
Graham,0.693475%
White,0.681435%
Lewis,0.676619%
Thompson,0.663376%
Morris,0.657356%
Samuels,0.650132%
Hall,0.650132%
Dixon,0.623646%
Clarke,0.609198%
Daley,0.583915%
Nelson,0.532145%
Walters,0.528534%
Mcdonald,0.506863%
Douglas,0.492415%
Mitchell,0.477968%
Ellis,0.440645%
Murray,0.434626%
Jones,0.374428%
Taylor,0.363593%
Roberts,0.358777%
Wallace,0.349145%
Young,0.338310%
Phillips,0.326270%
Shaw,0.315435%
Hamilton,0.307007%
Evans,0.291356%
Bailey,0.282928%
Scott,0.267277%
Barrett,0.258849%
Burke,0.256441%
Spencer,0.246810%
Palmer,0.240790%
Blair,0.238382%
Reynolds,0.227546%
Martin,0.227546%
Gayle,0.225138%
Chambers,0.225138%
Myers,0.219119%
King,0.219119%
Bennett,0.215507%
Lee,0.208283%
Simpson,0.201059%
Blake,0.201059%
Bryan,0.197448%
Chin,0.195040%
Sutherland,0.192632%
Beckford,0.191428%
Mcpherson,0.190224%
Moore,0.189020%
Rose,0.186612%
Harris,0.186612%
Hill,0.185408%
Swaby,0.180592%
Knight,0.180592%
Hunter,0.169757%
Burton,0.167349%
Lynch,0.167349%
Cooper,0.163737%
Foster,0.161329%
Rowe,0.158921%
Morrison,0.157717%
Riley,0.156513%
Forbes,0.155309%
Mcfarlane,0.150494%
Leslie,0.150494%
Mclean,0.149290%
Mills,0.149290%
Sinclair,0.146882%
