LastName,Percentage
Ahmad,0.841539%
Ali,0.572475%
Mohammad,0.538127%
Hamdan,0.486604%
Haddad,0.446531%
Saleh,0.395008%
Yousef,0.337760%
Omar,0.332036%
Jordan,0.326311%
Odeh,0.320586%
Hussein,0.303412%
Hammad,0.297687%
Mansour,0.297687%
Ibrahim,0.291962%
Hasan,0.291962%
Mahmoud,0.291962%
Jaber,0.291962%
Salameh,0.286238%
Awad,0.263339%
Mohammed,0.234715%
Khaled,0.234715%
Nassar,0.223265%
Daoud,0.223265%
Awwad,0.217541%
Co,0.217541%
Alkhatib,0.211816%
Salem,0.206091%
Ahmed,0.206091%
Khoury,0.206091%
Mustafa,0.200366%
Khader,0.200366%
Pp,0.200366%
Issa,0.194642%
Ismail,0.194642%
Khalil,0.194642%
Hassan,0.188917%
Hashem,0.183192%
Naser,0.171743%
Nasser,0.171743%
Shahin,0.171743%
Abdallah,0.171743%
Barakat,0.171743%
Badran,0.171743%
Steitieh,0.166018%
Abdullah,0.166018%
Othman,0.166018%
Hamad,0.166018%
Samara,0.160293%
Shaban,0.154568%
Amer,0.154568%
Masri,0.154568%
Younis,0.154568%
Sawalha,0.148844%
Najjar,0.143119%
Alkhateeb,0.143119%
Abdo,0.143119%
Alzoubi,0.143119%
Malkawi,0.143119%
Kilani,0.143119%
Taha,0.137394%
Abed,0.137394%
Obeidat,0.137394%
Bader,0.137394%
Tarawneh,0.131669%
Tamimi,0.131669%
Almasri,0.131669%
Assaf,0.131669%
Osama,0.131669%
Hijazi,0.131669%
Haddadin,0.131669%
Musa,0.131669%
Rawashdeh,0.125945%
Mousa,0.125945%
Khalaf,0.125945%
Salah,0.120220%
Hani,0.120220%
Nasrallah,0.114495%
Bataineh,0.114495%
Khatib,0.114495%
Kamal,0.114495%
Lattouf,0.114495%
Irshaid,0.108770%
Shehadeh,0.108770%
Shaheen,0.108770%
Saadeh,0.108770%
Alomari,0.108770%
Adel,0.108770%
Hamed,0.108770%
Masoud,0.108770%
Jaradat,0.108770%
Jadallah,0.108770%
Darwish,0.108770%
Kawar,0.108770%
Ghazal,0.103046%
Zayed,0.103046%
Zalloum,0.103046%
Salman,0.103046%
Alqudah,0.103046%
Abdelhadi,0.103046%
Hijjawi,0.103046%
Jarrar,0.103046%
Qasem,0.103046%
Kanaan,0.103046%
Team,0.097321%
Alawneh,0.097321%
Amro,0.097321%
Ammari,0.097321%
Omran,0.097321%
Murad,0.097321%
