LastName,Percentage
Mwangi,1.371933%
Maina,0.967329%
Kamau,0.930124%
Otieno,0.820835%
Njoroge,0.637135%
Kariuki,0.620858%
Kimani,0.532496%
Omondi,0.479014%
Kenya,0.446460%
Odhiambo,0.444134%
Karanja,0.437158%
Ochieng,0.425532%
Ltd,0.416231%
Macharia,0.406929%
Shah,0.392978%
Onyango,0.383676%
Njuguna,0.379026%
Waweru,0.346471%
Mbugua,0.341821%
Chege,0.339495%
Wachira,0.327869%
Mutua,0.304616%
Mohamed,0.297640%
Njenga,0.276712%
Juma,0.274387%
Ndungu,0.272061%
Mungai,0.272061%
Muriithi,0.267411%
Africa,0.265085%
Gitau,0.260435%
Nganga,0.255784%
Munene,0.241832%
Kinyua,0.232531%
Ngugi,0.223230%
Mwaura,0.220905%
Mburu,0.213929%
Wambua,0.206953%
Mwaniki,0.199977%
Gitonga,0.197651%
Okello,0.195326%
Githinji,0.193001%
Muriuki,0.190676%
Ouma,0.186025%
Muchiri,0.186025%
Njeru,0.183700%
Patel,0.183700%
Wambugu,0.183700%
Kuria,0.179049%
Mugo,0.176724%
Wafula,0.176724%
Mwenda,0.174398%
Peter,0.174398%
Ali,0.172073%
Kinyanjui,0.162772%
Wanjohi,0.162772%
Ndegwa,0.158121%
Owino,0.158121%
Oluoch,0.158121%
Wainaina,0.158121%
Kiarie,0.155796%
Nyaga,0.153471%
Client,0.153471%
Ndirangu,0.151145%
John,0.151145%
Mugambi,0.148820%
Wanyoike,0.148820%
Kirui,0.146495%
Kinuthia,0.146495%
Waithaka,0.146495%
Irungu,0.144169%
Wanjiru,0.144169%
Rono,0.139519%
Ahmed,0.139519%
Njogu,0.137193%
Opiyo,0.137193%
Hassan,0.137193%
Media,0.137193%
Koech,0.137193%
Kimathi,0.134868%
Abdi,0.132543%
Okumu,0.132543%
Wanjiku,0.132543%
Nderitu,0.130217%
Odongo,0.130217%
Joseph,0.130217%
Gichuki,0.127892%
Muturi,0.127892%
Hussein,0.125567%
Mutinda,0.123241%
Kibet,0.123241%
Mwai,0.120916%
Mutai,0.120916%
Momanyi,0.120916%
Kioko,0.120916%
Muiruri,0.118591%
Mutuku,0.116266%
Njeri,0.113940%
Okoth,0.113940%
Kyalo,0.113940%
Murithi,0.109290%
Mathenge,0.109290%
David,0.109290%
Bett,0.109290%
Ngari,0.104639%
Simiyu,0.104639%
Muli,0.104639%
Master,0.104639%
Korir,0.102314%
Makau,0.099988%
Mureithi,0.099988%
Muthoni,0.099988%
Charles,0.099988%
Langat,0.099988%
George,0.095338%
Mwendwa,0.095338%
Karani,0.095338%
Wambui,0.095338%
Oduor,0.093012%
Owuor,0.093012%
Mutisya,0.093012%
Kirimi,0.093012%
Musyoka,0.090687%
Njagi,0.088362%
Gichuhi,0.086037%
James,0.086037%
Wekesa,0.086037%
Ireri,0.083711%
Cheruiyot,0.083711%
Kevin,0.083711%
Paul,0.083711%
Inc,0.081386%
Terik,0.081386%
Stephen,0.081386%
Ogutu,0.081386%
Bosire,0.081386%
Kibe,0.081386%
Khan,0.081386%
Karuri,0.081386%
Wanjala,0.081386%
Singh,0.079061%
Omar,0.079061%
Muigai,0.079061%
Michael,0.079061%
Daniel,0.079061%
Kiragu,0.079061%
Ibrahim,0.076735%
Njiru,0.076735%
Thuo,0.076735%
Oloo,0.076735%
Wanyonyi,0.076735%
Ngigi,0.074410%
Gikonyo,0.074410%
Abdullahi,0.074410%
Murimi,0.074410%
Manager,0.074410%
Were,0.074410%
Wahome,0.074410%
Njoki,0.072085%
Ngure,0.072085%
