LastName,Percentage
Mamytov,1.098418%
Kim,0.483304%
Sadykov,0.439367%
Ismailov,0.351494%
Sergey,0.351494%
Uulu,0.307557%
Satybaldiev,0.307557%
Abakirov,0.307557%
Ismailova,0.263620%
Aliev,0.263620%
Aitmatov,0.263620%
Abdyldaev,0.263620%
Karimov,0.263620%
Ibraimov,0.219684%
Ivanov,0.219684%
Guseinov,0.219684%
Sultanova,0.219684%
Asanov,0.219684%
Osmonov,0.219684%
Hasanov,0.219684%
Muratov,0.219684%
Cherikov,0.219684%
Baktybek,0.219684%
Kubatov,0.219684%
Kalmyrzaev,0.219684%
Isaev,0.175747%
Tairov,0.175747%
Tuhvatshin,0.175747%
Seidesimbaev,0.175747%
Sydykov,0.175747%
Akhmatov,0.175747%
Akhrameev,0.175747%
Aleksandr,0.175747%
Dmitriy,0.175747%
Vladimirovich,0.175747%
Vishnev,0.175747%
Bakanov,0.175747%
Kanatbek,0.175747%
Kasymov,0.175747%
Kozdrovich,0.175747%
Khegai,0.175747%
Yusupov,0.175747%
Ruslan,0.131810%
Roziev,0.131810%
Rm,0.131810%
Usenov,0.131810%
Ibragimov,0.131810%
Ialovkin,0.131810%
Imanbekov,0.131810%
Imashov,0.131810%
Isakov,0.131810%
Nyshanov,0.131810%
Nurzhanov,0.131810%
Nikitin,0.131810%
Gudov,0.131810%
Gaidamako,0.131810%
Zhanybekov,0.131810%
Zhoomartov,0.131810%
Zhanadylov,0.131810%
Tagaev,0.131810%
Tabaldiev,0.131810%
Tokoev,0.131810%
Tursunkulov,0.131810%
Toktomambetov,0.131810%
Sultanbekov,0.131810%
Sydykova,0.131810%
Shaihudinov,0.131810%
Almaz,0.131810%
Abdullaev,0.131810%
Animesh,0.131810%
Anvarbekov,0.131810%
Alymbaev,0.131810%
Askerov,0.131810%
Abdurasulov,0.131810%
Asanaliev,0.131810%
Abdykerimova,0.131810%
Abdraimov,0.131810%
Alimbekov,0.131810%
Amin,0.131810%
Olga,0.131810%
Oo,0.131810%
Okenov,0.131810%
Omuraliev,0.131810%
Matraimov,0.131810%
Murataliev,0.131810%
Melnikov,0.131810%
Donets,0.131810%
Dzhumaliev,0.131810%
Elena,0.131810%
Bektemirov,0.131810%
Begaliev,0.131810%
Bezdornov,0.131810%
Barakanov,0.131810%
Beishenaliev,0.131810%
Kadirov,0.131810%
Khasanova,0.131810%
Kg,0.131810%
