LastName,Percentage
Mr,1.147945%
Sok,0.957554%
Bun,0.901557%
Heng,0.783962%
Ly,0.711166%
Chea,0.671968%
Lim,0.655169%
Tan,0.615970%
Chan,0.571173%
Kim,0.565573%
Seng,0.498376%
Kong,0.431179%
Dara,0.419980%
Leng,0.369582%
Keo,0.358383%
Piseth,0.324784%
Long,0.319185%
Meng,0.307985%
Cambodia,0.307985%
Sun,0.291186%
Mao,0.291186%
Sopheak,0.274387%
San,0.268787%
Hong,0.268787%
Cheng,0.268787%
Ratha,0.263187%
Sim,0.257588%
Lay,0.257588%
Touch,0.251988%
Try,0.251988%
Sothea,0.251988%
Veasna,0.251988%
Makara,0.246388%
Chum,0.240788%
Khmer,0.235189%
Panha,0.235189%
Lee,0.229589%
Wang,0.229589%
Tep,0.223989%
Meas,0.218390%
Chen,0.212790%
Chhay,0.212790%
Pech,0.212790%
Sam,0.207190%
Socheat,0.207190%
Sopheap,0.207190%
Seang,0.201590%
Rithy,0.195991%
Vuthy,0.195991%
Pen,0.195991%
Samnang,0.190391%
Sophea,0.184791%
Vanna,0.184791%
Eng,0.179191%
Pich,0.173592%
Ty,0.162392%
Kiry,0.162392%
Sovann,0.156792%
Seyha,0.156792%
So,0.151193%
Chhun,0.151193%
Kheng,0.151193%
Leang,0.151193%
Vann,0.145593%
Van,0.145593%
Sreng,0.139993%
Sambath,0.139993%
On,0.139993%
Heang,0.139993%
Mony,0.139993%
Chhim,0.139993%
Pov,0.139993%
Ratana,0.134394%
Ny,0.134394%
Tith,0.134394%
Tola,0.134394%
Som,0.134394%
Ouk,0.134394%
Hem,0.134394%
Chheng,0.134394%
Dy,0.134394%
Bora,0.134394%
Ung,0.128794%
Sokha,0.128794%
Mean,0.128794%
Mom,0.128794%
Chandara,0.128794%
Bou,0.128794%
Li,0.128794%
Phan,0.128794%
Ros,0.123194%
Noun,0.123194%
Nguon,0.123194%
Teng,0.123194%
Thy,0.123194%
Sao,0.123194%
Raksmey,0.117594%
Nuon,0.117594%
Sek,0.117594%
Sophal,0.117594%
An,0.117594%
Hun,0.117594%
Hak,0.117594%
Chantha,0.117594%
Chamroeun,0.117594%
Chheang,0.117594%
Duong,0.117594%
Vannak,0.117594%
Khem,0.117594%
Kosal,0.117594%
Pheakdey,0.117594%
Rin,0.111995%
Im,0.111995%
Nop,0.111995%
Tang,0.111995%
Say,0.111995%
Hour,0.111995%
Hang,0.111995%
Ratanak,0.106395%
Un,0.106395%
Ang,0.106395%
Oun,0.106395%
