LastName,Percentage
Cordiner,14.634146%
You,3.658537%
Tannang,2.439024%
Dean,2.439024%
Koie,2.439024%
Rao,1.219512%
Robin,1.219512%
Ibrahim,1.219512%
Nimei,1.219512%
Negri,1.219512%
Gladys,1.219512%
Zenduki,1.219512%
Tabaki,1.219512%
Tatireta,1.219512%
Temareti,1.219512%
Timeon,1.219512%
Tong,1.219512%
Tebwaatoki,1.219512%
Tawita,1.219512%
Suwan,1.219512%
Surala,1.219512%
Strub,1.219512%
Sattva,1.219512%
Sybril,1.219512%
Soland,1.219512%
Agent,1.219512%
Arita,1.219512%
Aggarwal,1.219512%
Ford,1.219512%
Fshg,1.219512%
Osman,1.219512%
Omato,1.219512%
Omondi,1.219512%
Harris,1.219512%
Hong,1.219512%
Muua,1.219512%
Mannsfeldner,1.219512%
Maen,1.219512%
Matang,1.219512%
Men,1.219512%
Mateo,1.219512%
Muee,1.219512%
Matai,1.219512%
Martinson,1.219512%
Maloku,1.219512%
Jerome,1.219512%
Jong,1.219512%
Jacob,1.219512%
Jean,1.219512%
John,1.219512%
Jbbn,1.219512%
Ji,1.219512%
Copeland,1.219512%
Dijubuwa,1.219512%
Vitech,1.219512%
Erika,1.219512%
Bailey,1.219512%
Bnma,1.219512%
Kabuati,1.219512%
Kaongotao,1.219512%
Lopez,1.219512%
Pickles,1.219512%
Pools,1.219512%
Parada,1.219512%
Weeks,1.219512%
Wenasda,1.219512%
