LastName,Percentage
Williams,5.571909%
Liburd,3.952902%
Pemberton,2.123633%
Jeffers,1.913373%
James,1.661060%
Francis,1.597981%
Browne,1.576955%
Mills,1.492851%
Warner,1.345669%
Thomas,1.240538%
Richards,1.198486%
Clarke,1.135408%
Walters,1.051304%
Hanley,0.946173%
Powell,0.946173%
Gumbs,0.904121%
Nisbett,0.862069%
Joseph,0.777965%
Rawlins,0.735913%
Jones,0.714886%
Maynard,0.630782%
Morton,0.630782%
Richardson,0.609756%
Thompson,0.609756%
Matthew,0.609756%
Huggins,0.588730%
Henry,0.588730%
Caines,0.588730%
Woodley,0.567704%
Phillip,0.546678%
Taylor,0.525652%
Martin,0.525652%
Stapleton,0.504626%
Harris,0.504626%
Webbe,0.504626%
Escande,0.483600%
Kelly,0.483600%
Walwyn,0.483600%
Daniel,0.462574%
Herbert,0.441548%
Smith,0.399495%
Douglas,0.399495%
Tyson,0.378469%
Hodge,0.378469%
Manners,0.378469%
Lewis,0.357443%
Isaac,0.336417%
Hendrickson,0.336417%
Mc,0.336417%
Morris,0.336417%
Bass,0.336417%
Lake,0.336417%
Llc,0.336417%
Ward,0.336417%
Master,0.315391%
Evelyn,0.315391%
Lawrence,0.315391%
Wilkinson,0.315391%
Wallace,0.315391%
Hazel,0.294365%
Phipps,0.294365%
Simmonds,0.273339%
France,0.273339%
Carty,0.273339%
Weekes,0.273339%
Stanley,0.252313%
Claxton,0.252313%
Chiverton,0.252313%
Dore,0.252313%
Davis,0.252313%
Edwards,0.252313%
Wesleyan,0.252313%
Roberts,0.231287%
Rogers,0.231287%
Allen,0.231287%
Dickenson,0.231287%
Brown,0.231287%
Wilkin,0.231287%
Newman,0.210261%
Grant,0.210261%
Stevens,0.210261%
St,0.210261%
Freeman,0.210261%
Farrell,0.210261%
Edmeade,0.210261%
Griffin,0.189235%
Tyrell,0.189235%
Sutton,0.189235%
Samuel,0.189235%
Anglican,0.189235%
Hull,0.189235%
Johnson,0.189235%
Charles,0.189235%
Parris,0.189235%
Wyatt,0.189235%
Webster,0.189235%
Shaw,0.168209%
Swanston,0.168209%
Chapman,0.168209%
Catholic,0.168209%
Elliott,0.168209%
Leader,0.168209%
Rouse,0.147183%
Glasford,0.147183%
Smithen,0.147183%
Saunders,0.147183%
Manager,0.147183%
John,0.147183%
David,0.147183%
De,0.147183%
Queeley,0.147183%
Bowrin,0.147183%
Buchanan,0.147183%
Benjamin,0.147183%
Liddie,0.147183%
Ltd,0.147183%
Paul,0.147183%
Percival,0.147183%
Pennyfeather,0.147183%
Wattley,0.147183%
Nicholls,0.126156%
Gilbert,0.126156%
Skeete,0.126156%
Adams,0.126156%
Fyfield,0.126156%
Flemming,0.126156%
O-flaherty,0.126156%
Hawley,0.126156%
Hobson,0.126156%
Monkhouse,0.126156%
Christopher,0.126156%
Duncan,0.126156%
Vanterpool,0.126156%
Escher,0.126156%
Brookes,0.126156%
Bartlette,0.126156%
Bradshaw,0.126156%
Brisbane,0.126156%
Yearwood,0.126156%
Parry,0.126156%
Pereira,0.126156%
Prentice,0.126156%
Paris,0.126156%
Wilkins,0.126156%
Welsh,0.126156%
Walker,0.126156%
Woods,0.126156%
Robinson,0.105130%
Riley,0.105130%
Newton,0.105130%
Granic,0.105130%
Gordon,0.105130%
Tweed,0.105130%
Trust,0.105130%
Sharman,0.105130%
Skerritt,0.105130%
Fosbery,0.105130%
O-garro,0.105130%
Oualie,0.105130%
Henville,0.105130%
Hutchinson,0.105130%
Methodist,0.105130%
Myers,0.105130%
Molle,0.105130%
Merchant,0.105130%
Mody,0.105130%
Jong,0.105130%
Jacobs,0.105130%
Crooke,0.105130%
Cannonier,0.105130%
Challenger,0.105130%
Cabey,0.105130%
Caesar,0.105130%
Collins,0.105130%
Cumberbatch,0.105130%
Duggins,0.105130%
Dupont,0.105130%
Veira,0.105130%
Quailey,0.105130%
Brandy,0.105130%
Lanns,0.105130%
Leeward,0.105130%
Pinney,0.105130%
Wilson,0.105130%
Noyes,0.084104%
Getz,0.084104%
Surrey,0.084104%
Simon,0.084104%
Saddler,0.084104%
Sharpe,0.084104%
Straun,0.084104%
Spencer,0.084104%
Audain,0.084104%
Fletcher,0.084104%
Facey,0.084104%
O-loughlin,0.084104%
Hudson,0.084104%
Heyliger,0.084104%
Hamilton,0.084104%
Howell,0.084104%
Maloney,0.084104%
Mulraine,0.084104%
Moore,0.084104%
Miller,0.084104%
Manning,0.084104%
Mike,0.084104%
Caribbean,0.084104%
Cable,0.084104%
Eddy,0.084104%
English,0.084104%
Esdaille,0.084104%
Berridge,0.084104%
Byron,0.084104%
Boschetti,0.084104%
Knight,0.084104%
Kawaja,0.084104%
Kharafi,0.084104%
Locker,0.084104%
Psm,0.084104%
Professional,0.084104%
Peets,0.084104%
Reid,0.063078%
Rochester,0.063078%
Romney,0.063078%
Inc,0.063078%
Nelson,0.063078%
Nicholas,0.063078%
Garvey,0.063078%
Greaux,0.063078%
George,0.063078%
Gillanders,0.063078%
Govia,0.063078%
Zhang,0.063078%
Zakers,0.063078%
Titley,0.063078%
Trotman,0.063078%
Slader,0.063078%
Select,0.063078%
Simmons,0.063078%
Slack,0.063078%
Sweeney,0.063078%
Sahely,0.063078%
Sargeant,0.063078%
Archibald,0.063078%
Axelrod,0.063078%
Fraites,0.063078%
Fergus,0.063078%
Fraser,0.063078%
Franks,0.063078%
Forbes,0.063078%
Fontaine,0.063078%
Flanders,0.063078%
Farier,0.063078%
Fiore,0.063078%
Osborne,0.063078%
Otto,0.063078%
Ottley,0.063078%
Osbourne,0.063078%
Henderson,0.063078%
Heritage,0.063078%
Hardtman,0.063078%
Hicks,0.063078%
Hunkins,0.063078%
Hewlett,0.063078%
Hyligar,0.063078%
Menon,0.063078%
Merritt,0.063078%
Mulkanoor,0.063078%
Mitchell,0.063078%
Macek,0.063078%
Mason,0.063078%
Moses,0.063078%
Mallalieu,0.063078%
Matthews,0.063078%
Julius,0.063078%
Jarvis,0.063078%
Cn,0.063078%
Chumney,0.063078%
Chaderton,0.063078%
Cornelius,0.063078%
Dyer,0.063078%
Donelly,0.063078%
Drew,0.063078%
Venner,0.063078%
Virant,0.063078%
Ebbitt,0.063078%
Ecaribbean,0.063078%
Bassue,0.063078%
Belle,0.063078%
Bennett,0.063078%
Bussue,0.063078%
Bramble,0.063078%
Butler,0.063078%
Bourne,0.063078%
Kelsick,0.063078%
Kempadoo,0.063078%
Knorr,0.063078%
Lestrade,0.063078%
Laplace,0.063078%
Levine,0.063078%
Lynch,0.063078%
Phillips,0.063078%
Patrick,0.063078%
Payne,0.063078%
Welcome,0.063078%
Wiltshire,0.063078%
Watts,0.063078%
Wilkenson,0.063078%
Watson,0.063078%
Whittaker,0.063078%
Rodrigues,0.042052%
Rawat,0.042052%
Rum,0.042052%
Rohan,0.042052%
Rennie,0.042052%
Riches,0.042052%
Revan,0.042052%
Roset,0.042052%
Rajroop,0.042052%
Rigby,0.042052%
Roth,0.042052%
Rodbro,0.042052%
Rowan,0.042052%
Robert,0.042052%
Rawlines,0.042052%
Revolutionary,0.042052%
Underhill,0.042052%
Isles,0.042052%
Noblett,0.042052%
Nias,0.042052%
Nokes,0.042052%
Nathan,0.042052%
Namazi,0.042052%
