LastName,Percentage
Kim,10.546186%
Lee,7.649288%
Park,4.104946%
Choi,2.196479%
Ltd,1.735792%
Jung,1.500754%
Kang,1.260687%
Inc,1.224141%
Cho,1.025650%
Han,0.919698%
Shin,0.907963%
Jeong,0.864711%
Jang,0.814753%
Hong,0.785918%
Young,0.766136%
Jin,0.763789%
Oh,0.762448%
Lim,0.731601%
Hyun,0.713831%
Ho,0.705784%
Hwang,0.682649%
Song,0.677619%
Yoon,0.675272%
Kwon,0.638055%
Seo,0.619614%
Min,0.561945%
Woo,0.536127%
Hee,0.518022%
Yang,0.500922%
Sung,0.464376%
Jeon,0.464376%
Won,0.462699%
Jun,0.449623%
Korea,0.447611%
Jo,0.415423%
Ahn,0.411735%
Moon,0.403018%
Yun,0.396647%
Yoo,0.392288%
Bae,0.390612%
Hoon,0.382900%
An,0.336966%
Hwan,0.330930%
Nam,0.330260%
Son,0.325901%
Soo,0.320872%
Seok,0.299413%
Yong,0.297402%
Chung,0.292372%
Chang,0.292372%
Ko,0.291031%
Ryu,0.290025%
Ha,0.278625%
Sun,0.268902%
Yu,0.263873%
Kyung,0.239061%
Joo,0.236714%
Jae,0.234367%
Suk,0.229673%
Eun,0.228332%
Baek,0.227661%
Tae,0.226655%
Sang,0.223303%
Chul,0.220620%
Hun,0.214585%
Ju,0.214250%
Ji,0.208215%
Cha,0.191450%
Su,0.191115%
Dong,0.187427%
Jong,0.180050%
Im,0.178374%
Yeon,0.178039%
Sik,0.175692%
Seong,0.174350%
Kyu,0.172339%
Na,0.167980%
Heo,0.167645%
Ki,0.166639%
Co,0.165968%
Cheol,0.163286%
Mi,0.161609%
Seung,0.155239%
Wook,0.150545%
Il,0.149539%
In,0.146521%
Chae,0.141492%
Hwa,0.139145%
Kwak,0.138810%
Youn,0.138474%
Shim,0.137469%
You,0.137469%
Yi,0.135457%
Koo,0.130763%
Hyung,0.129757%
Chun,0.128751%
Chan,0.126069%
Noh,0.124392%
Ok,0.105951%
Sim,0.105281%
Hyeon,0.104610%
Bang,0.102934%
Joon,0.102263%
Hyuk,0.101257%
Roh,0.099916%
Do,0.098240%
Sook,0.097569%
Hye,0.096563%
Byun,0.091869%
Sin,0.089187%
Cheon,0.088852%
Gu,0.088516%
Gyu,0.088516%
Soon,0.088181%
Choe,0.086840%
Kyoung,0.086840%
Woong,0.086840%
Dae,0.084158%
Go,0.083822%
Suh,0.080469%
Gi,0.078458%
Tech,0.075775%
Mun,0.075105%
Geun,0.074769%
Seoul,0.074434%
No,0.073428%
Myung,0.072087%
Keun,0.069740%
Yeo,0.069740%
Ja,0.067728%
Ham,0.067393%
Kong,0.065381%
Global,0.064376%
Gil,0.064040%
Hur,0.063705%
Bong,0.063705%
Wan,0.063034%
Sub,0.062699%
The,0.062364%
Pyo,0.062028%
Church,0.061023%
So,0.060687%
Koh,0.060017%
Kwan,0.060017%
Center,0.059681%
Seon,0.059346%
Eom,0.059346%
Bum,0.058005%
Kwang,0.056999%
Kyun,0.056664%
Rhee,0.055993%
Man,0.055658%
Mo,0.055323%
Bin,0.055323%
Taek,0.054317%
Bok,0.053982%
Ra,0.053311%
Hyoung,0.053311%
Yim,0.051299%
Heon,0.050964%
Ku,0.050293%
Beom,0.049958%
Media,0.049623%
Pak,0.049623%
Yeong,0.049288%
Ae,0.048617%
Um,0.048282%
Uk,0.047946%
Woon,0.046270%
Goo,0.045599%
Bak,0.045599%
Ah,0.045264%
Wang,0.045264%
Joung,0.044258%
Huh,0.043252%
Hyeok,0.042917%
Byung,0.042917%
Lab,0.042917%
Yeol,0.042917%
Joong,0.042246%
Hui,0.041911%
Gun,0.041576%
Hyo,0.040905%
Gang,0.040235%
Sohn,0.039899%
Seol,0.039564%
Gwon,0.039229%
Academy,0.038894%
Hae,0.038894%
Hak,0.038894%
Cheong,0.038894%
Clinic,0.038558%
Ran,0.038223%
Gim,0.038223%
Junho,0.038223%
Deok,0.037552%
Kook,0.037217%
Back,0.036882%
Pil,0.036882%
Rim,0.036547%
Gon,0.036211%
Studio,0.036211%
June,0.036211%
Seunghyun,0.035541%
Ma,0.035541%
Jinho,0.035541%
Jaeho,0.035205%
Jiwon,0.034535%
Joe,0.034199%
Jee,0.034199%
Kil,0.034199%
Minho,0.033864%
Chong,0.033864%
Pack,0.033864%
Ro,0.033529%
Tak,0.033529%
Jiyoung,0.033529%
Yeom,0.033529%
Ik,0.033194%
Trading,0.033194%
Baik,0.033194%
Tour,0.032523%
Rae,0.032188%
Hyejin,0.032188%
Choo,0.032188%
Seungho,0.031852%
Se,0.031517%
Jihye,0.031182%
Hyunwoo,0.030847%
Hyeong,0.030847%
Youngmin,0.030511%
Gong,0.030176%
Jeongho,0.030176%
Hyunjin,0.029841%
Kuk,0.029505%
Kyeong,0.029505%
Je,0.029170%
Ri,0.028835%
Sup,0.028835%
Jihyun,0.028835%
Gyun,0.028500%
Soft,0.028500%
Jieun,0.028500%
Youngjin,0.028500%
Donghyun,0.028164%
Un,0.027829%
Seob,0.027829%
Jaewon,0.027829%
Jiyeon,0.027829%
Food,0.027494%
Chi,0.027494%
Duk,0.027494%
Bo,0.027494%
Kee,0.027494%
Sangwon,0.027158%
Hana,0.026823%
Eunyoung,0.026823%
Mok,0.026488%
Sujin,0.026153%
Seop,0.026153%
Byeon,0.026153%
Sungmin,0.025817%
Education,0.025817%
World,0.025817%
Sam,0.025482%
Sungho,0.025482%
Jaeyoung,0.025482%
Jinyoung,0.025147%
Hospital,0.024811%
Myoung,0.024811%
Kun,0.024811%
San,0.024476%
Sanghoon,0.024476%
Hojin,0.024476%
Minsu,0.024476%
Youngho,0.024476%
Gyeong,0.024141%
Sanghyun,0.024141%
Agency,0.024141%
Maeng,0.024141%
Jongho,0.024141%
Ye,0.024141%
Guk,0.023806%
Hyojin,0.023806%
Chol,0.023806%
Sangho,0.023135%
Doo,0.023135%
Factory,0.022800%
Li,0.022800%
Rho,0.022464%
Jinwoo,0.022464%
Yujin,0.022464%
Jeung,0.022129%
Shik,0.021794%
Changho,0.021794%
Eng,0.021794%
Leem,0.021794%
Seongho,0.021459%
Paik,0.021459%
Jihoon,0.021123%
Ung,0.020788%
Si,0.020788%
Sangmin,0.020788%
Jinhee,0.020788%
Jina,0.020788%
Jongmin,0.020788%
Ram,0.020453%
Hyunjung,0.020453%
Jaehong,0.020453%
Her,0.020117%
Myeong,0.020117%
Chu,0.019782%
Ryoo,0.019447%
Hyuck,0.019447%
Jungmin,0.019447%
Quick,0.019447%
Sungjin,0.019111%
Mina,0.019111%
Jeongmin,0.019111%
Don,0.019111%
Sunhee,0.018776%
Minji,0.018776%
Minseok,0.018776%
Dongil,0.018776%
Kweon,0.018776%
Paek,0.018776%
Sunghoon,0.018441%
Sanghun,0.018441%
Hoo,0.018441%
Jungwoo,0.018441%
Duck,0.018441%
Gyeonggi-do,0.018106%
Sungwon,0.018106%
Service,0.018106%
Donghwan,0.018106%
Eunjeong,0.018106%
Eunju,0.018106%
Geon,0.017770%
Seunghwan,0.017770%
Sunyoung,0.017770%
Jungho,0.017770%
Whan,0.017770%
Wonseok,0.017770%
Inho,0.017435%
Sil,0.017435%
House,0.017435%
Minjung,0.017435%
Jeoung,0.017435%
Llc,0.017435%
Yul,0.017435%
Rok,0.017100%
Trade,0.017100%
Soyoung,0.017100%
Junghyun,0.017100%
Jay,0.017100%
Dongjin,0.017100%
Taeho,0.016764%
Byoung,0.016764%
