LastName,Percentage
Privacydotlink,29.455501%
Ebanks,2.328201%
Smith,1.539617%
Bodden,1.321817%
Jackson,1.119039%
Williams,0.886219%
Brown,0.653398%
Miller,0.600826%
Thompson,0.540744%
Powell,0.495682%
Scott,0.480661%
Mclaughlin,0.420578%
Watler,0.405558%
Powery,0.375516%
Campbell,0.360496%
Thomas,0.337965%
Bush,0.307923%
Wilson,0.285392%
Rivers,0.277882%
Johnson,0.247841%
Dilbert,0.240330%
Ltd,0.240330%
Wood,0.240330%
Hydes,0.225310%
Jones,0.225310%
Tibbetts,0.217799%
Christian,0.217799%
Clarke,0.210289%
Yates,0.210289%
Parsons,0.210289%
Hurlston,0.195268%
Kelly,0.195268%
Richards,0.187758%
Mclean,0.187758%
Parchment,0.180248%
Reid,0.172738%
Roberts,0.165227%
Banks,0.165227%
Whittaker,0.165227%
Green,0.157717%
Solomon,0.157717%
Foster,0.157717%
Farrington,0.157717%
Manderson,0.157717%
Dixon,0.157717%
Davis,0.157717%
The,0.150207%
Anderson,0.150207%
Hislop,0.150207%
Cayman,0.150207%
Van,0.150207%
Seymour,0.142696%
Burke,0.142696%
Young,0.142696%
Robinson,0.135186%
Henry,0.135186%
Moore,0.135186%
Mcfield,0.135186%
James,0.135186%
Wolfe,0.135186%
Rankin,0.127676%
Hunter,0.127676%
Lewis,0.127676%
Walker,0.127676%
White,0.127676%
Stewart,0.120165%
Martin,0.120165%
Coe,0.120165%
Wright,0.120165%
Watson,0.120165%
Grant,0.112655%
Stephenson,0.112655%
Hill,0.112655%
Hall,0.112655%
Mckenzie,0.112655%
Edwards,0.112655%
Inc,0.105145%
Tatum,0.105145%
Anglin,0.105145%
Myles,0.105145%
Douglas,0.105145%
Eden,0.105145%
Panton,0.105145%
Ryan,0.097634%
Rankine,0.097634%
Arch,0.097634%
Frederick,0.097634%
Harris,0.097634%
Mcdonald,0.097634%
Collins,0.097634%
Bailey,0.097634%
Kirkconnell,0.097634%
Lee,0.097634%
Webster,0.097634%
Walton,0.097634%
Welds,0.097634%
Nelson,0.090124%
Terry,0.090124%
Taylor,0.090124%
Evans,0.090124%
Barnett,0.090124%
Lindsay,0.090124%
Webb,0.090124%
Nixon,0.082614%
Graham,0.082614%
Shaw,0.082614%
Mitchell,0.082614%
Cohen,0.082614%
Brooks,0.082614%
Lawrence,0.082614%
Wight,0.082614%
