LastName,Percentage
Khoury,1.092922%
Haddad,0.930146%
Khalil,0.599944%
Karam,0.534834%
Ibrahim,0.520882%
Hajj,0.441819%
Daher,0.413915%
Eid,0.386011%
Abdallah,0.376709%
Maalouf,0.358106%
Farah,0.316250%
Saab,0.306948%
Azar,0.306948%
Assaf,0.302297%
Rizk,0.297647%
Saad,0.297647%
Aoun,0.283695%
Hanna,0.283695%
Semaan,0.279044%
Itani,0.274393%
Sarl,0.269742%
Abboud,0.269742%
Harb,0.269742%
Issa,0.265092%
Ayoub,0.265092%
Chahine,0.265092%
Dagher,0.265092%
Mansour,0.260441%
Saade,0.255790%
Awad,0.255790%
Lebanon,0.255790%
Daou,0.251139%
Hassan,0.241838%
Haidar,0.241838%
Diab,0.241838%
Younes,0.241838%
Nehme,0.237187%
Saba,0.237187%
Nader,0.232537%
Farhat,0.232537%
Saleh,0.227886%
Moussa,0.227886%
Sfeir,0.223235%
Asmar,0.223235%
Ali,0.223235%
Akiki,0.218584%
Jaber,0.218584%
Ghanem,0.209283%
Sal,0.209283%
Bitar,0.209283%
Ghandour,0.204632%
Sleiman,0.204632%
Saliba,0.204632%
Fawaz,0.199981%
Hage,0.199981%
Sakr,0.195331%
Sayegh,0.195331%
Hayek,0.195331%
Nasr,0.186029%
Samaha,0.186029%
Ahmad,0.186029%
Halabi,0.186029%
Hachem,0.181378%
Feghali,0.176728%
Chehab,0.176728%
Najjar,0.172077%
Salameh,0.172077%
Fares,0.172077%
Helou,0.172077%
Mrad,0.172077%
Masri,0.172077%
Matar,0.172077%
Jabbour,0.172077%
Barakat,0.172077%
Youssef,0.172077%
Raad,0.167426%
Nassar,0.167426%
Hammoud,0.167426%
Daccache,0.167426%
Elias,0.167426%
Abbas,0.162776%
Obeid,0.162776%
Yaacoub,0.162776%
Francis,0.158125%
Kassem,0.158125%
Kanaan,0.158125%
Azzi,0.148823%
Fakih,0.148823%
Habib,0.148823%
Hamdan,0.148823%
Matta,0.148823%
Bou-chedid,0.148823%
Sidani,0.139522%
Hussein,0.139522%
Hakim,0.139522%
Khatib,0.139522%
Tannous,0.134871%
Assaad,0.134871%
Antoun,0.134871%
Fayad,0.134871%
