LastName,Percentage
Joseph,5.614186%
Charles,2.552460%
James,2.172046%
St,2.086146%
Jn,2.012517%
Alexander,1.840717%
Henry,1.497116%
George,1.362130%
Francis,1.337587%
Emmanuel,1.208737%
John,1.171923%
Edward,1.098294%
Paul,1.061480%
Daniel,0.963308%
Thomas,0.932630%
Felix,0.877408%
Smith,0.865137%
Samuel,0.852865%
Eugene,0.785372%
Jean,0.742422%
Mathurin,0.711744%
Charlemagne,0.662658%
Pierre,0.662658%
Jules,0.656522%
Antoine,0.644251%
Frederick,0.644251%
Augustin,0.601301%
Alfred,0.539944%
William,0.527672%
Wilson,0.527672%
Phillip,0.521536%
Gustave,0.509265%
Auguste,0.509265%
Louis,0.478586%
Fontenelle,0.447908%
Philip,0.447908%
Albert,0.441772%
Louisy,0.435636%
Felicien,0.429501%
Polius,0.417229%
Anthony,0.398822%
Ferdinand,0.398822%
Lewis,0.398822%
Nelson,0.374279%
Mitchel,0.374279%
Etienne,0.374279%
Charlery,0.362008%
Isaac,0.343600%
Popo,0.343600%
Williams,0.343600%
Isidore,0.337465%
Simon,0.337465%
Nicholas,0.331329%
Gabriel,0.331329%
Mc,0.331329%
Andrew,0.325193%
Evans,0.319058%
Noel,0.300650%
Baptiste,0.300650%
King,0.300650%
Edwards,0.294515%
Fevrier,0.288379%
Lucien,0.288379%
Francois,0.276107%
Clarke,0.276107%
Brown,0.276107%
Mitchell,0.263836%
Leon,0.263836%
Lawrence,0.263836%
Bernard,0.257700%
Edwin,0.245429%
Ernest,0.245429%
Robinson,0.239293%
Aimable,0.239293%
Xavier,0.239293%
Prospere,0.233157%
Marcellin,0.227022%
Remy,0.220886%
Moise,0.220886%
Weekes,0.214750%
Herman,0.202479%
Justin,0.202479%
Lionel,0.202479%
Phillips,0.202479%
Mason,0.196343%
Cadette,0.196343%
Peter,0.196343%
Stephen,0.190207%
Montoute,0.190207%
Edgar,0.184072%
Gilbert,0.177936%
Matthew,0.177936%
Modeste,0.177936%
Griffith,0.171800%
Ambrose,0.171800%
Mondesir,0.171800%
Devaux,0.171800%
Pascal,0.171800%
Toussaint,0.165664%
Cox,0.165664%
Desir,0.165664%
Biscette,0.165664%
Lamontagne,0.165664%
Regis,0.159529%
Jones,0.159529%
Johnson,0.159529%
Denis,0.159529%
Richard,0.153393%
Flavius,0.153393%
Myers,0.153393%
David,0.153393%
Edmund,0.153393%
Benjamin,0.153393%
Yarde,0.153393%
Inglis,0.147257%
Alphonse,0.147257%
Blanchard,0.147257%
Leonce,0.147257%
Raymond,0.141122%
Alexis,0.141122%
Collymore,0.141122%
Calixte,0.141122%
Didier,0.141122%
Sylvester,0.134986%
Abraham,0.134986%
Monrose,0.134986%
Norville,0.128850%
Moses,0.128850%
Casimir,0.128850%
Dujon,0.128850%
Willie,0.128850%
Roberts,0.122714%
Theodore,0.122714%
Serieux,0.122714%
Faucher,0.122714%
Marius,0.122714%
Jackson,0.122714%
Julien,0.122714%
Adjodha,0.116579%
Hyacinth,0.116579%
Delice,0.116579%
Laurencin,0.116579%
Poleon,0.116579%
Plante,0.116579%
Octave,0.110443%
Mangal,0.110443%
Morgan,0.110443%
Clovis,0.110443%
Calderon,0.110443%
Deterville,0.110443%
Barnard,0.110443%
Lambert,0.110443%
Robert,0.104307%
Alcindor,0.104307%
Hall,0.104307%
Jacob,0.104307%
Vidal,0.104307%
Volney,0.104307%
Prince,0.104307%
Stanislas,0.098172%
Haynes,0.098172%
Harris,0.098172%
Cooper,0.098172%
Cazaubon,0.098172%
Lubin,0.098172%
Labadie,0.098172%
Peters,0.098172%
Philbert,0.098172%
Pamphile,0.098172%
Ismael,0.092036%
Georges,0.092036%
Solomon,0.092036%
Alcee,0.092036%
Anius,0.092036%
Marquis,0.092036%
Preville,0.092036%
Richards,0.085900%
Innocent,0.085900%
Gaston,0.085900%
Gordon,0.085900%
Hilaire,0.085900%
Marshall,0.085900%
Du,0.085900%
Vitalis,0.085900%
Brice,0.085900%
Bourne,0.085900%
Lorde,0.085900%
White,0.085900%
Saltibus,0.079764%
Florent,0.079764%
Harry,0.079764%
Jude,0.079764%
Cenac,0.079764%
Dornelly,0.079764%
Victor,0.079764%
Elliott,0.079764%
Elie,0.079764%
Bruno,0.079764%
Butcher,0.079764%
La,0.079764%
Philogene,0.079764%
Wilfred,0.079764%
Raphael,0.073629%
Neptune,0.073629%
Glace,0.073629%
Taylor,0.073629%
Scott,0.073629%
Avril,0.073629%
Forde,0.073629%
Hunte,0.073629%
Magloire,0.073629%
Johnny,0.073629%
Clement,0.073629%
D-auvergne,0.073629%
De,0.073629%
Duplessis,0.073629%
Lansiquot,0.073629%
Louison,0.073629%
Leo,0.073629%
Walker,0.073629%
Ishmael,0.067493%
Grant,0.067493%
Gaspard,0.067493%
Trim,0.067493%
Sonny,0.067493%
Simeon,0.067493%
Arthur,0.067493%
Hamilton,0.067493%
Julian,0.067493%
