LastName,Percentage
Perera,3.871128%
Fernando,2.830968%
Desilva,1.285709%
Kumara,1.262825%
Silva,1.140728%
Bandara,1.034815%
Jayasinghe,0.565396%
Ranasinghe,0.501713%
Dissanayake,0.500358%
Peiris,0.495615%
Weerasinghe,0.468441%
Rathnayake,0.434190%
Herath,0.431480%
Gunasekara,0.398284%
Wickramasinghe,0.396778%
Wijesinghe,0.383831%
Rajapaksha,0.369754%
Karunarathna,0.360119%
Liyanage,0.341752%
Kumari,0.333848%
Pushpakumara,0.320373%
Hettiarachchi,0.294629%
Chandrasiri,0.286725%
Priyantha,0.281757%
Rathnayaka,0.266777%
Dissanayaka,0.265723%
Gamage,0.264970%
Sirisena,0.259400%
Amarasinghe,0.248560%
Mendis,0.242614%
Dias,0.239603%
Jayasekara,0.238850%
Gunarathna,0.233054%
Rodrigo,0.232903%
Gunathilaka,0.228688%
Fonseka,0.227784%
Pathirana,0.226429%
Ekanayake,0.222139%
Samarasinghe,0.221461%
Nanayakkara,0.219730%
Piyasena,0.217923%
Piyadasa,0.207761%
Gunawardana,0.203847%
Jayarathna,0.202492%
Wijerathna,0.202040%
Jayathilaka,0.200610%
Karunarathne,0.196846%
Ranjith,0.196168%
Munasinghe,0.195416%
Sunil,0.193835%
Edirisinghe,0.192631%
Jayawardana,0.191125%
Ranaweera,0.188114%
Jayaweera,0.186307%
Jayalath,0.185780%
Dayananda,0.181339%
Premasiri,0.178554%
Thilakarathna,0.175317%
Dharmasena,0.174564%
Jayasundara,0.170198%
Chandrasena,0.165080%
Damayanthi,0.164703%
Premarathna,0.164327%
Rupasinghe,0.163649%
Shantha,0.161843%
Jayasena,0.159810%
Nishantha,0.157100%
Gamini,0.156348%
Samarakoon,0.155745%
Alwis,0.153939%
Kumarasinghe,0.150476%
Premadasa,0.150476%
Gunawardena,0.149723%
Appuhamy,0.149648%
Ananda,0.148218%
Jayawardena,0.147841%
Ariyadasa,0.144379%
Senanayake,0.143852%
Nandasena,0.141292%
Gunawardhana,0.140615%
Dharmadasa,0.140464%
Weerakoon,0.137679%
Siripala,0.137604%
Senevirathna,0.137152%
Ratnayake,0.136023%
Jayantha,0.134819%
Kumarasiri,0.134217%
Somasiri,0.133690%
Wimalasena,0.133614%
Jayakody,0.131808%
Gunapala,0.131281%
Cooray,0.128646%
Jayawardhana,0.127818%
Abeysinghe,0.127442%
Mohamed,0.127291%
Malkanthi,0.126840%
Senarathna,0.126012%
Chandralatha,0.125861%
Weerasekara,0.125409%
Somapala,0.124130%
Gunarathne,0.121119%
Tennakoon,0.121043%
Dharmasiri,0.120065%
Menike,0.118785%
Ekanayaka,0.117806%
Gunasena,0.116301%
