LastName,Percentage
Molise,4.013378%
Salemane,2.675585%
Ntai,2.341137%
Swart,2.341137%
Mphatsoane,2.341137%
Ismail,1.672241%
Thai,1.672241%
Mokitimi,1.672241%
Razzouk,1.337793%
Slay,1.337793%
Muza,1.337793%
Moqelane,1.337793%
Jones,1.337793%
Nhlapo,1.003344%
Noko,1.003344%
Trust,1.003344%
Sebatane,1.003344%
Fobo,1.003344%
Mabeleng,1.003344%
Mlotshwa,1.003344%
Black,1.003344%
Khabele,1.003344%
Kumar,1.003344%
Notoane,0.668896%
Grec,0.668896%
Thato,0.668896%
Tlali,0.668896%
Sebeso,0.668896%
Sesing,0.668896%
Singhal,0.668896%
Seitlheko,0.668896%
One,0.668896%
Hlabana,0.668896%
Hoohlo,0.668896%
Hlajoane,0.668896%
Malefane,0.668896%
Murahwa,0.668896%
Motaba,0.668896%
Mokhethea,0.668896%
Matsoso,0.668896%
Mpoti,0.668896%
Maseela,0.668896%
Maifo,0.668896%
Venthan,0.668896%
Letuka,0.668896%
Lesotho,0.668896%
Possa,0.668896%
Rantoetse,0.334448%
Redeby,0.334448%
Robinson,0.334448%
Robert,0.334448%
Ramothobi,0.334448%
Ramah,0.334448%
Rukwira,0.334448%
Riverbank,0.334448%
Rammoko,0.334448%
Ramoqopo,0.334448%
Ramorasata,0.334448%
Urianan,0.334448%
Nkhabu,0.334448%
Nkhatho,0.334448%
Nergen,0.334448%
Nthathakane,0.334448%
Nong,0.334448%
Nkalai,0.334448%
Nkoko,0.334448%
Ntebele,0.334448%
Tsepo,0.334448%
Tsotetsi,0.334448%
Theko,0.334448%
Torgal,0.334448%
Thaane,0.334448%
Tseka,0.334448%
Thelisi,0.334448%
Tsilo,0.334448%
Taiji,0.334448%
Seele,0.334448%
Sejanamane,0.334448%
Santana,0.334448%
Schmidt,0.334448%
Sugadhanam,0.334448%
Stephens,0.334448%
Shales,0.334448%
Sarno,0.334448%
Sello,0.334448%
Seeiso,0.334448%
Sehloho,0.334448%
Angelia,0.334448%
Ankrah,0.334448%
Africa,0.334448%
Adarei,0.334448%
Adache,0.334448%
Architect,0.334448%
Apse,0.334448%
American,0.334448%
Fnrjf,0.334448%
Fredricks,0.334448%
Fausat,0.334448%
Freitas,0.334448%
Fekefeke,0.334448%
Fjdf,0.334448%
Flamez,0.334448%
Okose,0.334448%
Obasola,0.334448%
Hanyane,0.334448%
Hatasi,0.334448%
Harell,0.334448%
Howes,0.334448%
Mobe,0.334448%
Moketa,0.334448%
Monkhi,0.334448%
Molotsi,0.334448%
Mpesela,0.334448%
Morake,0.334448%
Modise,0.334448%
Moshesha,0.334448%
Mokheseng,0.334448%
Mokhetho,0.334448%
My-love,0.334448%
Morolong,0.334448%
Makhoali,0.334448%
Mali,0.334448%
Matlou,0.334448%
Mofelehetsi,0.334448%
Mokoena,0.334448%
Makhaya,0.334448%
Moore,0.334448%
Monyaesa,0.334448%
Monyake,0.334448%
Monyane,0.334448%
Mason,0.334448%
Media,0.334448%
Moteetee,0.334448%
Mathafeng,0.334448%
Molapo,0.334448%
Monaheng,0.334448%
Moqethoa,0.334448%
Mafantiri,0.334448%
Mbetu,0.334448%
Motanyane,0.334448%
Joshua,0.334448%
Johane,0.334448%
Clark,0.334448%
Chopho,0.334448%
Cogan,0.334448%
Church,0.334448%
Djhg,0.334448%
Daniel,0.334448%
Dana,0.334448%
Dixie,0.334448%
Duckworth,0.334448%
Daf,0.334448%
Daubigne,0.334448%
Vinson,0.334448%
Enton,0.334448%
Belay,0.334448%
Bilson,0.334448%
Boleme,0.334448%
Barnes,0.334448%
Khali,0.334448%
Kompi,0.334448%
Kelly,0.334448%
Kobeane,0.334448%
Kalavadakken,0.334448%
Khaketla,0.334448%
Khumalo,0.334448%
Letima,0.334448%
Lepanya,0.334448%
Lithoko,0.334448%
Lunzitisa,0.334448%
Linakane,0.334448%
Li,0.334448%
Lekhanya,0.334448%
Lekhotla,0.334448%
Lerotholi,0.334448%
Lephoma,0.334448%
Les,0.334448%
Lesenyeho,0.334448%
Lehloba,0.334448%
Laura,0.334448%
Yan,0.334448%
Phelane,0.334448%
Phoofolo,0.334448%
Phafane,0.334448%
Pitikoe,0.334448%
Pullanikkatil,0.334448%
Phahla,0.334448%
Pryor,0.334448%
Pillay,0.334448%
Pule,0.334448%
Wolfman,0.334448%
Wei,0.334448%
